Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000403712 -1.98105e-06 -28.2567 -3.07308 -1.75094 -30.5708 -6.77423 -4.54244 -33.5991 -5.28793 -2.87409 -33.3725 -3.41853 -1.97697 -31.7254 -1.5659 -2.74263 -28.4525 -2.27 -2.17097 -30.7726 -5.17985 -6.26039 -34.1238 -3.965 -3.57054 -33.2462 -2.03644 -2.22154 -30.5497 -0.571797 -2.29194 -28.6484 -1.4669 -2.59101 -31.4154 -3.43509 -7.26335 -35.4122 -2.52532 -4.71866 -34.1075 -0.857619 -2.84714 -31.4474 -0.0702847 -3.02021 -28.7325 -0.433252 -2.94544 -31.7009 -1.13091 -7.8947 -35.8316 -0.856402 -6.2122 -36.5965 -0.150367 -3.9228 -37.5218 0.19951 -1.36111 -28.5199 1.28148 -1.52811 -29.005 1.44443 -3.00947 -32.3463 1.40102 -2.78578 -35.0557 0.937991 -2.27262 -38.2876 0.250598 -2.13473 
-27 0.000413216 3.59978e-06 -28.2614 -3.08899 -1.71927 -30.5862 -6.81299 -4.47115 -33.621 -5.30664 -2.83081 -33.383 -3.42976 -1.95244 -31.7498 -1.5793 -2.74212 -28.4554 -2.29001 -2.14791 -30.7795 -5.241 -6.20545 -34.1302 -3.9858 -3.53648 -33.243 -2.04375 -2.21275 -30.5332 -0.604753 -2.28537 -28.6494 -1.49102 -2.57654 -31.416 -3.50652 -7.22896 -35.4113 -2.53978 -4.70323 -34.0976 -0.872507 -2.83763 -31.4309 -0.108234 -3.01499 -28.7312 -0.461023 -2.94195 -31.6945 -1.21165 -7.88654 -35.8229 -0.897818 -6.20604 -36.5772 -0.164217 -3.92175 -37.5101 0.184705 -1.36219 -28.5164 1.26818 -1.54266 -28.9981 1.4153 -3.02678 -32.3395 1.36927 -2.8065 -35.0475 0.912446 -2.28003 -38.2795 0.234806 -2.10343 
-27 0.000405722 -2.05338e-06 -28.2673 -3.11621 -1.66494 -30.6061 -6.87708 -4.35418 -33.6488 -5.34267 -2.75507 -33.397 -3.44528 -1.92599 -31.7266 -1.62317 -2.70339 -28.4583 -2.32462 -2.10838 -30.7869 -5.34493 -6.11198 -34.1477 -4.02501 -3.49028 -33.2495 -2.06526 -2.19996 -30.5308 -0.645004 -2.29139 -28.6494 -1.53303 -2.55182 -31.4142 -3.62859 -7.16973 -35.4172 -2.58299 -4.68802 -34.1057 -0.896019 -2.83865 -31.4285 -0.172179 -3.02694 -28.7276 -0.509618 -2.93604 -31.6833 -1.35231 -7.87036 -35.8164 -0.979409 -6.21451 -36.5685 -0.201638 -3.94419 -37.5149 0.175543 -1.39307 -28.5102 1.24415 -1.56808 -28.9882 1.36569 -3.05571 -32.3303 1.32481 -2.84554 -35.0421 0.884571 -2.32442 -38.2662 0.183128 -2.10183 
-27 0.000404061 -1.43291e-06 -28.2739 -3.14929 -1.59626 -30.6209 -6.96542 -4.19906 -33.6653 -5.37411 -2.66128 -33.4211 -3.45566 -1.87979 -31.7409 -1.66158 -2.70059 -28.46 -2.36755 -2.05884 -30.7862 -5.47607 -5.99579 -34.1556 -4.07517 -3.4305 -33.272 -2.08887 -2.17059 -30.5362 -0.707259 -2.31565 -28.6462 -1.58581 -2.52141 -31.3998 -3.78316 -7.09853 -35.4114 -2.65635 -4.66686 -34.1048 -0.937323 -2.8437 -31.4229 -0.240953 -3.06494 -28.7189 -0.571386 -2.9298 -31.6537 -1.52326 -7.85665 -35.791 -1.07921 -6.22978 -36.5424 -0.24905 -3.97788 -37.519 0.167301 -1.4437 -28.4993 1.21309 -1.60247 -28.9714 1.30174 -3.09429 -32.3148 1.274 -2.90257 -35.0298 0.854097 -2.38146 -38.2531 0.161433 -2.12273 
-27 0.000410135 2.02701e-06 -28.3067 -3.17911 -1.50818 -30.7002 -7.03925 -4.00147 -33.7374 -5.37586 -2.52564 -33.4762 -3.43533 -1.80666 -31.8241 -1.6409 -2.68228 -28.4829 -2.40891 -1.99343 -30.8417 -5.60191 -5.84237 -34.2115 -4.10297 -3.33596 -33.3164 -2.08913 -2.12853 -30.5745 -0.725971 -2.31831 -28.6592 -1.63871 -2.47869 -31.431 -3.93555 -6.9956 -35.4449 -2.71558 -4.61323 -34.124 -0.947326 -2.8484 -31.4327 -0.288242 -3.07007 -28.7194 -0.63567 -2.91619 -31.6549 -1.69687 -7.82029 -35.7978 -1.17227 -6.23296 -36.5493 -0.272978 -4.00781 -37.5153 0.171514 -1.47379 -28.4821 1.18357 -1.64013 -28.954 1.23127 -3.13388 -32.298 1.2408 -2.95191 -35.0165 0.829023 -2.44274 -38.2507 0.195722 -2.16783 
-27 0.000406267 -3.38319e-07 -28.3361 -3.21372 -1.40557 -30.768 -7.12203 -3.78401 -33.7958 -5.38828 -2.36871 -33.5206 -3.42538 -1.71897 -31.8102 -1.71242 -2.64457 -28.5009 -2.45864 -1.91784 -30.8801 -5.75417 -5.66648 -34.2441 -4.12556 -3.23627 -33.3334 -2.08947 -2.07847 -30.5754 -0.76341 -2.29098 -28.6657 -1.70355 -2.43011 -31.4434 -4.12183 -6.87952 -35.4587 -2.77755 -4.56755 -34.1316 -0.974907 -2.8426 -31.4369 -0.327157 -3.05514 -28.712 -0.715468 -2.90199 -31.6359 -1.91745 -7.78051 -35.78 -1.27968 -6.23914 -36.525 -0.307598 -4.04265 -37.51 0.243357 -1.53644 -28.46 1.14359 -1.68765 -28.9247 1.14375 -3.18439 -32.2697 1.18905 -3.02588 -34.992 0.843125 -2.48899 -38.2261 0.225055 -2.17999 
-27 0.000404879 -1.34982e-06 -28.3778 -3.24387 -1.29143 -30.8525 -7.19865 -3.54567 -33.8701 -5.3776 -2.21537 -33.5776 -3.39431 -1.63928 -31.817 -1.7594 -2.60996 -28.5266 -2.50658 -1.83365 -30.9292 -5.90507 -5.47383 -34.2867 -4.1355 -3.13624 -33.3639 -2.07498 -2.03217 -30.5871 -0.789356 -2.24529 -28.6754 -1.76928 -2.37587 -31.4594 -4.31028 -6.75236 -35.4737 -2.82161 -4.52892 -34.1213 -0.974847 -2.87162 -31.4101 -0.377305 -3.00923 -28.7023 -0.799528 -2.88575 -31.6119 -2.14377 -7.73551 -35.7544 -1.36222 -6.25795 -36.504 -0.300585 -4.10495 -37.4992 0.30765 -1.61551 -28.4289 1.10075 -1.74186 -28.8846 1.04518 -3.24035 -32.2298 1.13797 -3.11063 -34.9597 0.870974 -2.56709 -38.2032 0.296141 -2.27436 
-27 0.000407969 2.57681e-06 -28.4404 -3.26393 -1.16646 -30.999 -7.25698 -3.25335 -33.9906 -5.30789 -2.04415 -33.6688 -3.30705 -1.55025 -31.8095 -1.77445 -2.50366 -28.5695 -2.54668 -1.73973 -31.0265 -6.04644 -5.24523 -34.364 -4.10751 -3.01642 -33.4049 -2.01924 -1.9985 -30.6037 -0.78618 -2.20158 -28.6986 -1.82942 -2.31298 -31.5072 -4.49748 -6.59721 -35.5062 -2.8187 -4.48451 -34.2009 -0.930505 -2.83619 -31.4747 -0.464014 -3.11307 -28.7009 -0.88127 -2.86264 -31.5952 -2.37001 -7.67931 -35.728 -1.43061 -6.26871 -36.486 -0.250696 -4.18126 -37.4891 0.417819 -1.71001 -28.3932 1.05838 -1.79617 -28.8381 0.95152 -3.29514 -32.1824 1.1057 -3.20726 -34.922 0.913049 -2.68168 -38.1841 0.446614 -2.40228 
-27 0.000413806 6.17528e-06 -28.5239 -3.26887 -1.03962 -31.1813 -7.26826 -2.98618 -34.1285 -5.1847 -1.89118 -33.7589 -3.17326 -1.48095 -31.8839 -1.71103 -2.51113 -28.6237 -2.57472 -1.64621 -31.1413 -6.15589 -5.02416 -34.4594 -4.03208 -2.91957 -33.4831 -1.91637 -1.9774 -30.6481 -0.764711 -2.19222 -28.7235 -1.88057 -2.25281 -31.5537 -4.65696 -6.45312 -35.5301 -2.76659 -4.48107 -34.2334 -0.821459 -2.89326 -31.4853 -0.601211 -3.24854 -28.6897 -0.958583 -2.84435 -31.5603 -2.58754 -7.62973 -35.6805 -1.45518 -6.32861 -36.4389 -0.182979 -4.29625 -37.4533 0.732868 -1.91 -28.3369 1.01724 -1.86152 -28.7733 0.850519 -3.35752 -32.1129 1.10083 -3.33353 -34.8685 1.05259 -2.86128 -38.132 0.660552 -2.49775 
-27 0.000408247 1.49598e-06 -28.608 -3.27132 -0.895128 -31.3663 -7.27659 -2.68289 -34.2632 -5.06537 -1.70764 -33.8677 -3.03905 -1.41018 -31.9159 -1.74831 -2.52342 -28.6787 -2.60643 -1.53751 -31.2605 -6.28027 -4.76414 -34.5512 -3.95028 -2.82309 -33.5446 -1.81999 -1.94811 -30.6551 -0.78025 -2.22695 -28.7494 -1.94151 -2.17988 -31.6043 -4.8459 -6.27566 -35.5529 -2.73864 -4.46179 -34.2508 -0.738208 -2.94889 -31.4931 -0.602751 -3.2705 -28.68 -1.05233 -2.8168 -31.5308 -2.85055 -7.55312 -35.6319 -1.52204 -6.38356 -36.3888 -0.119837 -4.4381 -37.4085 0.93692 -2.11285 -28.2808 0.959834 -1.93018 -28.7082 0.727472 -3.41999 -32.0389 1.06925 -3.49564 -34.8027 1.15085 -3.07912 -38.0694 0.876092 -2.64325 
