Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000407936 2.08986e-06 -28.5048 -2.41296 -2.45003 -30.9231 -4.56164 -6.49735 -34.2706 -3.37893 -7.74377 -36.2107 -2.66449 -8.01816 -38.4777 -1.74863 -8.82287 -28.1303 -1.65136 -2.82344 -29.4697 -3.62366 -7.81237 -33.3926 -1.50829 -7.40987 -33.7878 0.191191 -5.59955 -33.2687 2.01701 -3.17627 -27.7557 -0.889751 -3.19686 -28.6345 -1.94375 -8.80738 -32.8452 0.357857 -8.26484 -32.7569 1.5396 -5.70203 -31.1001 1.88269 -3.49662 -27.225 0.0385908 -3.43699 -27.5787 -0.0760806 -9.2383 -31.5521 1.97061 -9.17643 -32.373 2.7981 -6.9479 -31.9904 3.09136 -4.23774 -26.9676 1.63841 -1.89796 -26.534 1.92912 -3.37571 -27.5819 4.04992 -5.74638 -28.2721 5.76292 -7.84597 -26.6229 7.51194 -10.1171 
-27 0.00040139 -5.49314e-06 -28.4713 -2.41452 -2.46876 -30.8473 -4.57031 -6.53731 -34.2041 -3.4107 -7.77264 -36.1323 -2.68104 -8.08799 -38.4186 -1.78704 -8.8635 -28.1004 -1.64855 -2.83685 -29.3901 -3.61386 -7.84162 -33.3235 -1.52052 -7.42706 -33.7035 0.166799 -5.6028 -33.1438 1.95406 -3.15989 -27.7296 -0.882566 -3.20493 -28.5629 -1.92293 -8.8249 -32.7885 0.351309 -8.28255 -32.6731 1.50326 -5.71233 -30.9605 1.82682 -3.54695 -27.2046 0.0507967 -3.43812 -27.5182 -0.0429257 -9.2421 -31.5045 1.97854 -9.18288 -32.3141 2.77935 -6.93946 -31.8879 3.03455 -4.23239 -26.9689 1.6463 -1.89115 -26.5242 1.94347 -3.36432 -27.5745 4.093 -5.7079 -28.2687 5.77546 -7.83073 -26.6339 7.55694 -10.0869 
-27 0.000410734 3.15017e-06 -28.4389 -2.41786 -2.48452 -30.7756 -4.58552 -6.5695 -34.1282 -3.43706 -7.8185 -36.0613 -2.71688 -8.12579 -38.3289 -1.79899 -8.92928 -28.0725 -1.64761 -2.84807 -29.3172 -3.6077 -7.86626 -33.2679 -1.53979 -7.45719 -33.625 0.114603 -5.59938 -33.0419 1.90998 -3.16783 -27.706 -0.877355 -3.21162 -28.4998 -1.90538 -8.83959 -32.7503 0.332704 -8.29625 -32.6019 1.45822 -5.71905 -30.838 1.77019 -3.5934 -27.1875 0.0610656 -3.43892 -27.4682 -0.0106253 -9.2449 -31.4749 1.97024 -9.18849 -32.2706 2.7453 -6.93215 -31.8155 2.98381 -4.22595 -26.9727 1.65305 -1.88531 -26.5203 1.957 -3.35474 -27.5771 4.12121 -5.68185 -28.2752 5.79037 -7.81387 -26.6584 7.5958 -10.064 
-27 0.00041159 5.44993e-06 -28.4037 -2.41786 -2.50456 -30.6985 -4.58349 -6.61433 -34.0581 -3.45483 -7.85473 -35.991 -2.73588 -8.16646 -38.2665 -1.83165 -8.96502 -28.0429 -1.64221 -2.86215 -29.2424 -3.58392 -7.89845 -33.2066 -1.54416 -7.48267 -33.5453 0.0849069 -5.59921 -32.9348 1.8734 -3.16915 -27.682 -0.866554 -3.21974 -28.4375 -1.86965 -8.85748 -32.7057 0.332279 -8.30756 -32.5279 1.43201 -5.72147 -30.7586 1.73138 -3.59844 -27.1713 0.0779649 -3.43942 -27.4225 0.0376067 -9.24706 -31.4484 1.99135 -9.1938 -32.2309 2.73782 -6.92666 -31.7589 2.94271 -4.21952 -26.9792 1.66346 -1.87622 -26.5206 1.98276 -3.34045 -27.5663 4.14471 -5.67464 -28.2748 5.81453 -7.80269 -26.6889 7.66714 -10.0363 
-27 0.000405925 -7.10349e-07 -28.3802 -2.41433 -2.52098 -30.6498 -4.55943 -6.65542 -34.0059 -3.44154 -7.90795 -35.9426 -2.73307 -8.22012 -38.217 -1.81702 -9.01041 -28.0265 -1.63302 -2.87332 -29.2083 -3.54631 -7.92466 -33.1746 -1.51427 -7.5184 -33.4928 0.0981276 -5.61592 -32.8676 1.8338 -3.15278 -27.6727 -0.851697 -3.22565 -28.42 -1.82 -8.87055 -32.6968 0.357733 -8.33357 -32.4737 1.44302 -5.74496 -30.7012 1.7067 -3.62001 -27.1708 0.0989581 -3.43892 -27.4273 0.0913669 -9.24645 -31.4532 2.03342 -9.20832 -32.2068 2.76437 -6.9291 -31.7212 2.94413 -4.222 -26.9941 1.67587 -1.86525 -26.5319 2.01482 -3.32394 -27.5647 4.1715 -5.66875 -28.2706 5.83271 -7.80438 -26.7628 7.7762 -10.0148 
-27 0.000411238 3.5603e-06 -28.3777 -2.40801 -2.52838 -30.6414 -4.55126 -6.66697 -33.9937 -3.4359 -7.9259 -35.9338 -2.73243 -8.22848 -38.2066 -1.82337 -9.03371 -28.0251 -1.62509 -2.87829 -29.2026 -3.52673 -7.93504 -33.1719 -1.51087 -7.51867 -33.4825 0.0918956 -5.60555 -32.8342 1.8169 -3.1399 -27.6725 -0.84216 -3.2282 -28.4199 -1.7936 -8.87595 -32.7006 0.36553 -8.32445 -32.4742 1.43666 -5.73009 -30.7101 1.6857 -3.59644 -27.1719 0.109859 -3.43853 -27.4325 0.124973 -9.24587 -31.4667 2.04955 -9.20035 -32.2128 2.76338 -6.9149 -31.6902 2.90211 -4.21218 -26.9969 1.68191 -1.85982 -26.5355 2.0252 -3.31776 -27.5788 4.18998 -5.65043 -28.2959 5.85148 -7.78212 -26.7896 7.80292 -9.98657 
-27 0.00040466 -1.77472e-06 -28.3772 -2.40547 -2.53111 -30.6364 -4.55129 -6.67081 -33.9899 -3.44414 -7.92894 -35.9317 -2.74411 -8.22874 -38.2115 -1.84261 -9.02502 -28.0268 -1.62107 -2.87996 -29.2051 -3.51504 -7.9394 -33.1773 -1.51526 -7.50619 -33.4798 0.0740506 -5.58302 -32.8093 1.77361 -3.10583 -27.6764 -0.836665 -3.22882 -28.4324 -1.7755 -8.87753 -32.7201 0.366106 -8.30745 -32.4761 1.41526 -5.70544 -30.6714 1.66934 -3.60659 -27.1782 0.116837 -3.43799 -27.4535 0.150446 -9.24457 -31.4952 2.05686 -9.17699 -32.2329 2.75303 -6.88434 -31.6749 2.89985 -4.1894 -27.0036 1.68587 -1.85623 -26.5435 2.03235 -3.3138 -27.605 4.19957 -5.63595 -28.3253 5.87406 -7.75635 -26.8395 7.8237 -9.97624 
-27 0.000404947 -1.12119e-06 -28.3677 -2.40137 -2.54014 -30.6159 -4.54366 -6.68764 -33.9681 -3.43757 -7.947 -35.9129 -2.74342 -8.24104 -38.1834 -1.84065 -9.06486 -28.0189 -1.61501 -2.88617 -29.1839 -3.50015 -7.95198 -33.1566 -1.50918 -7.50332 -33.4524 0.0734922 -5.57644 -32.7635 1.7514 -3.08969 -27.6701 -0.828644 -3.23219 -28.4151 -1.75496 -8.88445 -32.7092 0.373047 -8.30818 -32.4454 1.41942 -5.70662 -30.6202 1.64206 -3.62044 -27.1741 0.126777 -3.43784 -27.4411 0.175109 -9.24471 -31.4874 2.07047 -9.17591 -32.2142 2.75489 -6.87695 -31.6502 2.86471 -4.18206 -27.0056 1.69147 -1.85113 -26.5465 2.04626 -3.307 -27.6006 4.21819 -5.62812 -28.3535 5.90778 -7.72508 -26.8623 7.8458 -9.95152 
-27 0.000406256 -6.80212e-07 -28.358 -2.40412 -2.54269 -30.5948 -4.54838 -6.69542 -33.946 -3.45191 -7.96427 -35.8916 -2.76196 -8.26297 -38.1689 -1.86923 -9.08177 -28.0106 -1.61687 -2.88804 -29.1611 -3.50287 -7.95685 -33.1387 -1.52587 -7.5007 -33.4282 0.0610653 -5.57645 -32.7093 1.71304 -3.08102 -27.6632 -0.829614 -3.23338 -28.3949 -1.75579 -8.88738 -32.694 0.362243 -8.30867 -32.4185 1.38393 -5.69815 -30.5716 1.6182 -3.62908 -27.1691 0.127023 -3.43808 -27.4249 0.175764 -9.24545 -31.4761 2.05935 -9.16896 -32.1976 2.73751 -6.86721 -31.6059 2.83035 -4.17844 -27.0068 1.6918 -1.85082 -26.5358 2.0413 -3.30418 -27.584 4.26028 -5.58308 -28.3708 5.91459 -7.69566 -26.8887 7.83219 -9.94574 
-27 0.000406133 2.5575e-07 -28.3497 -2.40182 -2.54933 -30.5756 -4.5467 -6.7075 -33.9333 -3.45316 -7.96451 -35.879 -2.7612 -8.25822 -38.1633 -1.88642 -9.07975 -28.0049 -1.61244 -2.8925 -29.1453 -3.49041 -7.96658 -33.1249 -1.52298 -7.49676 -33.4081 0.0557545 -5.56488 -32.67 1.69684 -3.06802 -27.6601 -0.823051 -3.23567 -28.3861 -1.73689 -8.89243 -32.6907 0.365584 -8.29603 -32.4015 1.38338 -5.68408 -30.5725 1.6124 -3.59285 -27.1694 0.135831 -3.43774 -27.4235 0.200856 -9.24502 -31.4778 2.07649 -9.15504 -32.1977 2.73574 -6.84811 -31.6212 2.79802 -4.15612 -27.0125 1.69682 -1.84619 -26.5442 2.05432 -3.29847 -27.5876 4.27274 -5.58009 -28.3636 5.93576 -7.68985 -26.9285 7.882 -9.94579 
