Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000410164 -9.01064e-07 -29.2761 1.51757 2.57076 -33.1585 3.47911 5.38594 -33.8496 5.46838 2.26583 -33.1673 4.95167 0.363645 -31.7314 2.81415 0.0731626 -29.6939 0.985843 1.93636 -34.4531 1.91693 4.59286 -34.8444 4.8626 1.24687 -33.265 3.95806 -0.486187 -31.3245 1.66592 -1.1613 -30.1117 0.454123 1.30194 -35.5882 1.03834 3.04184 -37.8383 4.95707 1.33811 -37.9691 7.21903 -0.350829 -38.7474 9.65368 -1.44318 -30.3994 -0.238329 0.502624 -36.1536 -0.30234 1.32583 -38.8945 3.09108 0.3496 -39.3905 5.34999 -0.638458 -39.8212 7.85436 -1.69679 -29.0877 -0.530278 -1.28307 -30.3598 -1.44576 -1.27651 -33.5464 -2.08754 -2.08238 -36.1267 -3.06979 -2.52542 -38.5919 -5.27305 -2.45598 
-27 0.00041055 3.50426e-06 -29.2764 1.50559 2.57754 -33.1597 3.45238 5.40175 -33.8551 5.44855 2.28702 -33.1759 4.93071 0.38405 -31.7382 2.79434 0.0942673 -29.694 0.975844 1.94134 -34.4523 1.8919 4.60455 -34.8522 4.84515 1.26627 -33.2721 3.95478 -0.47341 -31.3419 1.65074 -1.13763 -30.1115 0.446106 1.30512 -35.5878 1.01881 3.04976 -37.8633 4.93612 1.37683 -38.0408 7.21723 -0.281821 -38.8655 9.65441 -1.33374 -30.3989 -0.243613 0.503338 -36.1525 -0.31636 1.33045 -38.9112 3.0717 0.386561 -39.4347 5.33556 -0.575655 -39.9005 7.84592 -1.6045 -29.0878 -0.52752 -1.28407 -30.359 -1.44418 -1.28176 -33.5447 -2.08634 -2.09118 -36.1244 -3.06785 -2.53917 -38.5874 -5.27388 -2.48068 
-27 0.000410605 6.76869e-06 -29.2762 1.4928 2.58518 -33.16 3.42397 5.41936 -33.86 5.42862 2.31111 -33.1838 4.90667 0.408174 -31.7409 2.77335 0.121988 -29.6937 0.965388 1.94699 -34.4507 1.86591 4.61777 -34.8597 4.82559 1.28628 -33.278 3.95297 -0.46097 -31.3666 1.62735 -1.10391 -30.1111 0.437986 1.30879 -35.5868 0.999106 3.05904 -37.8862 4.91484 1.41539 -38.1182 7.21657 -0.207674 -38.9927 9.65541 -1.21453 -30.3984 -0.24859 0.50427 -36.1512 -0.32923 1.33619 -38.9291 3.05212 0.425158 -39.4788 5.32083 -0.51069 -39.9789 7.83641 -1.51029 -29.0881 -0.523863 -1.28507 -30.3584 -1.44176 -1.28762 -33.5432 -2.08421 -2.10042 -36.1227 -3.06435 -2.5526 -38.5845 -5.27201 -2.50473 
-27 0.000408568 2.72568e-06 -29.271 1.4805 2.59678 -33.1503 3.39431 5.44884 -33.8639 5.40498 2.34756 -33.1929 4.87688 0.44448 -31.7377 2.75235 0.155091 -29.6894 0.954218 1.95829 -34.4397 1.83652 4.6471 -34.8676 4.79948 1.3209 -33.2885 3.94337 -0.436854 -31.3908 1.60497 -1.074 -30.1079 0.427946 1.31979 -35.5793 0.973663 3.08819 -37.9095 4.88159 1.46947 -38.2137 7.20209 -0.114438 -39.1404 9.64041 -1.07484 -30.3963 -0.256739 0.514081 -36.1463 -0.350369 1.3641 -38.9505 3.01811 0.486363 -39.5222 5.2902 -0.427798 -40.0463 7.80881 -1.40721 -29.0911 -0.52402 -1.28016 -30.3594 -1.44468 -1.28261 -33.5448 -2.09273 -2.08835 -36.124 -3.07632 -2.53494 -38.582 -5.28809 -2.4852 
-27 0.000405615 -1.31734e-06 -29.2643 1.47319 2.60674 -33.1371 3.37641 5.4747 -33.8609 5.39244 2.37927 -33.1941 4.85567 0.477153 -31.7271 2.74046 0.178842 -29.6843 0.948058 1.96832 -34.4272 1.82029 4.67337 -34.868 4.7844 1.3499 -33.2928 3.94069 -0.417258 -31.4102 1.58927 -1.05144 -30.1043 0.422928 1.32987 -35.571 0.961824 3.11468 -37.9259 4.86236 1.51393 -38.2998 7.19958 -0.0299714 -39.2619 9.63997 -0.949445 -30.3946 -0.260153 0.523493 -36.142 -0.358512 1.38994 -38.9679 2.99848 0.53804 -39.5544 5.27348 -0.359363 -40.0901 7.79431 -1.32679 -29.0945 -0.522566 -1.27517 -30.3621 -1.4443 -1.27675 -33.5489 -2.09487 -2.07466 -36.1288 -3.07945 -2.51473 -38.5862 -5.29194 -2.46142 
-27 0.000403989 2.84491e-08 -29.2591 1.47537 2.61005 -33.1262 3.38211 5.48341 -33.8473 5.40282 2.39041 -33.1806 4.853 0.491979 -31.7055 2.74524 0.181264 -29.6807 0.951907 1.97133 -34.4199 1.83075 4.68086 -34.8557 4.79372 1.35571 -33.2831 3.95512 -0.416212 -31.4199 1.58696 -1.04527 -30.1024 0.428456 1.3326 -35.5669 0.978604 3.12074 -37.9307 4.8759 1.52536 -38.3646 7.22782 0.0199388 -39.3371 9.67534 -0.86906 -30.3948 -0.253047 0.525658 -36.142 -0.337801 1.39504 -38.978 3.01339 0.553991 -39.5692 5.29141 -0.332612 -40.0988 7.8142 -1.29824 -29.0966 -0.516367 -1.27425 -30.366 -1.43551 -1.27649 -33.5546 -2.08056 -2.07199 -36.137 -3.05978 -2.50921 -38.6004 -5.26555 -2.45474 
-27 0.000403278 2.01072e-06 -29.2535 1.4864 2.60865 -33.1134 3.41037 5.48011 -33.8238 5.43331 2.38608 -33.155 4.87045 0.49221 -31.6836 2.76049 0.178875 -29.6772 0.964702 1.96988 -34.4138 1.86518 4.67685 -34.8332 4.82435 1.34621 -33.2643 3.98204 -0.427286 -31.4188 1.59914 -1.0528 -30.1009 0.443014 1.33111 -35.564 1.02005 3.11521 -37.9272 4.91674 1.51737 -38.3867 7.28158 0.0400382 -39.3519 9.73961 -0.827648 -30.3962 -0.237361 0.524225 -36.1443 -0.29382 1.38966 -38.9763 3.0596 0.544029 -39.5631 5.33916 -0.341588 -40.0706 7.86245 -1.31771 -29.0984 -0.507111 -1.27503 -30.3718 -1.42074 -1.27774 -33.5629 -2.05423 -2.07245 -36.1493 -3.02382 -2.50718 -38.6227 -5.21825 -2.45004 
-27 0.000408561 3.21089e-06 -29.2535 1.5104 2.59479 -33.1115 3.46949 5.44498 -33.8019 5.48497 2.34157 -33.1268 4.91067 0.453382 -31.6771 2.78161 0.169703 -29.6782 0.988858 1.95653 -34.419 1.92895 4.64244 -34.8074 4.87508 1.2965 -33.2395 4.01548 -0.469523 -31.401 1.62406 -1.08317 -30.1029 0.467325 1.31825 -35.5689 1.08745 3.0787 -37.9244 4.98081 1.46147 -38.3104 7.35313 -0.0248473 -39.329 9.79244 -0.884273 -30.3994 -0.21434 0.512943 -36.1511 -0.230412 1.35634 -38.9636 3.13092 0.4778 -39.5379 5.40777 -0.422853 -40.0017 7.93033 -1.42233 -29.0969 -0.499078 -1.28059 -30.3758 -1.40508 -1.28389 -33.5682 -2.02453 -2.08411 -36.1587 -2.98307 -2.5194 -38.6436 -5.16438 -2.45738 
-27 0.000413845 3.77457e-06 -29.255 1.54299 2.57423 -33.1119 3.54969 5.39263 -33.7761 5.5541 2.27637 -33.0928 4.96562 0.395527 -31.6729 2.81246 0.144378 -29.6805 1.02129 1.93662 -34.4281 2.01484 4.59122 -34.7742 4.94419 1.22598 -33.2066 4.05997 -0.528102 -31.3747 1.65877 -1.12299 -30.106 0.499596 1.299 -35.5763 1.17626 3.02493 -37.9147 5.06855 1.38058 -38.1842 7.4392 -0.133833 -39.2933 9.84036 -0.988629 -30.4037 -0.18419 0.495933 -36.1599 -0.148166 1.30722 -38.9442 3.22533 0.386477 -39.4998 5.49902 -0.533654 -39.9117 8.02223 -1.55403 -29.0941 -0.489442 -1.28899 -30.38 -1.38538 -1.29348 -33.5736 -1.98627 -2.10314 -36.169 -2.92998 -2.54157 -38.6687 -5.0942 -2.47503 
-27 0.000409669 1.61283e-06 -29.2442 1.59035 2.5548 -33.0846 3.66828 5.34404 -33.718 5.66045 2.21356 -33.0313 5.04934 0.341173 -31.654 2.8663 0.1121 -29.6741 1.06971 1.91928 -34.4182 2.14452 4.54828 -34.7132 5.05411 1.16109 -33.1546 4.13477 -0.582923 -31.3436 1.71304 -1.15806 -30.104 0.549087 1.28374 -35.5713 1.31181 2.9829 -37.8738 5.21454 1.31285 -38.0322 7.57285 -0.236144 -39.2011 9.94799 -1.08407 -30.4076 -0.136436 0.484384 -36.1659 -0.0191152 1.27305 -38.9053 3.38043 0.314324 -39.431 5.6527 -0.626644 -39.79 8.17763 -1.66263 -29.0955 -0.471305 -1.2934 -30.3928 -1.35061 -1.29608 -33.5917 -1.91822 -2.10931 -36.1971 -2.8343 -2.54653 -38.7221 -4.96856 -2.47006 
