Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000409754 7.73582e-07 -28.884 -2.98009 -1.28788 -32.4737 -6.18834 -3.20289 -35.0479 -8.93484 -3.1998 -36.5877 -10.3382 -3.0982 -38.9097 -11.1204 -2.25475 -29.0591 -2.18154 -1.72537 -32.7761 -4.93498 -4.75455 -36.0616 -7.27752 -6.6895 -38.5143 -7.82235 -6.6339 -40.7944 -6.72165 -4.88315 -29.2342 -1.38299 -2.16285 -33.3307 -3.21919 -5.79718 -36.9376 -5.39207 -8.16166 -39.7495 -5.56763 -7.94095 -41.4389 -4.09066 -6.30054 -29.2625 -0.366397 -2.57133 -33.3487 -1.20625 -6.6199 -37.4805 -1.47631 -8.30398 -39.8671 -0.988821 -7.67834 -40.9443 -0.0668009 -5.31891 -28.6115 1.37932 -1.33725 -29.4684 1.46089 -2.64695 -32.6685 0.475656 -2.71446 -35.1521 -0.688811 -2.17153 -35.8487 -3.85174 -1.50276 
-27 0.000408588 -4.64694e-07 -28.915 -2.97291 -1.2584 -32.5443 -6.16544 -3.12432 -35.1157 -8.91413 -3.07129 -36.6511 -10.3207 -2.94953 -38.9637 -11.0869 -2.06641 -29.0902 -2.17466 -1.6964 -32.8574 -4.91488 -4.67511 -36.13 -7.2861 -6.59689 -38.5749 -7.86619 -6.55005 -40.8914 -6.80781 -4.82122 -29.2655 -1.37641 -2.13439 -33.4134 -3.20042 -5.71612 -36.9969 -5.39549 -8.0956 -39.8099 -5.60324 -7.92269 -41.5907 -4.18042 -6.33178 -29.2922 -0.360892 -2.54564 -33.43 -1.19148 -6.54343 -37.5517 -1.4617 -8.25194 -39.9486 -0.967932 -7.67195 -41.07 -0.0119076 -5.34691 -28.6178 1.38468 -1.32397 -29.4901 1.46673 -2.62345 -32.6958 0.498392 -2.66575 -35.183 -0.649359 -2.10394 -35.9289 -3.79602 -1.41209 
-27 0.000410045 1.10181e-06 -28.9397 -2.96465 -1.23994 -32.5999 -6.13976 -3.07494 -35.1712 -8.88769 -2.98895 -36.706 -10.2937 -2.85331 -39.0144 -11.0368 -1.94015 -29.1134 -2.16627 -1.67828 -32.9171 -4.89073 -4.62498 -36.1861 -7.27139 -6.54113 -38.6272 -7.86748 -6.50085 -40.9634 -6.82856 -4.78665 -29.2872 -1.36789 -2.11661 -33.4705 -3.17621 -5.665 -37.0416 -5.37876 -8.05623 -39.8551 -5.60221 -7.91444 -41.6898 -4.21142 -6.35683 -29.3112 -0.352999 -2.52959 -33.4821 -1.17045 -6.49554 -37.5995 -1.4291 -8.21618 -40.0005 -0.926048 -7.66221 -41.145 0.0526145 -5.35791 -28.619 1.3911 -1.31577 -29.5011 1.47484 -2.60854 -32.7111 0.520401 -2.63889 -35.202 -0.614625 -2.0682 -35.981 -3.75074 -1.36496 
-27 0.000411502 2.6683e-06 -28.9621 -2.95546 -1.22653 -32.6508 -6.11164 -3.03706 -35.2257 -8.85542 -2.92902 -36.7637 -10.2569 -2.78384 -39.0732 -10.9669 -1.84713 -29.1344 -2.15647 -1.66434 -32.9706 -4.8628 -4.58536 -36.2491 -7.23694 -6.49346 -38.6901 -7.83347 -6.45142 -41.0286 -6.79646 -4.73927 -29.3067 -1.35747 -2.10215 -33.5214 -3.1468 -5.62288 -37.0962 -5.34381 -8.01358 -39.9101 -5.56918 -7.88094 -41.7646 -4.19122 -6.33553 -29.3279 -0.342723 -2.51562 -33.5273 -1.14308 -6.45482 -37.6497 -1.38027 -8.16669 -40.049 -0.865273 -7.61598 -41.1934 0.126628 -5.31735 -28.6197 1.39855 -1.30704 -29.5102 1.48521 -2.59376 -32.7237 0.542141 -2.614 -35.2171 -0.583619 -2.03592 -36.015 -3.71439 -1.32994 
-27 0.000406436 2.379e-07 -28.9798 -2.94723 -1.21784 -32.6929 -6.08651 -3.00779 -35.2705 -8.82754 -2.89516 -36.8157 -10.2205 -2.74388 -39.1315 -10.883 -1.78828 -29.1522 -2.14708 -1.65347 -33.0172 -4.83625 -4.55239 -36.3129 -7.19749 -6.44686 -38.7555 -7.78614 -6.3923 -41.0724 -6.73649 -4.65867 -29.3246 -1.34693 -2.08911 -33.5683 -3.11752 -5.5844 -37.1597 -5.30236 -7.96148 -39.9733 -5.52209 -7.81488 -41.8169 -4.14218 -6.25821 -29.3451 -0.331552 -2.50109 -33.5721 -1.11394 -6.4144 -37.7059 -1.32696 -8.1016 -40.0996 -0.804584 -7.53373 -41.2269 0.182025 -5.2244 -28.6233 1.40571 -1.29477 -29.5228 1.49612 -2.57498 -32.7382 0.559496 -2.58142 -35.2307 -0.562394 -1.99183 -36.02 -3.69518 -1.28518 
-27 0.000401371 -2.1925e-06 -28.9956 -2.93973 -1.21023 -32.7313 -6.06325 -2.98046 -35.3093 -8.80413 -2.87348 -36.8637 -10.1863 -2.71761 -39.1873 -10.7881 -1.74113 -29.1686 -2.13836 -1.6434 -33.0601 -4.81166 -4.52137 -36.3745 -7.16 -6.39913 -38.8192 -7.73807 -6.32757 -41.089 -6.65495 -4.55261 -29.3415 -1.33699 -2.07657 -33.6123 -3.09 -5.54768 -37.2236 -5.26212 -7.90614 -40.0366 -5.47298 -7.73689 -41.8549 -4.07957 -6.16247 -29.3619 -0.320861 -2.48668 -33.6147 -1.08614 -6.37522 -37.7617 -1.27605 -8.03272 -40.1486 -0.74906 -7.44132 -41.2533 0.220137 -5.11371 -28.6277 1.41236 -1.28202 -29.5357 1.50643 -2.55598 -32.7527 0.575516 -2.54553 -35.2431 -0.543066 -1.94083 -36.0079 -3.68128 -1.23143 
-27 0.000404401 -8.07465e-08 -29.0106 -2.93622 -1.19378 -32.7689 -6.05006 -2.93307 -35.3422 -8.79523 -2.82454 -36.9055 -10.1664 -2.66047 -39.234 -10.6913 -1.65167 -29.1849 -2.1348 -1.6263 -33.1036 -4.8014 -4.47346 -36.4401 -7.14233 -6.32108 -38.8884 -7.70037 -6.21946 -41.071 -6.54263 -4.38331 -29.3592 -1.33336 -2.05881 -33.6583 -3.07957 -5.49826 -37.2966 -5.24726 -7.81903 -40.1079 -5.44176 -7.60823 -41.8602 -4.00393 -5.99924 -29.3802 -0.317485 -2.46952 -33.661 -1.07758 -6.3284 -37.8255 -1.25096 -7.94324 -40.2013 -0.715131 -7.31618 -41.2493 0.234266 -4.95446 -28.6337 1.41499 -1.27142 -29.5508 1.50931 -2.53883 -32.7686 0.581746 -2.50512 -35.2555 -0.533344 -1.87994 -35.9841 -3.67907 -1.16573 
-27 0.000407719 2.43794e-06 -29.0228 -2.93658 -1.17199 -32.8007 -6.04697 -2.87467 -35.3649 -8.80063 -2.76273 -36.9365 -10.161 -2.58922 -39.267 -10.5991 -1.54428 -29.199 -2.13607 -1.60546 -33.1418 -4.80464 -4.41734 -36.501 -7.14317 -6.22644 -38.9543 -7.66951 -6.08325 -41.0151 -6.4054 -4.17789 -29.3752 -1.33555 -2.03891 -33.6999 -3.08502 -5.44436 -37.3692 -5.25483 -7.71379 -40.1774 -5.42478 -7.44712 -41.8173 -3.9139 -5.78741 -29.3977 -0.320752 -2.4522 -33.7042 -1.08644 -6.28117 -37.8869 -1.24974 -7.84927 -40.248 -0.702509 -7.17789 -41.1954 0.228391 -4.76684 -28.6405 1.41388 -1.26393 -29.5662 1.50542 -2.52519 -32.7839 0.578295 -2.46734 -35.2664 -0.534088 -1.82047 -35.9488 -3.68854 -1.09917 
-27 0.000408056 2.9127e-06 -29.0342 -2.93793 -1.14878 -32.8299 -6.04599 -2.81554 -35.3837 -8.80921 -2.70254 -36.965 -10.1574 -2.52111 -39.2958 -10.4973 -1.44092 -29.2113 -2.13895 -1.58469 -33.1743 -4.81243 -4.36317 -36.5577 -7.14846 -6.12991 -39.0175 -7.62566 -5.93533 -40.9182 -6.22343 -3.96136 -29.3884 -1.33996 -2.02057 -33.7336 -3.09632 -5.39625 -37.4387 -5.26808 -7.60484 -40.2417 -5.39921 -7.27012 -41.7093 -3.78288 -5.54968 -29.4112 -0.326874 -2.43803 -33.7374 -1.10232 -6.24286 -37.9367 -1.25612 -7.76672 -40.2787 -0.691795 -7.04448 -41.0732 0.222209 -4.57248 -28.6447 1.41142 -1.26115 -29.5771 1.49874 -2.51782 -32.7948 0.573159 -2.43958 -35.2743 -0.534606 -1.77362 -35.9062 -3.69802 -1.0455 
-27 0.000408104 2.98052e-06 -29.0392 -2.94136 -1.13089 -32.8447 -6.052 -2.77048 -35.382 -8.83055 -2.66258 -36.9699 -10.1705 -2.47803 -39.2989 -10.4203 -1.36982 -29.2174 -2.14397 -1.56924 -33.1915 -4.82625 -4.32345 -36.5888 -7.16479 -6.05986 -39.0535 -7.59398 -5.82109 -40.7933 -6.06124 -3.79645 -29.3956 -1.34656 -2.00758 -33.7523 -3.11392 -5.3627 -37.4779 -5.29472 -7.52729 -40.275 -5.39201 -7.13642 -41.5688 -3.67904 -5.37054 -29.4194 -0.335064 -2.42881 -33.7565 -1.12396 -6.21833 -37.9677 -1.27421 -7.70967 -40.292 -0.696018 -6.94285 -40.9318 0.200309 -4.42003 -28.6482 1.40735 -1.26109 -29.5848 1.48992 -2.51499 -32.8014 0.561915 -2.4234 -35.2783 -0.54417 -1.74488 -35.8583 -3.71666 -1.0131 
