Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000407516 1.72601e-06 -30.1639 1.84918 0.814216 -34.9209 3.90146 0.887505 -34.6119 4.91377 -2.72493 -33.3953 4.18318 -4.2536 -32.1286 2.23596 -3.10521 -30.2759 1.06763 0.328 -35.7095 2.0789 0.490164 -35.4714 3.94621 -3.56967 -33.4435 3.09302 -4.78441 -31.877 0.678528 -3.69267 -30.3878 0.286085 -0.158225 -36.1156 0.531703 -0.86019 -38.9812 2.6391 -4.12659 -38.135 3.65792 -6.623 -35.6071 2.71074 -7.28566 -30.3089 -0.675517 -0.678052 -35.9626 -1.26029 -1.89749 -39.5443 -0.691836 -4.51065 -39.9273 0.413304 -6.73707 -37.5659 1.15929 -7.93907 -28.3875 -1.30568 -1.62958 -29.5826 -2.30091 -1.82318 -32.1099 -3.38865 -3.73243 -34.2201 -4.49383 -5.19693 -36.65 -6.50879 -6.1829 
-27 0.000410197 2.28478e-06 -30.1745 1.84846 0.773888 -34.9449 3.87034 0.80894 -34.6421 4.79181 -2.82825 -33.4273 4.00779 -4.33168 -32.1843 2.07998 -3.12607 -30.2824 1.05286 0.310064 -35.7222 2.03172 0.464598 -35.5161 3.79941 -3.64132 -33.4957 2.89766 -4.83333 -31.8805 0.53652 -3.69683 -30.3903 0.257272 -0.153771 -36.1221 0.445053 -0.841109 -39.0391 2.44041 -4.13218 -38.2349 3.39562 -6.66732 -35.705 2.43978 -7.30953 -30.3062 -0.717873 -0.646864 -35.9605 -1.37612 -1.82539 -39.5566 -0.937573 -4.44386 -39.9596 0.0907094 -6.70333 -37.5885 0.790598 -7.91384 -28.3835 -1.36056 -1.58745 -29.5686 -2.37409 -1.7444 -32.0838 -3.58285 -3.59602 -34.1804 -4.78539 -5.00222 -36.5755 -6.88519 -5.89152 
-27 0.000407732 7.53722e-09 -30.1804 1.84541 0.756556 -34.9631 3.83821 0.785467 -34.6846 4.68393 -2.872 -33.4717 3.85037 -4.3501 -32.2458 1.93521 -3.10738 -30.2868 1.03836 0.312587 -35.7312 1.98678 0.490173 -35.5743 3.66705 -3.65444 -33.5649 2.7279 -4.83613 -31.9016 0.413827 -3.67256 -30.3931 0.231309 -0.131396 -36.1314 0.367711 -0.775007 -39.1109 2.26674 -4.06717 -38.3533 3.16719 -6.63646 -35.8257 2.20409 -7.27729 -30.3065 -0.754671 -0.601991 -35.9663 -1.47682 -1.71482 -39.5874 -1.15053 -4.3151 -40.0178 -0.191211 -6.59971 -37.6424 0.458881 -7.82946 -28.3873 -1.40684 -1.5432 -29.5635 -2.43575 -1.66192 -32.0749 -3.74962 -3.44595 -34.1647 -5.03522 -4.7871 -36.5317 -7.20557 -5.57677 
-27 0.000405268 -2.2697e-06 -30.1852 1.84276 0.742716 -34.9782 3.8106 0.768689 -34.7217 4.59191 -2.90468 -33.5055 3.71189 -4.35282 -32.2872 1.79855 -3.09987 -30.2902 1.02636 0.315849 -35.7383 1.94958 0.514989 -35.6246 3.55466 -3.66072 -33.6232 2.58604 -4.83206 -31.919 0.310339 -3.65206 -30.3952 0.209963 -0.111038 -36.1386 0.303989 -0.715522 -39.1735 2.12339 -4.00204 -38.4581 2.97607 -6.59958 -35.9351 2.00279 -7.24276 -30.3064 -0.784801 -0.562353 -35.9704 -1.55907 -1.61749 -39.6136 -1.32843 -4.19718 -40.0657 -0.433943 -6.50379 -37.6893 0.176465 -7.75173 -28.3905 -1.44523 -1.50437 -29.5588 -2.48643 -1.58961 -32.0647 -3.89111 -3.31108 -34.1475 -5.24726 -4.59233 -36.489 -7.47597 -5.29013 
-27 0.000411028 8.31212e-07 -30.1907 1.8452 0.712574 -34.9901 3.79744 0.709815 -34.7324 4.51958 -2.97556 -33.5046 3.59214 -4.3838 -32.2743 1.68071 -3.13976 -30.2933 1.02105 0.300272 -35.7441 1.93067 0.487847 -35.6446 3.47195 -3.71219 -33.6433 2.47545 -4.86012 -31.9151 0.223967 -3.66861 -30.3959 0.196906 -0.112043 -36.1399 0.263108 -0.714706 -39.2054 2.022 -4.00577 -38.5211 2.83001 -6.62587 -36.0032 1.83816 -7.2608 -30.3043 -0.80538 -0.545792 -35.9667 -1.61489 -1.58219 -39.617 -1.46356 -4.15767 -40.0737 -0.63345 -6.48734 -37.697 -0.0350634 -7.74063 -28.3869 -1.47609 -1.47751 -29.5492 -2.52554 -1.5395 -32.0405 -4.00771 -3.21659 -34.1115 -5.42215 -4.45326 -36.43 -7.69642 -5.07659 
-27 0.000416789 3.93213e-06 -30.1942 1.85162 0.679432 -34.9962 3.79713 0.641156 -34.7305 4.46884 -3.05318 -33.4867 3.49975 -4.41862 -32.232 1.58161 -3.20968 -30.2951 1.02131 0.279243 -35.7472 1.92733 0.443981 -35.6482 3.41573 -3.7751 -33.6423 2.39862 -4.89661 -31.8987 0.162707 -3.6983 -30.396 0.190998 -0.120954 -36.1388 0.242354 -0.736115 -39.2228 1.95764 -4.03283 -38.5618 2.72607 -6.67075 -36.0516 1.70708 -7.29302 -30.3023 -0.817509 -0.539597 -35.9622 -1.64772 -1.57357 -39.6133 -1.55917 -4.1509 -40.0655 -0.787699 -6.50151 -37.6878 -0.186943 -7.7518 -28.3824 -1.49961 -1.45785 -29.5411 -2.55399 -1.50259 -32.0171 -4.10008 -3.14429 -34.0769 -5.5614 -4.34446 -36.3772 -7.87026 -4.9054 
-27 0.000409158 2.23085e-08 -30.1954 1.85959 0.65153 -34.9966 3.80606 0.581062 -34.7217 4.44357 -3.11865 -33.4565 3.44729 -4.44442 -32.1821 1.49989 -3.30495 -30.2955 1.02519 0.259736 -35.7476 1.93503 0.400603 -35.6419 3.38752 -3.83081 -33.6293 2.35892 -4.92951 -31.8749 0.132327 -3.72954 -30.3956 0.19079 -0.132068 -36.1365 0.238691 -0.764624 -39.233 1.92942 -4.06243 -38.5872 2.66874 -6.71242 -36.0878 1.61467 -7.31945 -30.3011 -0.822049 -0.539939 -35.9588 -1.65986 -1.58007 -39.6069 -1.61514 -4.16271 -40.0493 -0.888956 -6.52954 -37.6697 -0.275502 -7.76992 -28.379 -1.51427 -1.44587 -29.5359 -2.57107 -1.47934 -31.9989 -4.1659 -3.09356 -34.0499 -5.6629 -4.26473 -36.3355 -7.99774 -4.77564 
-27 0.000400965 -3.88751e-06 -30.1976 1.86362 0.628601 -34.9995 3.80731 0.531438 -34.7191 4.41754 -3.17246 -33.4288 3.40354 -4.46002 -32.1287 1.41832 -3.41899 -30.2965 1.02581 0.24383 -35.7493 1.93462 0.365379 -35.6393 3.35725 -3.87605 -33.6201 2.32239 -4.95661 -31.8611 0.0984819 -3.75835 -30.3954 0.188009 -0.140951 -36.1348 0.228742 -0.787577 -39.2465 1.89763 -4.08214 -38.6148 2.61308 -6.74206 -36.1282 1.52014 -7.33266 -30.2996 -0.828276 -0.539842 -35.9549 -1.67671 -1.5844 -39.6001 -1.67259 -4.17141 -40.0327 -0.985321 -6.55165 -37.6564 -0.345146 -7.78493 -28.3752 -1.52739 -1.43565 -29.5297 -2.58708 -1.45933 -31.9812 -4.22607 -3.04675 -34.0237 -5.75587 -4.18977 -36.2937 -8.11555 -4.65407 
-27 0.000400309 5.56674e-07 -30.2078 1.85059 0.615041 -35.0208 3.76593 0.504446 -34.7638 4.34863 -3.20557 -33.4424 3.33766 -4.46363 -32.11 1.3016 -3.57244 -30.3022 1.00854 0.238469 -35.76 1.88673 0.358855 -35.667 3.27481 -3.89442 -33.6303 2.26399 -4.965 -31.8703 0.0317447 -3.78384 -30.3966 0.166509 -0.138106 -36.1369 0.168161 -0.778594 -39.285 1.79319 -4.06046 -38.6789 2.48683 -6.7321 -36.2055 1.35747 -7.30954 -30.2953 -0.852979 -0.527343 -35.9471 -1.74429 -1.55507 -39.5964 -1.80197 -4.13578 -40.0281 -1.15487 -6.52739 -37.6812 -0.459228 -7.78644 -28.368 -1.54925 -1.41902 -29.5144 -2.61789 -1.42826 -31.9525 -4.31221 -2.97774 -33.9835 -5.88459 -4.08302 -36.2262 -8.2804 -4.49152 
-27 0.000400215 5.00086e-06 -30.2191 1.83344 0.60732 -35.0447 3.71648 0.490141 -34.8155 4.27789 -3.22498 -33.4584 3.28162 -4.4565 -32.1042 1.19584 -3.72803 -30.3085 0.987894 0.237425 -35.7719 1.83033 0.362201 -35.6978 3.18904 -3.90092 -33.6449 2.20437 -4.96477 -31.8822 -0.0355775 -3.80252 -30.3979 0.142363 -0.13247 -36.1392 0.101052 -0.76248 -39.3247 1.68481 -4.0284 -38.7438 2.36114 -6.71005 -36.2825 1.19933 -7.27482 -30.2904 -0.879382 -0.51406 -35.9383 -1.81696 -1.52213 -39.5909 -1.93329 -4.09609 -40.0234 -1.31641 -6.49556 -37.7071 -0.563049 -7.77792 -28.3602 -1.5694 -1.40427 -29.4979 -2.64734 -1.4004 -31.9235 -4.39167 -2.91358 -33.9433 -6.00284 -3.98291 -36.1577 -8.43286 -4.34085 
