Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000401443 -3.68635e-06 -29.4338 0.21642 2.84983 -33.6178 0.58301 5.88387 -35.8647 3.56482 5.40432 -36.2128 4.97192 3.90441 -35.074 4.33027 1.66687 -29.7747 -0.13823 2.06387 -34.6117 -0.839733 4.6493 -36.5133 2.93029 3.16715 -35.1678 4.01986 1.34546 -32.6954 2.49866 0.321436 -30.1156 -0.492866 1.2779 -35.5579 -1.53134 2.91008 -37.501 2.66176 1.50846 -35.5439 3.88827 -0.119874 -33.5555 2.09054 -0.85539 -30.306 -0.922966 0.288007 -35.9347 -2.26348 0.848093 -38.0803 1.42078 -0.494886 -36.409 2.98125 -1.54218 -33.9975 1.65808 -1.64676 -29.0031 -0.405467 -1.45237 -30.1969 -1.3761 -1.7507 -33.3768 -1.91223 -2.6544 -35.9997 -2.61824 -3.31854 -38.8192 -4.23376 -3.93256 
-27 0.000407484 -2.46924e-07 -29.4278 0.25894 2.85134 -33.5982 0.669913 5.89848 -35.7766 3.68546 5.32302 -36.0687 5.03932 3.76335 -34.9218 4.28162 1.5666 -29.7719 -0.10214 2.0697 -34.6057 -0.760613 4.67254 -36.4196 3.01687 3.10216 -35.0326 4.02521 1.26488 -32.5987 2.40614 0.30049 -30.116 -0.463205 1.28805 -35.5588 -1.46378 2.94217 -37.3999 2.74372 1.44912 -35.4044 3.88181 -0.196763 -33.4614 2.01432 -0.877492 -30.3103 -0.902652 0.303022 -35.9439 -2.21372 0.882844 -38.0097 1.48844 -0.533953 -36.2908 2.98279 -1.60036 -33.9277 1.57205 -1.65806 -29.0076 -0.410207 -1.44479 -30.205 -1.3806 -1.72912 -33.3867 -1.92666 -2.62051 -36.009 -2.64128 -3.27743 -38.8186 -4.28363 -3.86556 
-27 0.000413524 3.1925e-06 -29.42 0.295639 2.85443 -33.5755 0.743565 5.91671 -35.6884 3.78718 5.25204 -35.9323 5.08924 3.64083 -34.7838 4.22726 1.48372 -29.7675 -0.0711228 2.07695 -34.5956 -0.693241 4.69905 -36.3307 3.08795 3.0505 -34.9124 4.02377 1.19889 -32.5154 2.32375 0.282413 -30.115 -0.43787 1.29945 -35.5562 -1.40657 2.97743 -37.3066 2.81008 1.40325 -35.2822 3.87 -0.259423 -33.3826 1.94389 -0.898268 -30.3134 -0.885515 0.31896 -35.9504 -2.1719 0.921031 -37.9467 1.543 -0.560581 -36.1887 2.97693 -1.64613 -33.8694 1.4944 -1.66313 -29.0127 -0.414795 -1.43632 -30.2133 -1.38515 -1.70711 -33.3972 -1.94162 -2.58419 -36.0191 -2.6648 -3.23343 -38.8173 -4.33557 -3.79457 
-27 0.000409892 1.03936e-06 -29.4068 0.327173 2.86215 -33.5425 0.805796 5.94641 -35.5995 3.86964 5.20374 -35.8073 5.12768 3.55297 -34.6692 4.17581 1.42839 -29.7588 -0.0449668 2.08925 -34.5756 -0.637316 4.73883 -36.2456 3.1433 3.023 -34.8072 4.01626 1.15619 -32.445 2.2486 0.278051 -30.1107 -0.417091 1.31634 -35.5461 -1.36046 3.02741 -37.2218 2.86007 1.38395 -35.179 3.85208 -0.298018 -33.3225 1.8739 -0.903483 -30.3148 -0.87228 0.340481 -35.9525 -2.14009 0.974928 -37.8928 1.58247 -0.560768 -36.1044 2.96225 -1.6667 -33.8237 1.42094 -1.65344 -29.0202 -0.42038 -1.4242 -30.2235 -1.39137 -1.68013 -33.4106 -1.95938 -2.53768 -36.033 -2.69305 -3.17325 -38.8194 -4.39319 -3.7041 
-27 0.000406017 -1.44745e-06 -29.3929 0.352683 2.87077 -33.5092 0.855278 5.97712 -35.519 3.93338 5.16736 -35.699 5.15616 3.4871 -34.5728 4.12714 1.3924 -29.7492 -0.0240894 2.10212 -34.5537 -0.593424 4.77919 -36.1694 3.18438 3.00627 -34.718 4.00499 1.12584 -32.3867 2.18158 0.280082 -30.1056 -0.400847 1.33346 -35.5337 -1.3251 3.07749 -37.1485 2.89629 1.37619 -35.094 3.83136 -0.324041 -33.2783 1.8066 -0.898505 -30.3151 -0.862423 0.361779 -35.952 -2.11689 1.02901 -37.8474 1.61017 -0.551235 -36.0348 2.94263 -1.6756 -33.7868 1.35437 -1.63994 -29.0276 -0.425845 -1.41194 -30.233 -1.39778 -1.65415 -33.4232 -1.97738 -2.49255 -36.0459 -2.72197 -3.11358 -38.8196 -4.45097 -3.61738 
-27 0.000405764 -1.76168e-06 -29.383 0.374006 2.8763 -33.4856 0.896916 5.99734 -35.458 3.98363 5.13025 -35.6181 5.17887 3.42831 -34.5039 4.06818 1.36917 -29.7424 -0.00693371 2.11114 -34.538 -0.557355 4.80799 -36.1088 3.21541 2.98464 -34.6461 3.9938 1.09503 -32.34 2.12269 0.284785 -30.1018 -0.387862 1.34598 -35.5247 -1.29702 3.11427 -37.0907 2.9226 1.36374 -35.0274 3.81138 -0.350545 -33.2566 1.7383 -0.892045 -30.3152 -0.85508 0.377839 -35.9512 -2.09996 1.06979 -37.8105 1.62878 -0.548965 -35.9773 2.92091 -1.6869 -33.7559 1.29609 -1.63486 -29.0328 -0.431397 -1.40271 -30.2395 -1.40439 -1.63402 -33.431 -1.99482 -2.45954 -36.0535 -2.75115 -3.0675 -38.8127 -4.50833 -3.55279 
-27 0.000405694 -1.89232e-06 -29.3737 0.384005 2.88269 -33.4642 0.914256 6.01836 -35.4089 4.00705 5.11125 -35.555 5.18288 3.3946 -34.4542 4.00401 1.36643 -29.7357 0.000901947 2.11985 -34.5223 -0.543078 4.83394 -36.0586 3.22734 2.97665 -34.5882 3.97473 1.08051 -32.3036 2.06612 0.297471 -30.0977 -0.382192 1.357 -35.5146 -1.28655 3.14587 -37.0442 2.93334 1.36406 -34.9758 3.78812 -0.361348 -33.2466 1.67362 -0.876277 -30.3144 -0.852269 0.390984 -35.9484 -2.09486 1.10351 -37.7814 1.63659 -0.538734 -35.9315 2.89684 -1.68532 -33.7324 1.24226 -1.62327 -29.0375 -0.434685 -1.39492 -30.2445 -1.40904 -1.61858 -33.4368 -2.0099 -2.43357 -36.0582 -2.77928 -3.02972 -38.8019 -4.56414 -3.50165 
-27 0.000405644 -2.34516e-06 -29.3624 0.38322 2.89202 -33.4392 0.908437 6.04645 -35.364 4.00742 5.11856 -35.4989 5.17199 3.39332 -34.4082 3.95716 1.38096 -29.7274 0.000350636 2.13048 -34.5028 -0.548439 4.86318 -36.013 3.22499 2.99061 -34.5382 3.94799 1.08841 -32.2743 2.0095 0.318817 -30.0924 -0.382509 1.36893 -35.5018 -1.29028 3.17879 -37.0035 2.93438 1.38466 -34.9324 3.76248 -0.35042 -33.2358 1.61739 -0.847101 -30.3129 -0.852295 0.403625 -35.9438 -2.09703 1.13621 -37.7581 1.64038 -0.513239 -35.894 2.87486 -1.66482 -33.7159 1.19303 -1.59543 -29.0429 -0.434219 -1.38711 -30.2499 -1.40976 -1.60552 -33.4434 -2.01967 -2.40892 -36.0633 -2.80195 -2.99482 -38.793 -4.6113 -3.45491 
-27 0.000405536 -2.64793e-06 -29.3479 0.381297 2.90412 -33.4075 0.900148 6.08149 -35.3191 4.00397 5.14223 -35.4453 5.15969 3.4104 -34.3676 3.91968 1.40638 -29.7166 -0.00121704 2.14423 -34.4776 -0.556109 4.90071 -35.9693 3.22036 3.01948 -34.4929 3.9195 1.10964 -32.2504 1.95292 0.348494 -30.0854 -0.383721 1.38432 -35.485 -1.29603 3.22091 -36.9667 2.93297 1.42039 -34.895 3.7355 -0.326044 -33.2288 1.56329 -0.807279 -30.3107 -0.853017 0.419893 -35.9375 -2.10061 1.17869 -37.7399 1.64169 -0.472744 -35.8645 2.85274 -1.6309 -33.7065 1.14549 -1.55545 -29.0498 -0.43378 -1.377 -30.2569 -1.41061 -1.58905 -33.4526 -2.02934 -2.37691 -36.0714 -2.82456 -2.94995 -38.7892 -4.65578 -3.39397 
-27 0.000404504 -2.00108e-06 -29.3289 0.374849 2.92014 -33.3672 0.880842 6.12674 -35.2752 3.98668 5.18703 -35.396 5.13585 3.45047 -34.3326 3.87764 1.45019 -29.7023 -0.00733179 2.16229 -34.4437 -0.575451 4.94968 -35.9292 3.20324 3.06807 -34.4556 3.88147 1.14858 -32.2334 1.89121 0.389457 -30.0756 -0.3895 1.40444 -35.4612 -1.3137 3.27564 -36.9359 2.91838 1.47657 -34.8676 3.6993 -0.283618 -33.2266 1.5053 -0.752519 -30.3066 -0.858039 0.441007 -35.9265 -2.11537 1.23435 -37.7283 1.62952 -0.411869 -35.8464 2.82191 -1.57877 -33.7059 1.09281 -1.5016 -29.0584 -0.435075 -1.36379 -30.2647 -1.41451 -1.56814 -33.4631 -2.04491 -2.3353 -36.0808 -2.85559 -2.89186 -38.7869 -4.7088 -3.31501 
