Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000404058 6.50205e-07 -28.9991 -2.891 -1.31705 -32.7694 -5.98611 -3.06385 -35.5733 -8.49649 -3.14187 -37.096 -9.91485 -2.99848 -38.9842 -11.6377 -2.57276 -29.2786 -2.05395 -1.60169 -33.4254 -4.52731 -4.29615 -37.27 -6.53956 -5.38939 -39.5563 -7.57717 -5.49976 -42.2209 -9.11817 -5.53099 -29.558 -1.21691 -1.88633 -34.2406 -2.72919 -4.91076 -38.7096 -4.25825 -5.91676 -41.4662 -4.76371 -5.55326 -44.1555 -5.45958 -5.65122 -29.6946 -0.159442 -2.13975 -34.4885 -0.584177 -5.40044 -38.9227 -1.03575 -5.06176 -41.0925 -1.03482 -3.79019 -43.385 -1.04092 -2.26643 -28.8772 1.44695 -0.818523 -29.7792 1.87288 -2.02737 -32.9548 2.44374 -1.12979 -35.4832 3.39139 -0.403126 -38.1805 5.21271 0.183325 
-27 0.00040662 1.32424e-06 -28.9879 -2.89717 -1.32053 -32.7538 -5.99629 -3.06953 -35.5106 -8.55227 -3.26224 -37.0118 -9.99848 -3.18648 -38.8719 -11.7715 -2.85263 -29.2712 -2.06082 -1.60336 -33.4136 -4.54465 -4.29495 -37.2115 -6.58211 -5.49927 -39.4721 -7.6609 -5.70367 -42.0973 -9.26236 -5.84108 -29.5545 -1.22447 -1.88617 -34.2362 -2.74978 -4.90551 -38.6683 -4.3288 -5.99427 -41.4228 -4.89418 -5.71353 -44.0921 -5.64234 -5.91742 -29.696 -0.16713 -2.1375 -34.4927 -0.609218 -5.39157 -38.9245 -1.09799 -5.07382 -41.1097 -1.12771 -3.82927 -43.4353 -1.17747 -2.35729 -28.8843 1.44033 -0.814062 -29.7874 1.86376 -2.02294 -32.9627 2.41992 -1.11516 -35.4917 3.36701 -0.390154 -38.1621 5.23782 0.163145 
-27 0.000409436 1.09542e-06 -28.9753 -2.90555 -1.32093 -32.7347 -6.01291 -3.06957 -35.4506 -8.60286 -3.36195 -36.9327 -10.0705 -3.3452 -38.7758 -11.8749 -3.09549 -29.2626 -2.07036 -1.60322 -33.3982 -4.56959 -4.29096 -37.1525 -6.62909 -5.59073 -39.3891 -7.74035 -5.87166 -41.9767 -9.39224 -6.09779 -29.5499 -1.23517 -1.88549 -34.2283 -2.77893 -4.9004 -38.6257 -4.40508 -6.05821 -41.3752 -5.02389 -5.84886 -44.0222 -5.82002 -6.14175 -29.6962 -0.178361 -2.13624 -34.4936 -0.643097 -5.38635 -38.9222 -1.16491 -5.07744 -41.1134 -1.21956 -3.84426 -43.461 -1.3062 -2.40944 -28.8912 1.43214 -0.812434 -29.7952 1.85113 -2.02222 -32.9705 2.39192 -1.10525 -35.5009 3.33637 -0.381548 -38.1531 5.23846 0.15198 
-27 0.000411176 7.44367e-07 -28.9617 -2.91345 -1.32382 -32.7119 -6.02951 -3.07649 -35.3932 -8.64405 -3.45748 -36.8583 -10.1282 -3.49388 -38.6866 -11.9567 -3.32322 -29.2525 -2.07937 -1.60574 -33.3783 -4.59345 -4.29478 -37.0924 -6.66924 -5.6813 -39.3077 -7.80463 -6.0269 -41.8602 -9.49826 -6.32946 -29.5434 -1.24528 -1.88764 -34.2152 -2.80673 -4.90371 -38.5801 -4.47395 -6.12422 -41.3226 -5.14029 -5.97987 -43.946 -5.97999 -6.35323 -29.6943 -0.188983 -2.13781 -34.4882 -0.674915 -5.38986 -38.9136 -1.22563 -5.08517 -41.1052 -1.30332 -3.85387 -43.4703 -1.4217 -2.45054 -28.8971 1.42425 -0.812564 -29.8008 1.83897 -2.02402 -32.9769 2.36322 -1.10016 -35.5095 3.30267 -0.377776 -38.1514 5.22142 0.146967 
-27 0.000408645 5.00337e-07 -28.9461 -2.91931 -1.33391 -32.6827 -6.04247 -3.10307 -35.3371 -8.67271 -3.55645 -36.7868 -10.1702 -3.63959 -38.614 -12.0056 -3.55386 -29.2391 -2.08602 -1.61592 -33.3481 -4.61124 -4.32004 -37.0255 -6.69392 -5.79144 -39.2239 -7.84338 -6.19361 -41.7382 -9.57534 -6.58588 -29.532 -1.25271 -1.89792 -34.1889 -2.82764 -4.93005 -38.5222 -4.52654 -6.2178 -41.2573 -5.23319 -6.14099 -43.8537 -6.11344 -6.59995 -29.686 -0.196705 -2.14746 -34.4668 -0.698411 -5.41645 -38.8901 -1.27338 -5.12612 -41.0811 -1.37535 -3.89574 -43.4739 -1.51333 -2.54186 -28.8996 1.41802 -0.817636 -29.7991 1.82974 -2.03317 -32.9782 2.33693 -1.10999 -35.5147 3.27009 -0.392986 -38.1549 5.19266 0.126742 
-27 0.000406114 3.46396e-07 -28.9282 -2.92507 -1.3473 -32.6471 -6.05634 -3.13902 -35.2758 -8.70034 -3.65811 -36.7113 -10.2085 -3.78232 -38.5365 -12.048 -3.77323 -29.2229 -2.09255 -1.62976 -33.3104 -4.62906 -4.35593 -36.9525 -6.71613 -5.90661 -39.1372 -7.87383 -6.35726 -41.6127 -9.63836 -6.84019 -29.5176 -1.26001 -1.91221 -34.1543 -2.84847 -4.96812 -38.4573 -4.57452 -6.31988 -41.1842 -5.31617 -6.30582 -43.7529 -6.23171 -6.84445 -29.6744 -0.204297 -2.16121 -34.4367 -0.720802 -5.45478 -38.8582 -1.31923 -5.1859 -41.0504 -1.44574 -3.95986 -43.4627 -1.6017 -2.64309 -28.9008 1.41176 -0.82546 -29.7945 1.82062 -2.04628 -32.9778 2.31009 -1.12818 -35.5192 3.23546 -0.418167 -38.1643 5.15236 0.0970387 
-27 0.00040637 3.24967e-07 -28.9057 -2.93088 -1.36642 -32.6017 -6.07216 -3.18808 -35.1987 -8.73181 -3.78078 -36.6203 -10.2492 -3.94661 -38.4294 -12.1039 -3.99786 -29.203 -2.09906 -1.6483 -33.2634 -4.6474 -4.40369 -36.8687 -6.74132 -6.02946 -39.0395 -7.90682 -6.52457 -41.4813 -9.69696 -7.08007 -29.5002 -1.26723 -1.93015 -34.1122 -2.86973 -5.01605 -38.3857 -4.62195 -6.42628 -41.1034 -5.39577 -6.46616 -43.6466 -6.34024 -7.07157 -29.6609 -0.211619 -2.17717 -34.4013 -0.742696 -5.49973 -38.8205 -1.36831 -5.25431 -41.0161 -1.51992 -4.0373 -43.4306 -1.70431 -2.72824 -28.9031 1.40456 -0.832539 -29.7905 1.81155 -2.05855 -32.9791 2.27993 -1.14768 -35.5261 3.19392 -0.443382 -38.1801 5.09882 0.0708499 
-27 0.000406625 3.03539e-07 -28.8848 -2.93675 -1.38269 -32.5592 -6.08853 -3.22964 -35.125 -8.7626 -3.88995 -36.5339 -10.2872 -4.09322 -38.325 -12.1573 -4.19334 -29.1848 -2.10569 -1.66396 -33.2206 -4.66616 -4.44413 -36.7931 -6.76709 -6.13224 -38.9515 -7.93968 -6.66359 -41.3633 -9.75122 -7.27755 -29.4847 -1.27463 -1.94523 -34.0747 -2.89143 -5.05644 -38.3235 -4.66603 -6.51232 -41.0324 -5.46705 -6.59405 -43.5535 -6.43539 -7.252 -29.6493 -0.219213 -2.19045 -34.3709 -0.765068 -5.53746 -38.7872 -1.41556 -5.30676 -40.9844 -1.5881 -4.09537 -43.394 -1.80066 -2.78153 -28.9059 1.39733 -0.838279 -29.7882 1.80226 -2.06865 -32.9809 2.25099 -1.16264 -35.5326 3.15399 -0.460929 -38.1959 5.04504 0.0561931 
-27 0.000406099 1.47484e-08 -28.8727 -2.94289 -1.38608 -32.5357 -6.10461 -3.23866 -35.0763 -8.78994 -3.94888 -36.4777 -10.3178 -4.17835 -38.2474 -12.2063 -4.30704 -29.1753 -2.1128 -1.66744 -33.1994 -4.6858 -4.45297 -36.7506 -6.79272 -6.17814 -38.9012 -7.97024 -6.72981 -41.2915 -9.7978 -7.37933 -29.4778 -1.2827 -1.94879 -34.0585 -2.91406 -5.06593 -38.2939 -4.7053 -6.54059 -40.9962 -5.52591 -6.64372 -43.5027 -6.5104 -7.3325 -29.6458 -0.227783 -2.19385 -34.3607 -0.78871 -5.54762 -38.7742 -1.45563 -5.30903 -40.9685 -1.64031 -4.09402 -43.3584 -1.8784 -2.74906 -28.9098 1.39089 -0.840179 -29.7908 1.79247 -2.07254 -32.9839 2.22835 -1.16141 -35.5365 3.12515 -0.455096 -38.2064 5.00407 0.0720043 
-27 0.000405573 -2.419e-07 -28.8635 -2.95011 -1.38315 -32.5186 -6.12311 -3.23203 -35.0359 -8.81932 -3.98265 -36.4317 -10.3491 -4.23291 -38.1753 -12.2604 -4.37997 -29.1688 -2.12123 -1.66509 -33.1863 -4.70885 -4.44682 -36.7194 -6.82499 -6.1975 -38.8629 -8.00873 -6.76331 -41.2345 -9.85115 -7.43889 -29.4742 -1.29235 -1.94702 -34.051 -2.9406 -5.06103 -38.2763 -4.74792 -6.545 -40.9724 -5.58698 -6.65985 -43.4678 -6.58325 -7.37172 -29.6457 -0.23818 -2.19288 -34.3595 -0.816598 -5.54529 -38.7697 -1.49851 -5.2899 -40.9599 -1.69116 -4.06871 -43.3269 -1.95365 -2.68832 -28.9145 1.38398 -0.840732 -29.7962 1.78099 -2.07412 -32.9884 2.20602 -1.1547 -35.5408 3.09798 -0.441654 -38.2168 4.96537 0.0953319 
