Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00039785 5.05116e-07 -29.5767 2.08181 1.76635 -33.673 5.03949 2.91449 -33.9119 8.75023 2.32864 -32.9958 10.604 2.05464 -32.4841 13.1131 1.65725 -29.6502 2.06064 0.842288 -34.393 4.88181 1.1902 -34.8931 9.32755 1.08571 -34.1321 11.7168 0.916881 -32.5809 14.3638 0.667496 -29.7238 2.03949 -0.0817739 -34.6741 4.93149 -0.783009 -35.3627 9.70976 -0.656866 -34.0526 12.1944 -0.967227 -33.3151 14.8644 -0.735249 -29.667 1.8467 -1.15915 -34.5286 4.57467 -2.80707 -35.5951 8.91515 -2.86672 -34.7882 11.2921 -2.71271 -33.666 13.7995 -2.53653 -27.7626 1.1463 -2.09566 -29.0056 1.62334 -2.92249 -29.88 4.8357 -3.28595 -30.159 7.61527 -3.40876 -30.3443 10.6336 -2.07009 
-27 0.00040223 7.32051e-07 -29.5107 2.09966 1.83879 -33.4832 5.18985 3.06992 -33.6823 8.93608 2.76009 -32.7374 10.79 2.61472 -32.2374 13.3245 2.41149 -29.5667 2.1345 0.913921 -34.1697 5.16906 1.33577 -34.6265 9.61685 1.52094 -33.864 12.0116 1.52051 -32.4689 14.7554 1.50092 -29.6228 2.16935 -0.0109506 -34.4065 5.34575 -0.633546 -35.0176 10.1185 -0.222244 -33.7759 12.6563 -0.28526 -33.0571 15.3099 0.124781 -29.5537 2.03547 -1.0965 -34.2354 5.10416 -2.66448 -35.2478 9.45276 -2.45161 -34.4606 11.8197 -2.13083 -33.4384 14.3444 -1.73319 -27.6661 1.29862 -2.03897 -28.8661 1.883 -2.86037 -29.6643 5.12528 -3.11825 -29.8712 7.91331 -3.17265 -29.826 10.8461 -1.64514 
-27 0.00040661 9.58986e-07 -29.4464 2.09902 1.92413 -33.3035 5.28766 3.26618 -33.4682 9.04799 3.21409 -32.4957 10.893 3.18148 -32.0085 13.438 3.15562 -29.4893 2.18603 1.00199 -33.9635 5.39089 1.53513 -34.3757 9.82354 1.99063 -33.5983 12.2085 2.1433 -32.4374 15.0515 2.35647 -29.5323 2.27305 0.0798584 -34.1659 5.68459 -0.421951 -34.707 10.4348 0.259702 -33.5359 13.0002 0.441542 -32.8302 15.6271 1.01407 -29.4549 2.19524 -1.0106 -33.9773 5.55087 -2.45322 -34.9399 9.89052 -1.98256 -34.1665 12.2368 -1.51162 -33.2266 14.7535 -0.911207 -27.587 1.43317 -1.97207 -28.7485 2.11268 -2.77538 -29.4941 5.37364 -2.93706 -29.6537 8.16527 -2.9201 -29.3963 10.9937 -1.22591 
-27 0.000404188 1.70754e-08 -29.3941 2.07908 2.00968 -33.1571 5.32988 3.4651 -33.246 9.08995 3.61956 -32.2722 10.9303 3.74584 -31.8031 13.475 3.88393 -29.4255 2.21405 1.09287 -33.7922 5.54213 1.74793 -34.1447 9.94804 2.44757 -33.3686 12.3192 2.74943 -32.351 15.1907 3.19077 -29.4569 2.34905 0.176062 -33.9643 5.94194 -0.192558 -34.4574 10.6496 0.765104 -33.3011 13.2029 1.125 -32.6165 15.7955 1.85734 -29.372 2.32405 -0.916314 -33.7617 5.90661 -2.21573 -34.6833 10.2225 -1.50571 -33.9375 12.5415 -0.880207 -33.049 15.0334 -0.119798 -27.5212 1.54994 -1.90099 -28.6465 2.31378 -2.67975 -29.369 5.58286 -2.76393 -29.4999 8.37461 -2.67513 -29.0818 11.0966 -0.844152 
-27 0.000401767 -9.24836e-07 -29.3546 2.03922 2.0954 -33.0472 5.31463 3.67091 -33.0697 9.06371 4.00831 -32.1136 10.897 4.2831 -31.6742 13.4344 4.57251 -29.3774 2.21836 1.18593 -33.6624 5.62298 1.97365 -33.971 9.99129 2.89474 -33.1941 12.3399 3.33767 -32.3036 15.216 3.97859 -29.4002 2.39751 0.276466 -33.8117 6.11909 0.054223 -34.277 10.7695 1.2702 -33.1169 13.2948 1.78338 -32.4341 15.8415 2.66352 -29.3096 2.42239 -0.815458 -33.5994 6.17554 -1.95756 -34.4956 10.4547 -1.02676 -33.7797 12.7383 -0.253748 -32.9329 15.197 0.649045 -27.4724 1.65085 -1.82736 -28.5697 2.48217 -2.57646 -29.2992 5.75077 -2.58741 -29.4231 8.53965 -2.42726 -28.8967 11.1665 -0.488378 
-27 0.000407869 1.71576e-06 -29.3299 1.98199 2.1763 -32.9785 5.24579 3.8737 -32.9845 8.9753 4.3842 -32.0379 10.7966 4.75483 -31.6155 13.3154 5.1958 -29.3473 2.20074 1.27541 -33.5795 5.63718 2.19848 -33.8883 9.95622 3.31064 -33.1102 12.2767 3.88168 -32.369 15.161 4.66052 -29.3646 2.41951 0.374532 -33.715 6.21816 0.302904 -34.1699 10.807 1.73741 -33.0074 13.3022 2.37661 -32.3845 15.8071 3.40823 -29.2702 2.49036 -0.715059 -33.4956 6.36038 -1.69633 -34.3873 10.5933 -0.570325 -33.6933 12.8352 0.333667 -32.8945 15.2667 1.34722 -27.4419 1.73558 -1.75508 -28.5223 2.61458 -2.47366 -29.2801 5.8762 -2.41422 -29.4205 8.65943 -2.18444 -28.8675 11.2137 -0.157991 
-27 0.000416155 4.35636e-06 -29.3187 1.91045 2.25091 -32.9462 5.13259 4.06894 -32.96 8.83679 4.73863 -32.0302 10.6482 5.19164 -31.6307 13.1401 5.78287 -29.3328 2.16542 1.35954 -33.5382 5.59713 2.41387 -33.8727 9.86169 3.69783 -33.1071 12.1565 4.37876 -32.5474 15.0524 5.25951 -29.3469 2.4204 0.468171 -33.6657 6.25495 0.543407 -34.1287 10.7795 2.16688 -32.9741 13.2481 2.91452 -32.4476 15.7111 4.0906 -29.2501 2.53434 -0.617541 -33.4405 6.47783 -1.44372 -34.3452 10.6571 -0.14128 -33.6722 12.8578 0.873138 -32.9235 15.2616 1.98594 -27.4256 1.80816 -1.68443 -28.4965 2.72293 -2.37194 -29.2921 5.97351 -2.24272 -29.4628 8.74841 -1.94326 -28.9312 11.2439 0.160678 
-27 0.000418791 3.50672e-06 -29.3242 1.82712 2.31358 -32.9566 4.97998 4.24007 -32.9902 8.65615 5.04911 -32.0987 10.4672 5.57464 -31.7297 12.9264 6.28037 -29.3355 2.11512 1.43229 -33.5403 5.51025 2.60105 -33.9201 9.72068 4.04555 -33.1816 11.9959 4.81625 -32.856 14.9012 5.77988 -29.3467 2.40313 0.550995 -33.6607 6.23821 0.75632 -34.155 10.6972 2.54372 -33.0347 13.1497 3.39009 -32.5971 15.5741 4.67742 -29.2466 2.55734 -0.529427 -33.4272 6.53704 -1.22063 -34.3645 10.6539 0.241448 -33.717 12.8217 1.33978 -33.0233 15.1893 2.56076 -27.4194 1.86997 -1.61719 -28.4883 2.80798 -2.27588 -29.3345 6.04222 -2.07712 -29.5575 8.80523 -1.70973 -29.0991 11.2556 0.463374 
-27 0.000419243 2.65708e-06 -29.3351 1.73564 2.37231 -32.9838 4.80331 4.4026 -33.0559 8.44707 5.34477 -32.2031 10.2559 5.93793 -31.8663 12.6777 6.75411 -29.3453 2.05505 1.5019 -33.5627 5.39419 2.78165 -34.0011 9.54483 4.37858 -33.301 11.8016 5.23461 -33.2194 14.7026 6.26082 -29.3556 2.37446 0.631484 -33.6801 6.18869 0.964318 -34.221 10.5767 2.90708 -33.1495 13.0153 3.85112 -32.7872 15.3982 5.23578 -29.2536 2.56766 -0.442478 -33.441 6.56103 -1.0009 -34.4181 10.6098 0.612237 -33.7993 12.7446 1.78903 -33.164 15.0735 3.1118 -27.4219 1.92549 -1.55002 -28.4939 2.8799 -2.17931 -29.3944 6.09412 -1.90735 -29.6813 8.84045 -1.46662 -29.3358 11.2606 0.760514 
-27 0.000418037 3.62094e-06 -29.3385 1.64209 2.43474 -32.9966 4.62302 4.57441 -33.1317 8.22424 5.66198 -32.3013 10.0313 6.31354 -32.0489 12.4282 7.24929 -29.3507 1.99225 1.57627 -33.577 5.27131 2.97616 -34.0791 9.35394 4.72264 -33.4226 11.5852 5.67484 -33.5374 14.4735 6.73303 -29.3629 2.34242 0.717789 -33.6972 6.13088 1.18914 -34.2933 10.4398 3.28866 -33.2796 12.858 4.33808 -32.9573 15.1912 5.81238 -29.2627 2.5741 -0.348702 -33.4601 6.57457 -0.762702 -34.4679 10.5536 1.00038 -33.8795 12.6484 2.26161 -33.3127 14.9407 3.67639 -27.4299 1.97801 -1.48009 -28.5062 2.94919 -2.07561 -29.4458 6.14387 -1.71909 -29.7937 8.86586 -1.18177 -29.5931 11.2597 1.09107 
