Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00041152 3.5898e-06 -29.2435 -2.80243 1.09638 -31.9922 -7.17927 1.46234 -35.3948 -7.33007 -0.140738 -37.0562 -6.47246 -1.06536 -39.1022 -5.41507 -2.26064 -28.9782 -2.83175 0.208417 -31.3235 -7.82743 -0.132223 -35.5593 -8.39679 -1.45879 -37.6596 -7.32877 -2.33282 -38.6207 -6.06575 -4.97034 -28.7128 -2.86106 -0.679542 -30.9759 -7.97512 -2.12379 -34.4108 -11.1568 -3.30709 -36.768 -12.2919 -4.37933 -38.9665 -13.867 -5.01529 -28.2536 -2.74069 -1.66734 -30.1015 -7.77554 -3.90984 -33.1069 -10.8185 -5.20798 -35.1748 -12.1219 -5.79951 -37.3573 -13.6914 -6.357 -27.4972 -0.74847 -2.34059 -27.6198 -1.98679 -3.29338 -30.2162 -2.74711 -5.26733 -32.7376 -2.93706 -6.46115 -35.9383 -3.70658 -6.14414 
-27 0.000406278 -2.81933e-06 -29.0678 -3.0256 0.811692 -31.5124 -7.59378 0.773866 -34.8652 -7.68353 -0.935216 -36.4905 -6.73273 -1.83257 -38.4487 -5.49669 -3.02504 -28.7895 -2.96111 -0.0704143 -30.7779 -8.05806 -0.870834 -34.9801 -8.61562 -2.30475 -37.0413 -7.41287 -3.09278 -38.37 -6.18821 -5.5848 -28.5111 -2.89661 -0.952528 -30.4097 -8.00479 -2.86638 -33.6334 -11.2532 -4.40843 -35.914 -12.3801 -5.64099 -38.0331 -13.9648 -6.48471 -28.048 -2.66216 -1.91773 -29.5231 -7.59238 -4.62147 -32.3381 -10.6583 -6.25848 -34.3279 -11.9968 -7.0222 -36.4173 -13.6177 -7.7765 -27.416 -0.574634 -2.40473 -27.461 -1.73903 -3.45278 -30.0702 -2.46633 -5.42235 -32.6321 -2.693 -6.51968 -35.7417 -3.74933 -6.13073 
-27 0.000398926 -9.22846e-06 -28.8828 -3.20153 0.542159 -31.0131 -7.90728 0.137556 -34.319 -7.92314 -1.66267 -35.9004 -6.8697 -2.52301 -37.7606 -5.44446 -3.67685 -28.5959 -3.05311 -0.326961 -30.2237 -8.19691 -1.53735 -34.3961 -8.7373 -3.06205 -36.4276 -7.43229 -3.75924 -38.2565 -6.44222 -6.02864 -28.309 -2.90468 -1.1961 -29.8455 -7.96358 -3.52154 -32.8639 -11.2379 -5.38968 -35.0762 -12.3394 -6.76029 -37.1187 -13.9151 -7.78792 -27.8471 -2.56929 -2.13171 -28.9581 -7.35914 -5.23275 -31.5867 -10.4172 -7.17724 -33.5017 -11.7708 -8.09446 -35.5007 -13.4175 -9.02702 -27.3422 -0.415506 -2.44875 -27.3114 -1.50712 -3.57288 -29.9251 -2.23978 -5.53446 -32.5102 -2.54944 -6.55434 -35.5056 -3.88407 -6.12659 
-27 0.000395731 -7.90969e-06 -28.7014 -3.33183 0.304732 -30.5282 -8.12888 -0.400181 -33.8035 -8.03045 -2.25304 -35.3193 -6.84393 -3.05631 -37.0887 -5.21674 -4.0676 -28.4122 -3.11131 -0.548203 -29.7012 -8.25883 -2.10223 -33.8619 -8.76597 -3.66997 -35.8757 -7.39251 -4.28159 -37.9997 -6.91668 -6.45818 -28.1231 -2.89078 -1.40115 -29.3306 -7.8703 -4.0671 -32.1701 -11.1344 -6.21302 -34.3315 -12.203 -7.68697 -36.2985 -13.7671 -8.86842 -27.6693 -2.46974 -2.30555 -28.4537 -7.09606 -5.73705 -30.9192 -10.1249 -7.93038 -32.7747 -11.4765 -8.9687 -34.6988 -13.1162 -10.0582 -27.2857 -0.274714 -2.47571 -27.1901 -1.29736 -3.65948 -29.802 -2.06633 -5.60956 -32.3889 -2.50368 -6.57666 -35.262 -4.0705 -6.10042 
-27 0.000394644 -5.87686e-06 -28.5308 -3.42582 0.0953906 -30.0764 -8.27707 -0.864901 -33.3392 -8.05456 -2.72907 -34.7859 -6.7383 -3.45388 -36.4617 -4.92557 -4.27368 -28.2456 -3.14259 -0.74018 -29.2299 -8.26004 -2.58849 -33.3933 -8.72251 -4.16286 -35.3921 -7.28899 -4.67844 -37.6412 -7.29374 -6.78001 -27.9604 -2.85936 -1.57575 -28.8828 -7.73576 -4.53056 -31.5777 -10.9614 -6.9085 -33.7026 -11.9918 -8.46067 -35.6077 -13.5316 -9.76895 -27.5206 -2.3649 -2.44938 -28.0292 -6.81109 -6.15966 -30.358 -9.79211 -8.56006 -32.1606 -11.1368 -9.69772 -34.0216 -12.7569 -10.9182 -27.2486 -0.147105 -2.49056 -27.0981 -1.10403 -3.72259 -29.7024 -1.91779 -5.66461 -32.2777 -2.48161 -6.59679 -35.0235 -4.25405 -6.09128 
-27 0.0003973 -4.62483e-06 -28.3767 -3.49094 -0.0818383 -29.671 -8.36817 -1.25797 -32.9425 -8.0369 -3.09028 -34.3348 -6.62099 -3.72869 -35.9025 -4.65158 -4.35942 -28.1014 -3.15448 -0.900823 -28.8237 -8.22021 -2.99605 -32.9977 -8.61592 -4.5603 -34.9709 -7.11063 -4.95613 -37.2787 -7.30905 -6.98345 -27.826 -2.818 -1.71981 -28.5161 -7.57939 -4.91577 -31.1096 -10.7501 -7.4735 -33.2106 -11.745 -9.08044 -35.1093 -13.2138 -10.471 -27.4056 -2.26204 -2.56554 -27.7011 -6.52528 -6.50645 -29.9254 -9.44785 -9.06743 -31.6716 -10.7927 -10.288 -33.5039 -12.3787 -11.5936 -27.2327 -0.0350208 -2.4962 -27.0378 -0.930395 -3.76764 -29.6338 -1.77338 -5.70828 -32.1974 -2.42994 -6.61163 -34.8242 -4.3736 -6.10335 
-27 0.000401092 -3.51602e-06 -28.2459 -3.53251 -0.240204 -29.3282 -8.41063 -1.61075 -32.6207 -7.9875 -3.38562 -33.9721 -6.49579 -3.93289 -35.4264 -4.39715 -4.37544 -27.9836 -3.14962 -1.04291 -28.493 -8.1449 -3.35832 -32.6821 -8.47015 -4.8981 -34.6197 -6.89065 -5.15695 -36.983 -7.0398 -7.12369 -27.7213 -2.76672 -1.84561 -28.2321 -7.4019 -5.25371 -30.7566 -10.5056 -7.95855 -32.8419 -11.4677 -9.60529 -34.7438 -12.8679 -11.0555 -27.3221 -2.1581 -2.66499 -27.4628 -6.23505 -6.8065 -29.6096 -9.09113 -9.49778 -31.3107 -10.4274 -10.7863 -33.1261 -11.9791 -12.1554 -27.2322 0.0684424 -2.49558 -27.0051 -0.76728 -3.80182 -29.5942 -1.62359 -5.74592 -32.1481 -2.34038 -6.63062 -34.6819 -4.40944 -6.14553 
-27 0.000402983 -2.12767e-06 -28.1486 -3.55175 -0.392774 -29.0744 -8.40381 -1.95684 -32.3924 -7.91539 -3.6662 -33.7274 -6.37648 -4.11392 -35.0771 -4.17975 -4.37443 -27.9002 -3.12667 -1.17848 -28.2597 -8.03062 -3.7074 -32.4664 -8.3104 -5.20777 -34.3559 -6.65588 -5.29881 -36.8137 -6.48888 -7.14461 -27.6517 -2.70159 -1.96417 -28.044 -7.19393 -5.57331 -30.5228 -10.2172 -8.40985 -32.6006 -11.1494 -10.0831 -34.4742 -12.5191 -11.5988 -27.2728 -2.04655 -2.75693 -27.3201 -5.92849 -7.08378 -29.4141 -8.7104 -9.88737 -31.0891 -10.0237 -11.2291 -32.8752 -11.5547 -12.6585 -27.2438 0.171993 -2.48949 -26.9973 -0.603297 -3.82906 -29.5768 -1.45758 -5.78674 -32.1307 -2.19092 -6.65756 -34.605 -4.34281 -6.22887 
-27 0.000403738 -1.31015e-06 -28.0744 -3.55592 -0.538189 -28.8817 -8.36462 -2.29045 -32.2297 -7.82184 -3.92341 -33.5519 -6.2475 -4.27553 -34.7788 -3.96677 -4.36584 -27.8399 -3.09247 -1.30629 -28.0922 -7.89306 -4.03833 -32.3172 -8.12953 -5.49407 -34.153 -6.41469 -5.41957 -36.6833 -5.9489 -7.10952 -27.6055 -2.629 -2.0744 -27.9208 -6.9701 -5.87129 -30.3731 -9.90148 -8.82624 -32.4485 -10.7996 -10.521 -34.3009 -12.137 -12.093 -27.2455 -1.93271 -2.8404 -27.2401 -5.61755 -7.33653 -29.2962 -8.31625 -10.2421 -30.9537 -9.60144 -11.6298 -32.7151 -11.1094 -13.1135 -27.2626 0.272539 -2.47858 -27.0054 -0.442695 -3.84918 -29.5798 -1.27801 -5.82167 -32.1338 -2.0182 -6.68635 -34.5565 -4.24067 -6.32834 
-27 0.000398506 -4.34319e-06 -28.0137 -3.54975 -0.678424 -28.7273 -8.30227 -2.61497 -32.1086 -7.69989 -4.15562 -33.3914 -6.07923 -4.43647 -34.434 -3.7078 -4.37082 -27.7929 -3.05075 -1.4281 -27.9644 -7.73926 -4.35416 -32.2085 -7.91579 -5.76205 -34.0038 -6.1684 -5.56306 -36.5977 -5.63831 -7.13352 -27.5722 -2.55173 -2.17778 -27.8357 -6.73583 -6.15079 -30.2771 -9.56043 -9.21587 -32.3468 -10.4089 -10.9377 -34.1922 -11.7084 -12.5538 -27.2302 -1.81791 -2.91648 -27.195 -5.30488 -7.56763 -29.2213 -7.90362 -10.5734 -30.8684 -9.15632 -12.0027 -32.6002 -10.6487 -13.5359 -27.2846 0.369824 -2.46352 -27.0221 -0.285013 -3.86299 -29.6042 -1.08533 -5.8399 -32.1525 -1.8405 -6.70859 -34.5179 -4.13243 -6.41087 
