Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000404434 -2.08607e-07 -30.0123 -0.777495 2.10057 -34.266 -2.96887 4.08795 -37.2442 -1.33526 2.46578 -37.5458 0.0990098 0.981611 -36.9629 1.62387 -1.03085 -29.9585 -1.23988 1.29866 -34.2477 -4.32228 2.93432 -37.7532 -2.41307 0.911472 -37.6558 -0.442424 -0.645143 -36.5656 -1.02538 -3.46418 -29.9048 -1.70226 0.496751 -34.2149 -5.46833 1.27165 -37.7788 -3.03056 -0.891186 -36.6088 -0.875665 -2.29604 -33.8656 -1.24482 -2.04072 -29.6331 -2.1734 -0.454737 -33.9572 -6.05748 -0.55083 -38.2615 -7.13345 -1.09443 -40.4866 -6.24991 -1.86479 -41.1766 -4.09947 -3.43858 -28.2056 -1.17734 -1.85633 -28.7606 -2.59771 -2.21799 -30.5079 -4.76936 -4.07452 -31.8729 -6.64983 -5.63 -32.7123 -9.47647 -7.12736 
-27 0.000404629 -3.03812e-06 -30.1165 -0.54834 2.01939 -34.5643 -2.44192 3.88417 -37.6481 -0.810514 2.47048 -38.1925 0.655033 1.08967 -38.698 2.29392 -0.85289 -30.0542 -1.05093 1.24269 -34.5511 -3.84576 2.83662 -38.0662 -2.05089 0.72758 -38.1505 -0.156772 -0.922032 -36.6614 -0.263726 -3.61397 -29.992 -1.55351 0.465979 -34.4915 -5.09005 1.24549 -37.9277 -2.6711 -1.13425 -36.7753 -0.569168 -2.63084 -34.0081 -0.557069 -2.36807 -29.7071 -2.08119 -0.451384 -34.1934 -5.77759 -0.510441 -38.5074 -6.77557 -1.12155 -40.7234 -5.91308 -1.94042 -41.5742 -3.89453 -3.60415 -28.1885 -1.21472 -1.84323 -28.7967 -2.62433 -2.15839 -30.6042 -4.7942 -3.95847 -31.9937 -6.68745 -5.47638 -32.8101 -9.57948 -6.85702 
-27 0.000405542 -4.56698e-06 -30.2071 -0.326994 1.92328 -34.8263 -1.93243 3.63545 -38.0276 -0.317886 2.48884 -38.8291 1.16996 1.26625 -40.1188 2.66983 -0.407696 -30.1378 -0.868299 1.17366 -34.8197 -3.38315 2.69956 -38.3422 -1.69944 0.512611 -38.6169 0.117852 -1.20145 -36.9125 0.952934 -3.62486 -30.0685 -1.40959 0.424027 -34.7393 -4.7208 1.18604 -38.0492 -2.34026 -1.40231 -36.9174 -0.293663 -2.98868 -34.1772 0.125554 -2.78308 -29.773 -1.99149 -0.456411 -34.4062 -5.50217 -0.496853 -38.726 -6.42739 -1.17816 -40.933 -5.59391 -2.04962 -41.9617 -3.72463 -3.78248 -28.1707 -1.25359 -1.8285 -28.8321 -2.64801 -2.10139 -30.7052 -4.80717 -3.84646 -32.1209 -6.71022 -5.32733 -32.9256 -9.66392 -6.57824 
-27 0.000408217 -3.41967e-07 -30.2776 -0.152423 1.82365 -35.0266 -1.52545 3.37524 -38.3502 0.00448339 2.49035 -39.4215 1.48541 1.48543 -40.863 2.98991 -0.0552883 -30.2022 -0.722197 1.09604 -35.0275 -3.01107 2.52844 -38.5477 -1.4349 0.259301 -38.9619 0.305717 -1.50557 -37.6577 1.94242 -3.76296 -30.1269 -1.29196 0.36841 -34.9321 -4.41737 1.07775 -38.1269 -2.07024 -1.68012 -37.0124 -0.0662367 -3.33176 -34.3402 0.699075 -3.34254 -29.8227 -1.91439 -0.480795 -34.5697 -5.2692 -0.546711 -38.8895 -6.12058 -1.31844 -41.0837 -5.32524 -2.25539 -42.2798 -3.5959 -4.02609 -28.1522 -1.2791 -1.82254 -28.8549 -2.65832 -2.06792 -30.7662 -4.80571 -3.78597 -32.1884 -6.72258 -5.24267 -33.0059 -9.70562 -6.41305 
-27 0.000410174 3.88304e-06 -30.3349 -0.0143149 1.72325 -35.1819 -1.20317 3.11579 -38.5705 0.269073 2.39457 -39.8312 1.7196 1.5838 -41.3042 3.26345 0.113498 -30.2534 -0.605105 1.01328 -35.1918 -2.71177 2.3352 -38.7011 -1.22054 -0.00712786 -39.2236 0.457975 -1.80313 -38.6349 2.49727 -4.0325 -30.1718 -1.19588 0.303294 -35.0835 -4.16874 0.935031 -38.1661 -1.84517 -1.96672 -37.0603 0.125059 -3.66417 -34.5046 1.18879 -3.91587 -29.8593 -1.84878 -0.519627 -34.6939 -5.07443 -0.643217 -39.0082 -5.85551 -1.51338 -41.1902 -5.09289 -2.50461 -42.5441 -3.49024 -4.28228 -28.1313 -1.29526 -1.82422 -28.8666 -2.65994 -2.05515 -30.7947 -4.79486 -3.76985 -32.21 -6.72543 -5.21509 -33.0412 -9.7275 -6.32562 
-27 0.000408004 3.16319e-06 -30.3812 0.0763833 1.62886 -35.2923 -0.996452 2.88418 -38.659 0.505153 2.12241 -39.9745 1.93005 1.35432 -41.4347 3.54739 -0.0482458 -30.2916 -0.526753 0.930338 -35.3112 -2.51021 2.13156 -38.8061 -1.05417 -0.254047 -39.4116 0.595339 -2.05084 -39.1465 2.62608 -4.34893 -30.2019 -1.12988 0.231804 -35.187 -3.99791 0.765325 -38.1557 -1.67553 -2.25384 -37.0416 0.273674 -3.97007 -34.6253 1.56075 -4.4514 -29.8795 -1.80129 -0.572189 -34.7704 -4.93641 -0.782565 -39.0734 -5.65816 -1.75377 -41.2446 -4.91816 -2.78498 -42.732 -3.42048 -4.55039 -28.1054 -1.30128 -1.8358 -28.8608 -2.65464 -2.06818 -30.78 -4.78179 -3.80253 -32.1719 -6.72607 -5.2521 -33.0007 -9.73589 -6.34331 
-27 0.000405834 1.76462e-06 -30.4213 0.148824 1.53763 -35.3821 -0.830692 2.66769 -38.7152 0.702916 1.82619 -40.0566 2.10449 1.05994 -41.5005 3.78583 -0.282927 -30.3231 -0.463508 0.848316 -35.4079 -2.34751 1.9292 -38.8707 -0.907126 -0.512162 -39.5233 0.722116 -2.31098 -39.4562 2.73154 -4.64189 -30.2249 -1.07583 0.15899 -35.2688 -3.85712 0.588758 -38.1232 -1.53203 -2.53668 -36.9911 0.394215 -4.26703 -34.717 1.8426 -4.94297 -29.8924 -1.76133 -0.628826 -34.826 -4.82066 -0.93507 -39.1133 -5.49016 -2.00801 -41.2746 -4.76709 -3.07147 -42.8792 -3.36653 -4.81722 -28.0777 -1.30406 -1.85026 -28.8484 -2.64769 -2.08876 -30.7537 -4.76768 -3.84703 -32.1282 -6.7177 -5.30542 -32.9578 -9.72926 -6.39118 
-27 0.000405863 -1.28289e-07 -30.4559 0.234515 1.44697 -35.464 -0.630181 2.45551 -38.7824 0.908331 1.56615 -40.1516 2.29567 0.823669 -41.6139 4.01062 -0.455323 -30.3518 -0.389296 0.768898 -35.4993 -2.15909 1.74092 -38.8966 -0.71977 -0.791422 -39.5408 0.881313 -2.61831 -39.6585 2.86233 -4.97142 -30.2478 -1.0131 0.0908141 -35.3545 -3.6907 0.427369 -38.0983 -1.38027 -2.80611 -36.9425 0.503201 -4.56761 -34.7818 2.06493 -5.35432 -29.9085 -1.71583 -0.67869 -34.8903 -4.68589 -1.07066 -39.1622 -5.30521 -2.23162 -41.3168 -4.59337 -3.31605 -43.0272 -3.29499 -5.04261 -28.0548 -1.30993 -1.85924 -28.8436 -2.64306 -2.09792 -30.7412 -4.75695 -3.87173 -32.1176 -6.68874 -5.35251 -32.9479 -9.71466 -6.39699 
-27 0.00040607 -1.54668e-06 -30.4864 0.315657 1.35545 -35.5353 -0.439272 2.24124 -38.8387 1.10111 1.30074 -40.2307 2.47654 0.578627 -41.7266 4.20713 -0.638834 -30.3767 -0.318946 0.688377 -35.5796 -1.98086 1.54944 -38.9018 -0.533919 -1.07635 -39.5232 1.04076 -2.93385 -39.7866 3.01147 -5.28382 -30.267 -0.953536 0.021289 -35.4298 -3.53216 0.261052 -38.0558 -1.23587 -3.07854 -36.8737 0.604223 -4.86819 -34.7984 2.2389 -5.73257 -29.9212 -1.67247 -0.730178 -34.9451 -4.5573 -1.21146 -39.1985 -5.12457 -2.46352 -41.3434 -4.42063 -3.57199 -43.1429 -3.21721 -5.27867 -28.0314 -1.31565 -1.86835 -28.8365 -2.63871 -2.10823 -30.7213 -4.7491 -3.89975 -32.0935 -6.66472 -5.40525 -32.9165 -9.70639 -6.40901 
-27 0.000407922 -1.6828e-06 -30.5149 0.384122 1.26073 -35.5983 -0.27498 2.01614 -38.8695 1.28974 1.00556 -40.2871 2.64759 0.300383 -41.826 4.38254 -0.855892 -30.3982 -0.258457 0.602544 -35.6497 -1.82527 1.33738 -38.9082 -0.366804 -1.36042 -39.5313 1.1877 -3.23426 -39.8975 3.15691 -5.56762 -30.2815 -0.901024 -0.0556538 -35.4902 -3.39374 0.0712061 -37.9848 -1.09596 -3.3667 -36.7815 0.714584 -5.17228 -34.7689 2.38278 -6.11728 -29.9279 -1.63249 -0.791248 -34.982 -4.44386 -1.3793 -39.212 -4.94995 -2.73275 -41.3399 -4.25116 -3.8768 -43.213 -3.12347 -5.55786 -28.0035 -1.3167 -1.88271 -28.8225 -2.62952 -2.13193 -30.6869 -4.73063 -3.95541 -32.0448 -6.64519 -5.47514 -32.8728 -9.68218 -6.48888 
