Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000411027 -1.33345e-06 -30.398 -0.165291 1.58666 -35.2782 -1.23134 2.96254 -36.169 -1.36546 -0.692381 -34.6598 -1.00368 -2.08612 -33.1305 -2.36443 -3.67497 -30.0793 -0.967634 1.2484 -34.7461 -3.28819 3.09496 -35.9451 -2.71253 -1.17782 -34.1236 -2.1261 -2.80695 -31.0653 -1.77938 -2.7628 -29.7606 -1.76997 0.91014 -34.1885 -5.18309 2.36129 -36.3839 -4.71591 -1.91455 -34.7601 -3.50945 -3.88588 -32.0061 -3.20358 -4.10578 -29.1908 -2.61061 0.498057 -33.1739 -6.76416 1.32042 -36.4 -9.00733 -0.843872 -37.3731 -8.99666 -3.16288 -36.7154 -7.23002 -5.16407 -27.5232 -2.261 -0.947992 -27.8594 -3.7538 -0.609186 -29.6745 -6.25419 -1.90122 -31.1685 -8.34415 -3.00525 -32.4093 -11.2734 -3.90872 
-27 0.000409282 -2.43659e-06 -30.3677 -0.139826 1.65246 -35.2181 -1.18321 3.14593 -36.1607 -1.35635 -0.494323 -34.6328 -1.00787 -1.87085 -33.2235 -2.46979 -3.48074 -30.0557 -0.947242 1.32006 -34.6833 -3.24042 3.29488 -35.9176 -2.69773 -0.972186 -34.0669 -2.17023 -2.58857 -31.0056 -1.86794 -2.47631 -29.7437 -1.75466 0.987648 -34.1413 -5.14557 2.57622 -36.361 -4.70492 -1.68996 -34.7134 -3.52838 -3.66034 -31.9543 -3.28022 -3.88962 -29.1821 -2.6016 0.577291 -33.1453 -6.74491 1.53605 -36.393 -8.95537 -0.627093 -37.3476 -8.88338 -2.95274 -36.5911 -7.0518 -4.85275 -27.5418 -2.27429 -0.904787 -27.8785 -3.76049 -0.538657 -29.7672 -6.24846 -1.74643 -31.335 -8.32025 -2.78024 -32.6766 -11.2249 -3.61677 
-27 0.000406322 -3.49295e-06 -30.3331 -0.112243 1.72318 -35.149 -1.12885 3.34167 -36.1536 -1.33562 -0.280201 -34.624 -1.02701 -1.66436 -33.2655 -2.5488 -3.26237 -30.0289 -0.924613 1.39564 -34.6128 -3.18658 3.50405 -35.8917 -2.6741 -0.753564 -34.0201 -2.20253 -2.36313 -30.9578 -1.94439 -2.18779 -29.7248 -1.73698 1.06808 -34.0892 -5.10157 2.79788 -36.3433 -4.68581 -1.45279 -34.6722 -3.54407 -3.42483 -31.911 -3.34156 -3.67195 -29.1727 -2.59031 0.658019 -33.1147 -6.71915 1.75611 -36.392 -8.88663 -0.401046 -37.3305 -8.74753 -2.73015 -36.4671 -6.85753 -4.52027 -27.5628 -2.28581 -0.861884 -27.9008 -3.765 -0.469453 -29.8675 -6.23251 -1.59177 -31.5151 -8.27783 -2.55151 -32.9606 -11.1527 -3.31448 
-27 0.000403205 -2.67979e-06 -30.2962 -0.0751695 1.79462 -35.0769 -1.04908 3.5388 -36.1484 -1.28006 -0.0581524 -34.6278 -1.04584 -1.46669 -33.2476 -2.59856 -3.01561 -30.0027 -0.892974 1.47096 -34.5459 -3.10958 3.71127 -35.8706 -2.62545 -0.535679 -33.988 -2.20255 -2.14592 -30.927 -1.99213 -1.89869 -29.7091 -1.71078 1.14728 -34.0475 -5.03506 3.01512 -36.3409 -4.63471 -1.21595 -34.6413 -3.53297 -3.18655 -31.8786 -3.37497 -3.45024 -29.1696 -2.57172 0.736388 -33.1002 -6.67308 1.9701 -36.4136 -8.78282 -0.182493 -37.3338 -8.57192 -2.51354 -36.356 -6.63132 -4.18736 -27.5911 -2.29374 -0.820958 -27.9358 -3.76475 -0.404366 -29.9921 -6.1959 -1.44225 -31.7301 -8.2011 -2.32387 -33.2937 -11.0338 -3.00777 
-27 0.000401303 -1.86664e-06 -30.2604 -0.0372639 1.85999 -35.0068 -0.964559 3.7196 -36.1413 -1.21073 0.149674 -34.6321 -1.06447 -1.28269 -33.0761 -2.57114 -2.70535 -29.9779 -0.860092 1.53923 -34.4837 -3.02909 3.89865 -35.8487 -2.57013 -0.338333 -33.9596 -2.18669 -1.95084 -30.9029 -2.02208 -1.62638 -29.6954 -1.68292 1.21846 -34.0116 -4.96404 3.20984 -36.3416 -4.57073 -1.00187 -34.6107 -3.50863 -2.96705 -31.8473 -3.39698 -3.24534 -29.169 -2.55123 0.806095 -33.0919 -6.62176 2.16064 -36.4416 -8.66343 0.0057409 -37.3382 -8.37742 -2.32652 -36.2392 -6.39725 -3.8761 -27.6201 -2.29869 -0.78493 -27.9745 -3.76144 -0.347897 -30.1252 -6.14205 -1.30867 -31.9575 -8.09437 -2.11488 -33.6436 -10.8744 -2.71923 
-27 0.00040591 -1.89624e-06 -30.2262 0.000982027 1.91916 -34.9397 -0.876588 3.88352 -36.1341 -1.12932 0.3387 -34.6441 -1.08225 -1.12032 -32.7497 -2.43816 -2.25502 -29.9552 -0.826452 1.60034 -34.4273 -2.94645 4.06592 -35.8261 -2.51082 -0.162496 -33.9334 -2.16066 -1.77842 -30.8845 -2.04146 -1.37198 -29.6841 -1.65388 1.28151 -33.9828 -4.88984 3.38183 -36.346 -4.49531 -0.81119 -34.5815 -3.47257 -2.76735 -31.8178 -3.40665 -3.05774 -29.1712 -2.52925 0.86707 -33.0906 -6.56644 2.32752 -36.4763 -8.52987 0.163784 -37.3435 -8.16603 -2.16873 -36.1177 -6.15854 -3.58701 -27.6499 -2.30084 -0.753921 -28.0169 -3.75532 -0.300054 -30.2672 -6.07021 -1.19087 -32.1969 -7.95653 -1.92352 -34.0086 -10.6736 -2.44505 
-27 0.000410517 -2.10343e-06 -30.2076 0.0223772 1.94995 -34.9018 -0.825198 3.97271 -36.1246 -1.07638 0.440214 -34.6506 -1.10991 -1.03528 -32.4108 -2.21404 -1.72734 -29.9431 -0.807473 1.6319 -34.3963 -2.90058 4.15405 -35.8022 -2.47187 -0.0727261 -33.8989 -2.13841 -1.67977 -30.8619 -2.05972 -1.1845 -29.6787 -1.63732 1.31385 -33.9681 -4.84815 3.47076 -36.3347 -4.44227 -0.719264 -34.5336 -3.44119 -2.65317 -31.768 -3.40823 -2.92961 -29.1734 -2.51651 0.898065 -33.0894 -6.53707 2.41244 -36.492 -8.42198 0.210167 -37.3145 -7.98121 -2.12526 -35.9588 -5.95934 -3.40337 -27.6667 -2.30106 -0.738335 -28.0472 -3.74983 -0.277276 -30.3873 -5.99043 -1.12564 -32.4037 -7.80329 -1.80854 -34.3292 -10.4526 -2.2673 
-27 0.000408076 -4.2056e-06 -30.2081 0.0219665 1.94916 -34.9036 -0.817092 3.97246 -36.1191 -1.03523 0.435076 -34.6564 -1.09837 -1.05068 -32.1725 -1.8113 -1.24345 -29.9468 -0.806762 1.62559 -34.4064 -2.9009 4.13563 -35.7928 -2.4291 -0.092971 -33.8695 -2.08669 -1.67401 -30.8456 -2.04655 -1.09994 -29.6856 -1.63549 1.30201 -33.9865 -4.84519 3.43767 -36.3219 -4.38574 -0.764309 -34.4867 -3.37417 -2.66037 -31.7149 -3.39598 -2.86784 -29.1837 -2.51386 0.880448 -33.1094 -6.53552 2.36656 -36.5158 -8.32114 0.0879433 -37.2834 -7.79491 -2.24848 -35.8026 -5.76675 -3.37231 -27.6757 -2.29336 -0.754041 -28.0744 -3.74109 -0.305307 -30.4903 -5.89998 -1.15275 -32.5787 -7.63164 -1.83036 -34.6035 -10.2098 -2.26597 
-27 0.000405634 -6.13019e-06 -30.2115 0.0191054 1.94359 -34.9152 -0.808156 3.95261 -36.1188 -0.965828 0.407507 -34.6671 -1.03133 -1.08882 -32.11 -1.37007 -0.840379 -29.9557 -0.807053 1.60926 -34.4332 -2.9039 4.08486 -35.797 -2.35811 -0.142193 -33.8537 -2.00096 -1.69524 -30.8401 -2.00267 -1.0677 -29.6999 -1.63321 1.27491 -34.0266 -4.84135 3.36024 -36.3273 -4.2945 -0.85042 -34.466 -3.2649 -2.71101 -31.6907 -3.36893 -2.82521 -29.2037 -2.50944 0.842336 -33.1543 -6.52912 2.26656 -36.5718 -8.18773 -0.0920327 -37.2842 -7.56782 -2.42296 -35.687 -5.5449 -3.38945 -27.6911 -2.27787 -0.786338 -28.114 -3.72566 -0.36058 -30.6037 -5.79414 -1.22004 -32.7599 -7.43648 -1.90746 -34.8805 -9.93781 -2.3354 
-27 0.000410456 -4.48972e-06 -30.2212 0.0115757 1.92753 -34.9407 -0.807346 3.90281 -36.1198 -0.896395 0.34634 -34.6662 -0.952032 -1.14709 -32.1243 -1.12047 -0.672232 -29.9698 -0.810955 1.58116 -34.4736 -2.91594 4.00148 -35.802 -2.28564 -0.225366 -33.8352 -1.91312 -1.74647 -30.8317 -1.95632 -1.07696 -29.7183 -1.63348 1.23477 -34.0776 -4.84422 3.24688 -36.333 -4.2013 -0.9747 -34.4465 -3.15255 -2.79877 -31.6729 -3.33628 -2.80164 -29.2264 -2.50628 0.790559 -33.2058 -6.52679 2.12946 -36.6298 -8.05082 -0.31201 -37.2791 -7.33838 -2.63493 -35.5748 -5.33344 -3.448 -27.7037 -2.25968 -0.826554 -28.1524 -3.70774 -0.428972 -30.7084 -5.68424 -1.30991 -32.9244 -7.23707 -2.01496 -35.1312 -9.66163 -2.44859 
-27 0.000415278 -1.24839e-06 -30.2397 -0.00734247 1.89632 -34.9828 -0.830632 3.81215 -36.1202 -0.842904 0.240042 -34.6522 -0.879632 -1.2375 -32.1254 -1.01812 -0.679641 -29.9895 -0.824388 1.53629 -34.5273 -2.9518 3.87206 -35.8033 -2.22348 -0.355486 -33.8093 -1.82995 -1.83686 -30.818 -1.91435 -1.1223 -29.7394 -1.64143 1.17624 -34.1349 -4.86708 3.08309 -36.3299 -4.11894 -1.15293 -34.4146 -3.04454 -2.93144 -31.6505 -3.30641 -2.79744 -29.2481 -2.50822 0.719715 -33.2548 -6.53927 1.94062 -36.6748 -7.92464 -0.591087 -37.253 -7.11763 -2.9018 -35.4543 -5.13763 -3.56291 -27.7084 -2.2389 -0.877523 -28.1821 -3.68829 -0.515389 -30.7924 -5.57527 -1.43283 -33.0564 -7.04232 -2.16822 -35.3355 -9.39414 -2.62786 
-27 0.000413533 3.51456e-06 -30.2695 -0.0459318 1.84379 -35.0444 -0.898419 3.66567 -36.1161 -0.830531 0.0731182 -34.6113 -0.824716 -1.36509 -32.0737 -1.2103 -1.00933 -30.0146 -0.854907 1.46921 -34.5906 -3.0304 3.68297 -35.7926 -2.19126 -0.545632 -33.7675 -1.7653 -1.97439 -30.7885 -1.8796 -1.21679 -29.7596 -1.66388 1.09463 -34.1873 -4.92768 2.85664 -36.3039 -4.06999 -1.39897 -34.3665 -2.95774 -3.12975 -31.621 -3.28415 -2.8425 -29.262 -2.52073 0.626312 -33.2829 -6.58198 1.69018 -36.6827 -7.83485 -0.941261 -37.1809 -6.93128 -3.2351 -35.3037 -4.97957 -3.75092 -27.6968 -2.21726 -0.939621 -28.1907 -3.67006 -0.620749 -30.8379 -5.47715 -1.59166 -33.1331 -6.8711 -2.37122 -35.4603 -9.16439 -2.88248 
-27 0.000410273 6.67665e-06 -30.3023 -0.0916005 1.78271 -35.1098 -0.981349 3.49792 -36.1078 -0.830846 -0.114584 -34.5581 -0.778157 -1.50182 -32.0443 -1.39042 -1.35692 -30.04 -0.891199 1.39338 -34.6528 -3.12301 3.47052 -35.7713 -2.17116 -0.75662 -33.7165 -1.70974 -2.12984 -30.7504 -1.84912 -1.32881 -29.7776 -1.6908 1.00404 -34.2326 -4.9996 2.60588 -36.266 -4.02898 -1.66649 -34.3079 -2.87336 -3.34477 -31.5903 -3.26117 -2.90805 -29.271 -2.53591 0.524242 -33.2978 -6.63258 1.41619 -36.6688 -7.75422 -1.31378 -37.0836 -6.75608 -3.58519 -35.1417 -4.83286 -3.95703 -27.6779 -2.19415 -1.00535 -28.1892 -3.65049 -0.733358 -30.8641 -5.3801 -1.76748 -33.1836 -6.70296 -2.59734 -35.5562 -8.93312 -3.17486 
-27 0.000405951 1.88741e-06 -30.332 -0.131398 1.72389 -35.1684 -1.05058 3.33951 -36.0975 -0.820976 -0.289688 -34.5115 -0.738897 -1.63441 -32.0042 -1.36492 -1.44346 -30.0629 -0.922029 1.32108 -34.7088 -3.20135 3.26899 -35.7417 -2.14673 -0.954196 -33.6608 -1.65671 -2.27591 -30.7119 -1.82843 -1.41994 -29.7939 -1.71266 0.918268 -34.2733 -5.05801 2.36898 -36.2267 -3.97849 -1.91451 -34.238 -2.79085 -3.53277 -31.5538 -3.23275 -2.96147 -29.279 -2.54679 0.42815 -33.3096 -6.67159 1.15853 -36.6482 -7.66267 -1.66146 -36.9784 -6.57735 -3.9063 -34.9849 -4.67994 -4.12942 -27.6603 -2.17076 -1.06607 -28.1881 -3.62888 -0.839132 -30.889 -5.27525 -1.93939 -33.2352 -6.51795 -2.8169 -35.6696 -8.66257 -3.45782 
-27 0.000403146 -2.90183e-06 -30.3576 -0.174585 1.66958 -35.2172 -1.12723 3.19365 -36.0848 -0.817074 -0.448029 -34.4681 -0.709314 -1.75554 -31.9648 -1.33684 -1.52119 -30.0813 -0.95546 1.25287 -34.7517 -3.28572 3.07787 -35.7076 -2.12843 -1.1346 -33.6053 -1.60851 -2.40908 -30.6753 -1.81478 -1.49768 -29.805 -1.73633 0.836142 -34.2998 -5.12078 2.14143 -36.1839 -3.93253 -2.14423 -34.1655 -2.71999 -3.70581 -31.5164 -3.202 -3.0157 -29.2815 -2.55842 0.334879 -33.3072 -6.71273 0.908445 -36.6138 -7.57548 -1.99052 -36.8647 -6.40641 -4.20305 -34.8318 -4.53421 -4.27739 -27.6409 -2.14641 -1.12554 -28.182 -3.60601 -0.943794 -30.9048 -5.16847 -2.11055 -33.2763 -6.32831 -3.0323 -35.775 -8.37922 -3.72985 
-27 0.000404789 -6.26716e-07 -30.379 -0.223189 1.61983 -35.2563 -1.21561 3.05958 -36.0702 -0.821078 -0.59022 -34.4272 -0.692298 -1.86619 -31.9239 -1.27032 -1.52758 -30.095 -0.993118 1.18822 -34.7813 -3.38012 2.89519 -35.6693 -2.11866 -1.30007 -33.5503 -1.56596 -2.53234 -30.6416 -1.80971 -1.5618 -29.8109 -1.76304 0.756604 -34.3116 -5.19103 1.92006 -36.1379 -3.89191 -2.35802 -34.0914 -2.66127 -3.86851 -31.4765 -3.16702 -3.07282 -29.2785 -2.57151 0.2428 -33.2901 -6.75782 0.661602 -36.5658 -7.49344 -2.30513 -36.7437 -6.24258 -4.47968 -34.6828 -4.39504 -4.40794 -27.6197 -2.12035 -1.18523 -28.1704 -3.58137 -1.04959 -30.9113 -5.05867 -2.28293 -33.3065 -6.1338 -3.24519 -35.8695 -8.0856 -3.99223 
-27 0.000407051 1.64839e-06 -30.3873 -0.286016 1.59236 -35.2674 -1.33696 2.9801 -36.0565 -0.852593 -0.668568 -34.4001 -0.697128 -1.9268 -31.8994 -1.23212 -1.50792 -30.0957 -1.04281 1.14296 -34.7754 -3.50401 2.76049 -35.6377 -2.13927 -1.40469 -33.5152 -1.54516 -2.61116 -30.6196 -1.81895 -1.60679 -29.804 -1.7996 0.693557 -34.2883 -5.28618 1.74027 -36.0971 -3.87795 -2.51029 -34.0388 -2.61965 -3.98215 -31.4492 -3.13774 -3.11491 -29.2632 -2.59124 0.162559 -33.2419 -6.82012 0.445844 -36.504 -7.43628 -2.5596 -36.6337 -6.10337 -4.68833 -34.5513 -4.28548 -4.47529 -27.5987 -2.09312 -1.24303 -28.151 -3.55697 -1.15167 -30.9074 -4.95998 -2.43612 -33.3262 -5.9568 -3.4235 -35.9511 -7.81189 -4.20123 
-27 0.000407883 9.56492e-07 -30.3766 -0.371272 1.59755 -35.2363 -1.5141 2.9843 -36.0455 -0.939335 -0.651368 -34.3946 -0.742543 -1.91095 -31.8933 -1.29892 -1.52462 -30.0771 -1.11225 1.1274 -34.7162 -3.67665 2.70102 -35.6157 -2.21693 -1.41872 -33.5053 -1.56908 -2.62253 -30.607 -1.8554 -1.62732 -29.7777 -1.85322 0.65723 -34.2117 -5.42475 1.62916 -36.0612 -3.9208 -2.57076 -34.0178 -2.61048 -4.0177 -31.4371 -3.13451 -3.1278 -29.229 -2.62367 0.103621 -33.1456 -6.9156 0.28671 -36.4224 -7.43537 -2.71623 -36.5451 -6.02061 -4.7919 -34.4262 -4.26272 -4.44487 -27.5771 -2.06756 -1.29496 -28.1185 -3.53735 -1.24202 -30.8842 -4.89738 -2.55248 -33.3258 -5.83342 -3.54319 -36.0108 -7.59882 -4.32448 
