Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000411937 4.4388e-07 -28.9602 -2.51159 -1.98465 -31.8427 -5.17182 -5.36999 -33.9803 -2.12234 -5.90257 -33.9259 -0.181324 -5.14078 -33.2163 2.0207 -3.97703 -28.49 -1.88994 -2.48681 -30.429 -4.49163 -6.96396 -33.7621 -1.52102 -7.2667 -34.0326 0.672015 -6.06942 -33.7068 3.0762 -4.1732 -28.0197 -1.26828 -2.98898 -29.6992 -2.94324 -8.25538 -33.3117 -2.54681 -11.478 -35.5795 -1.72453 -12.9529 -37.5675 -1.44946 -14.8751 -27.3641 -0.487196 -3.39039 -28.3554 -1.36891 -9.05018 -30.0525 -0.602782 -13.1139 -31.1668 0.24229 -15.2041 -32.451 0.797381 -17.5738 -26.799 1.28109 -2.14612 -26.4258 1.28039 -3.66827 -29.0279 2.90574 -5.01113 -31.4913 4.10613 -5.5675 -34.7106 3.82956 -6.27209 
-27 0.00041567 -1.90953e-06 -28.894 -2.55966 -1.98748 -31.6835 -5.30412 -5.3835 -33.8382 -2.27881 -5.96628 -33.7906 -0.334285 -5.21302 -33.0549 1.85096 -4.03635 -28.4245 -1.93692 -2.489 -30.2515 -4.61965 -6.96544 -33.602 -1.67355 -7.3129 -33.8696 0.51747 -6.11131 -33.53 2.91316 -4.20847 -27.9551 -1.31417 -2.99052 -29.5247 -3.07297 -8.26345 -33.118 -2.72154 -11.5127 -35.3825 -1.9187 -13.005 -37.3621 -1.66598 -14.9383 -27.3039 -0.52836 -3.39014 -28.1907 -1.48424 -9.05524 -29.8459 -0.763629 -13.1445 -30.9434 0.0601079 -15.252 -32.2103 0.579495 -17.6398 -26.7829 1.26079 -2.15655 -26.3865 1.24785 -3.67277 -28.9975 2.81871 -5.06233 -31.4767 3.96735 -5.65638 -34.6756 3.57761 -6.39918 
-27 0.000415509 1.99135e-07 -28.83 -2.60874 -1.98364 -31.5282 -5.43967 -5.38238 -33.6948 -2.43371 -6.01925 -33.6515 -0.48512 -5.2763 -32.9125 1.69653 -4.09424 -28.3604 -1.98657 -2.48575 -30.077 -4.75554 -6.95336 -33.4412 -1.83149 -7.35201 -33.7095 0.362715 -6.1564 -33.3542 2.75504 -4.2522 -27.8908 -1.36439 -2.98786 -29.3504 -3.21483 -8.26104 -32.9223 -2.91351 -11.5383 -35.1809 -2.13194 -13.0519 -37.1521 -1.9107 -14.9985 -27.2432 -0.575582 -3.38735 -28.0237 -1.61547 -9.05329 -29.6387 -0.949043 -13.1666 -30.7212 -0.152929 -15.2923 -31.965 0.329978 -17.7005 -26.7643 1.2357 -2.16908 -26.3442 1.20746 -3.67871 -28.9604 2.72199 -5.12018 -31.4511 3.82182 -5.75705 -34.6271 3.32395 -6.53267 
-27 0.000414388 2.3078e-06 -28.7676 -2.65989 -1.97224 -31.3763 -5.58122 -5.36433 -33.5523 -2.59426 -6.0603 -33.5133 -0.640502 -5.3308 -32.7809 1.54474 -4.14942 -28.2974 -2.03976 -2.47631 -29.9056 -4.90157 -6.92572 -33.2821 -2.00005 -7.38255 -33.5542 0.201549 -6.20147 -33.1844 2.59593 -4.30264 -27.8272 -1.41962 -2.98039 -29.1776 -3.37072 -8.24638 -32.7272 -3.12795 -11.5518 -34.9784 -2.37162 -13.0896 -36.9396 -2.19269 -15.0522 -27.1827 -0.629208 -3.38161 -27.8565 -1.76389 -9.04303 -29.4318 -1.15892 -13.1797 -30.4992 -0.394887 -15.3247 -31.719 0.0468901 -17.7538 -26.7444 1.20574 -2.18362 -26.3008 1.15928 -3.68607 -28.9192 2.61504 -5.18295 -31.4189 3.66579 -5.86579 -34.5704 3.06618 -6.66922 
-27 0.000408155 2.26241e-06 -28.7071 -2.71348 -1.95248 -31.2283 -5.72984 -5.3275 -33.4113 -2.76159 -6.0885 -33.3768 -0.801306 -5.37649 -32.6545 1.39154 -4.19961 -28.2358 -2.09698 -2.45998 -29.7377 -5.05918 -6.88074 -33.1249 -2.18103 -7.4034 -33.4035 0.0321224 -6.24566 -33.0204 2.43348 -4.3599 -27.7645 -1.48047 -2.96749 -29.0066 -3.54243 -8.21787 -32.5331 -3.3677 -11.5508 -34.7754 -2.64129 -13.1156 -36.7245 -2.51691 -15.0968 -27.1224 -0.689983 -3.37245 -27.6894 -1.9315 -9.02315 -29.2265 -1.39695 -13.1836 -30.2787 -0.670431 -15.3492 -31.4735 -0.274809 -17.7997 -26.7232 1.17034 -2.20022 -26.2563 1.10243 -3.69478 -28.874 2.49666 -5.25034 -31.3803 3.49783 -5.982 -34.5062 2.80293 -6.808 
-27 0.000402883 1.94468e-06 -28.6485 -2.76971 -1.92364 -31.085 -5.88568 -5.27028 -33.2758 -2.93867 -6.10176 -33.2471 -0.970493 -5.4116 -32.5327 1.23352 -4.24845 -28.1763 -2.15808 -2.43618 -29.5761 -5.22746 -6.81716 -32.9743 -2.37642 -7.41199 -33.2616 -0.149113 -6.28392 -32.8711 2.26599 -4.41893 -27.7041 -1.54644 -2.94873 -28.8421 -3.72833 -8.17418 -32.3451 -3.63073 -11.5332 -34.5783 -2.94013 -13.1268 -36.5141 -2.87647 -15.1257 -27.0646 -0.756973 -3.35965 -27.5287 -2.11611 -8.99265 -29.0312 -1.65849 -13.1748 -30.0699 -0.974258 -15.3606 -31.243 -0.627954 -17.8297 -26.7029 1.13016 -2.2185 -26.214 1.03794 -3.70469 -28.8305 2.36609 -5.31898 -31.3431 3.31327 -6.09923 -34.4446 2.53535 -6.94321 
-27 0.000406835 7.1079e-07 -28.5912 -2.82831 -1.8862 -30.9458 -6.04727 -5.19378 -33.1504 -3.12766 -6.09901 -33.1309 -1.15087 -5.43362 -32.4138 1.0653 -4.29676 -28.1195 -2.22192 -2.40534 -29.4231 -5.40239 -6.73647 -32.8371 -2.58739 -7.40648 -33.1355 -0.345779 -6.31008 -32.7517 2.09258 -4.47258 -27.6478 -1.61552 -2.92449 -28.6893 -3.9225 -8.11623 -32.1698 -3.9106 -11.4985 -34.3955 -3.26301 -13.1196 -36.3191 -3.25845 -15.1319 -27.0121 -0.827266 -3.34363 -27.3826 -2.31048 -8.9522 -28.8581 -1.92952 -13.1516 -29.8823 -1.29518 -15.3586 -31.0416 -0.999102 -17.8399 -26.6871 1.08729 -2.23766 -26.1792 0.96921 -3.71561 -28.7981 2.22432 -5.38344 -31.3194 3.10627 -6.21072 -34.3957 2.24912 -7.06996 
-27 0.000412602 -9.99497e-07 -28.538 -2.89052 -1.83535 -30.8162 -6.21942 -5.08714 -33.0336 -3.33202 -6.07478 -33.0238 -1.34391 -5.44379 -32.2919 0.887382 -4.348 -28.0667 -2.29163 -2.36355 -29.2812 -5.59417 -6.62873 -32.7092 -2.81817 -7.38271 -33.0179 -0.559014 -6.32587 -32.6427 1.91062 -4.52712 -27.5955 -1.69273 -2.89174 -28.5474 -4.13942 -8.0365 -32.0052 -4.22355 -11.4393 -34.2233 -3.62474 -13.0882 -36.1355 -3.68156 -15.1106 -26.9634 -0.907793 -3.32248 -27.247 -2.53231 -8.89687 -28.6977 -2.2395 -13.1117 -29.706 -1.66434 -15.3415 -30.8536 -1.42654 -17.8337 -26.6723 1.03639 -2.25959 -26.1468 0.887508 -3.72858 -28.7678 2.06421 -5.44952 -31.2966 2.875 -6.32523 -34.3462 1.93402 -7.192 
-27 0.00041591 -2.89672e-06 -28.4927 -2.95701 -1.76543 -30.7048 -6.40544 -4.93734 -32.9276 -3.55444 -6.02115 -32.9256 -1.5509 -5.44091 -32.1636 0.699086 -4.40558 -28.0208 -2.36985 -2.306 -29.1567 -5.81174 -6.4817 -32.5912 -3.07242 -7.33386 -32.9048 -0.790147 -6.32952 -32.5301 1.71835 -4.58525 -27.5488 -1.78266 -2.84656 -28.4198 -4.39251 -7.92506 -31.855 -4.58437 -11.3443 -34.0638 -4.03968 -13.0221 -35.965 -4.16318 -15.0517 -26.9187 -1.00524 -3.29349 -27.1219 -2.79873 -8.81938 -28.5472 -2.61628 -13.0487 -29.5414 -2.10819 -15.301 -30.6775 -1.94155 -17.804 -26.6561 0.972008 -2.28563 -26.1136 0.783946 -3.74391 -28.7331 1.87791 -5.52067 -31.2665 2.61646 -6.44554 -34.2912 1.59417 -7.30755 
-27 0.000417403 -4.0452e-06 -28.4516 -3.02761 -1.67783 -30.6036 -6.60479 -4.74682 -32.829 -3.79795 -5.93759 -32.8333 -1.77648 -5.42331 -32.0254 0.492278 -4.46668 -27.9787 -2.45548 -2.23347 -29.0426 -6.05124 -6.29698 -32.48 -3.35212 -7.2586 -32.7962 -1.04319 -6.31808 -32.4158 1.51117 -4.64299 -27.5057 -1.88334 -2.7891 -28.3019 -4.67624 -7.78179 -31.7152 -4.99041 -11.2114 -33.9153 -4.50743 -12.918 -35.8056 -4.70472 -14.9514 -26.8771 -1.1166 -3.2561 -27.0054 -3.10212 -8.71821 -28.405 -3.05169 -12.9584 -29.3872 -2.61954 -15.2319 -30.5124 -2.53683 -17.7439 -26.6401 0.896016 -2.31404 -26.0814 0.662387 -3.75956 -28.698 1.66717 -5.59265 -31.2344 2.32955 -6.56552 -34.2352 1.22551 -7.40996 
