Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408859 9.00158e-07 -30.3431 0.585899 1.60391 -35.0185 2.23471 3.10974 -33.5151 5.69015 3.31099 -31.6084 5.86277 2.47683 -30.1541 4.84211 0.590493 -30.2531 0.918643 0.743141 -35.5086 2.62219 0.969451 -33.4513 6.43378 2.08199 -31.028 6.40313 1.41632 -29.3029 4.44679 -0.22537 -30.163 1.2514 -0.117622 -35.402 3.55438 -0.89881 -34.0114 7.89422 0.709488 -31.1881 7.93249 0.596231 -29.8627 6.08658 -1.00455 -29.8731 1.5209 -1.1396 -34.644 4.32638 -2.91744 -35.466 8.63632 -2.06344 -34.4117 10.7502 -1.20038 -32.6354 12.5286 -0.0782156 -27.7187 1.68773 -1.70964 -28.9105 2.23639 -2.56678 -30.4475 5.20399 -2.35012 -31.9251 7.5137 -1.80163 -33.4941 10.2099 -0.70364 
-27 0.00042324 -1.58385e-07 -30.365 0.397936 1.61571 -35.1048 1.80299 3.16665 -33.7115 5.29579 3.49484 -31.8167 5.56329 2.66192 -30.3753 4.64566 0.713762 -30.2868 0.765165 0.767903 -35.6058 2.25093 1.04074 -33.6734 6.08429 2.28465 -31.2505 6.1542 1.62078 -29.5087 4.29548 -0.114708 -30.2087 1.13241 -0.0799036 -35.5326 3.25642 -0.791442 -34.2871 7.58155 0.96868 -31.4672 7.70817 0.85461 -30.1046 5.95733 -0.820051 -29.9282 1.45006 -1.09061 -34.7999 4.13916 -2.77237 -35.8419 8.38007 -1.81869 -34.9813 10.5583 -0.902293 -33.5126 12.5599 0.286604 -27.7812 1.72031 -1.64871 -28.994 2.25182 -2.48693 -30.6272 5.15559 -2.14519 -32.2128 7.37798 -1.54026 -33.7406 10.0174 -0.261257 
-27 0.000410744 1.04372e-06 -30.3778 0.220698 1.62276 -35.1624 1.40438 3.22031 -33.8622 4.90989 3.72799 -31.9788 5.27552 2.90864 -30.5444 4.47473 0.90457 -30.3092 0.630558 0.793883 -35.6708 1.94208 1.11971 -33.8476 5.76214 2.54642 -31.4244 5.93029 1.90149 -29.6738 4.18248 0.0648919 -30.2405 1.04043 -0.0349935 -35.623 3.03993 -0.66047 -34.5074 7.31213 1.30482 -31.6918 7.52645 1.20509 -30.3032 5.88717 -0.558708 -29.9678 1.41459 -1.02836 -34.911 4.04796 -2.58505 -36.1567 8.20133 -1.49948 -35.5068 10.4208 -0.511323 -34.3833 12.5937 0.751644 -27.8287 1.77425 -1.56625 -29.0568 2.30738 -2.38095 -30.7579 5.14893 -1.88312 -32.4278 7.28552 -1.20096 -33.8853 9.8547 0.286202 
-27 0.000398248 2.24583e-06 -30.3826 0.0552289 1.62678 -35.1977 1.03506 3.27016 -33.9794 4.5341 3.96871 -32.109 4.99775 3.17025 -30.6784 4.32188 1.11808 -30.3238 0.508394 0.819983 -35.7164 1.66906 1.20233 -33.9883 5.45327 2.8225 -31.5671 5.71663 2.2026 -29.8073 4.09086 0.268509 -30.2649 0.961575 0.013192 -35.6941 2.85961 -0.518417 -34.6841 7.05354 1.66125 -31.8741 7.34178 1.57785 -30.485 5.81419 -0.283221 -30.0012 1.39246 -0.959382 -35.0038 3.99187 -2.37711 -36.4411 8.04542 -1.15907 -36.0081 10.2845 -0.0989683 -35.2473 12.572 1.23077 -27.8714 1.83112 -1.475 -29.1132 2.37245 -2.26313 -30.8657 5.14855 -1.60152 -32.6049 7.20082 -0.838503 -33.9706 9.68759 0.860756 
-27 0.000403648 2.221e-06 -30.3802 -0.0862121 1.63032 -35.2117 0.720804 3.31906 -34.0586 4.1996 4.18865 -32.2022 4.75326 3.41534 -30.7695 4.20605 1.32654 -30.3314 0.405656 0.845833 -35.7446 1.44353 1.28618 -34.0878 5.17837 3.08204 -31.6719 5.52657 2.48374 -29.8946 4.02245 0.470751 -30.2825 0.89754 0.0613512 -35.7472 2.71621 -0.375401 -34.816 6.82228 1.99794 -32.0123 7.16974 1.92981 -30.6493 5.74173 -0.027136 -30.0287 1.37891 -0.889951 -35.0794 3.95737 -2.16873 -36.6858 7.91074 -0.838025 -36.4592 10.1511 0.281907 -36.0509 12.4991 1.65996 -27.9085 1.88194 -1.38597 -29.1627 2.43377 -2.14668 -30.9488 5.14662 -1.33043 -32.7414 7.12313 -0.494489 -33.9912 9.52601 1.40308 
-27 0.000409047 2.04714e-06 -30.3695 -0.196485 1.64289 -35.2007 0.478928 3.38913 -34.0841 3.92672 4.4069 -32.243 4.55775 3.65658 -30.8109 4.1357 1.53858 -30.3309 0.329388 0.880189 -35.7531 1.28337 1.39341 -34.1349 4.95739 3.34205 -31.7269 5.37676 2.75757 -29.9324 3.98789 0.679047 -30.2923 0.855277 0.117496 -35.7795 2.62822 -0.210517 -34.8943 6.6413 2.33273 -32.0967 7.03714 2.28154 -30.7806 5.69725 0.232372 -30.0495 1.38029 -0.813396 -35.1342 3.96195 -1.94243 -36.8774 7.82252 -0.514864 -36.837 10.0503 0.651571 -36.7527 12.4154 2.05738 -27.9382 1.92927 -1.29836 -29.2039 2.4964 -2.02822 -30.9984 5.15418 -1.06301 -32.8238 7.06915 -0.157501 -33.9248 9.39061 1.92462 
-27 0.000400378 -1.83193e-06 -30.3451 -0.254016 1.68442 -35.1475 0.361577 3.52928 -34.0112 3.76487 4.66781 -32.1843 4.45818 3.93808 -30.7513 4.1496 1.80119 -30.3164 0.301672 0.942708 -35.7273 1.24763 1.5759 -34.0944 4.84464 3.65475 -31.6954 5.3152 3.07192 -29.8901 4.0142 0.945738 -30.2877 0.857371 0.201003 -35.7733 2.65717 0.0283632 -34.8741 6.57027 2.71481 -32.0814 7.00156 2.6863 -30.8358 5.72713 0.552993 -30.0574 1.41842 -0.711864 -35.1474 4.06504 -1.65028 -36.9621 7.85541 -0.12692 -37.0631 10.0613 1.07681 -37.2408 12.4128 2.49664 -27.952 1.98147 -1.20644 -29.2274 2.57798 -1.89476 -30.9813 5.20208 -0.774948 -32.8013 7.08303 0.209075 -33.6939 9.33026 2.46517 
-27 0.000391708 -5.56197e-06 -30.3257 -0.290862 1.71654 -35.1036 0.284586 3.63643 -33.952 3.65542 4.85347 -32.1317 4.38797 4.14604 -30.6999 4.18024 1.99614 -30.3042 0.2845 0.98974 -35.7043 1.22723 1.71333 -34.062 4.76917 3.88165 -31.6701 5.28232 3.30587 -29.8466 4.04274 1.15792 -30.2827 0.85987 0.26294 -35.7642 2.67924 0.205163 -34.8526 6.5215 2.98508 -32.0645 6.98268 2.98953 -30.8835 5.76445 0.787811 -30.0616 1.44469 -0.637196 -35.1524 4.13504 -1.4365 -37.0386 7.87271 0.129632 -37.2723 10.0629 1.34343 -37.6889 12.3926 2.74922 -27.9606 2.01556 -1.14142 -29.2426 2.63195 -1.79918 -30.9569 5.23126 -0.565961 -32.7724 7.09098 0.465696 -33.455 9.27871 2.84992 
-27 0.000398701 -2.28175e-06 -30.3211 -0.335301 1.71736 -35.0995 0.177812 3.65372 -33.9773 3.54637 4.90409 -32.1586 4.29792 4.21254 -30.7984 4.22712 2.00798 -30.305 0.247802 0.996607 -35.7116 1.13894 1.73747 -34.1008 4.67112 3.94686 -31.7128 5.22306 3.39106 -29.8655 4.04556 1.22855 -30.289 0.830912 0.275859 -35.7851 2.60662 0.243847 -34.9065 6.42759 3.06343 -32.1234 6.91601 3.1045 -30.9818 5.76242 0.847811 -30.0738 1.42687 -0.618352 -35.1866 4.08577 -1.38128 -37.1859 7.77737 0.153515 -37.565 9.96072 1.34276 -38.2214 12.2651 2.6978 -27.978 2.01971 -1.11906 -29.2659 2.63172 -1.76953 -30.9802 5.20583 -0.484666 -32.8198 7.04269 0.545395 -33.3327 9.19278 3.00519 
-27 0.000407755 9.98482e-07 -30.3174 -0.377302 1.7157 -35.0976 0.0738399 3.663 -34.0093 3.44694 4.93092 -32.1885 4.20513 4.25214 -30.935 4.3512 1.98886 -30.3071 0.210341 0.998539 -35.7218 1.04332 1.74734 -34.1458 4.5763 3.98116 -31.7598 5.15815 3.44754 -29.8978 4.04932 1.26148 -30.2967 0.79799 0.281383 -35.8101 2.51936 0.261106 -34.9697 6.3309 3.10499 -32.1907 6.83921 3.1765 -31.086 5.78105 0.855629 -30.0873 1.40145 -0.609177 -35.2254 4.01629 -1.3544 -37.326 7.66822 0.139503 -37.8269 9.84329 1.29841 -38.6788 12.1161 2.59683 -27.9973 2.0172 -1.1065 -29.2911 2.62028 -1.75355 -31.0105 5.17142 -0.430193 -32.8748 6.9904 0.587053 -33.2158 9.1113 3.10142 
-27 0.00041016 4.49338e-07 -30.3181 -0.415624 1.70543 -35.1035 -0.0219501 3.65255 -34.0491 3.35677 4.93411 -32.2184 4.10124 4.26704 -31.1108 4.55645 1.96898 -30.3113 0.175646 0.991221 -35.7353 0.952008 1.73313 -34.198 4.48783 3.98923 -31.8099 5.08911 3.48793 -29.9423 4.06495 1.26562 -30.3044 0.766926 0.277014 -35.8346 2.43365 0.251175 -35.0355 6.23729 3.11767 -32.26 6.75843 3.22184 -31.1819 5.82262 0.83678 -30.0982 1.37666 -0.610017 -35.2581 3.94823 -1.35543 -37.4433 7.5671 0.0969893 -38.0404 9.73279 1.22757 -39.0423 11.9715 2.47737 -28.0127 2.01363 -1.09902 -29.3103 2.60795 -1.74662 -31.0366 5.13811 -0.392408 -32.9246 6.94504 0.602386 -33.0973 9.04102 3.15457 
-27 0.000410504 -5.40336e-07 -30.3236 -0.451668 1.68555 -35.119 -0.113094 3.61805 -34.1023 3.27312 4.91023 -32.2516 3.99294 4.27175 -31.1695 4.76603 2.04771 -30.3182 0.142067 0.973372 -35.7534 0.860912 1.69079 -34.2604 4.40271 3.96673 -31.8708 5.02161 3.49447 -29.9973 4.05497 1.25148 -30.3128 0.735817 0.261204 -35.8597 2.34524 0.209871 -35.1057 6.1442 3.09489 -32.3338 6.67725 3.23113 -31.2891 5.95518 0.758535 -30.1073 1.35043 -0.622617 -35.2874 3.87446 -1.38968 -37.5328 7.47207 0.0231635 -38.1874 9.63383 1.12919 -39.2715 11.851 2.34825 -28.025 2.00804 -1.09787 -29.3243 2.59258 -1.75081 -31.0618 5.10343 -0.375031 -32.9684 6.90959 0.584852 -32.9582 8.98799 3.15716 
