Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408999 5.90574e-06 -29.4609 -2.82029 -0.28114 -33.1947 -6.19005 -1.52575 -35.7257 -3.49767 -2.24361 -35.6303 -1.4143 -2.20771 -34.2574 0.783944 -2.3673 -29.184 -2.45448 -1.0869 -32.3954 -6.18986 -3.59831 -35.7375 -3.21955 -3.95508 -35.6748 -0.749055 -3.49825 -33.8083 1.57942 -2.73962 -28.9071 -2.08867 -1.89267 -31.9234 -5.41729 -5.52357 -35.9318 -2.79645 -6.15094 -35.8202 -0.119629 -5.25193 -33.7524 1.54693 -4.46386 -28.4243 -1.55848 -2.72146 -31.1923 -4.09515 -7.15959 -34.5469 -5.06127 -9.9518 -36.6172 -5.20849 -11.3723 -38.9497 -5.58162 -12.7943 -27.5128 0.458237 -2.41119 -27.7489 -0.136598 -3.84181 -30.346 1.37912 -5.31617 -32.726 2.75529 -5.82649 -36.0171 3.07397 -5.89065 
-27 0.000409512 6.96213e-06 -29.4563 -2.82356 -0.28828 -33.1797 -6.20421 -1.53474 -35.6841 -3.48554 -2.24648 -35.5836 -1.40227 -2.21881 -34.1175 0.727819 -2.40463 -29.1778 -2.45715 -1.09322 -32.3723 -6.20161 -3.61268 -35.6883 -3.19999 -3.95234 -35.5899 -0.732706 -3.48456 -33.6806 1.56603 -2.74403 -28.8994 -2.09073 -1.89817 -31.8994 -5.42533 -5.53699 -35.9046 -2.80066 -6.16256 -35.7783 -0.127015 -5.25606 -33.6923 1.52224 -4.47972 -28.4151 -1.55965 -2.72557 -31.1641 -4.09828 -7.17439 -34.509 -5.07088 -9.97617 -36.5715 -5.22351 -11.4081 -38.8996 -5.60767 -12.8354 -27.5071 0.458217 -2.41238 -27.7399 -0.136748 -3.8435 -30.3449 1.38431 -5.29824 -32.7296 2.75994 -5.78789 -36.0245 3.04321 -5.80518 
-27 0.00040921 7.68181e-06 -29.4498 -2.82872 -0.293504 -33.1606 -6.22269 -1.54106 -35.6446 -3.48405 -2.24769 -35.5464 -1.40057 -2.23083 -33.9853 0.657174 -2.44393 -29.1704 -2.46167 -1.09785 -32.3475 -6.21716 -3.62287 -35.6448 -3.19457 -3.94962 -35.5171 -0.730123 -3.47401 -33.5667 1.53856 -2.74735 -28.891 -2.0946 -1.9022 -31.8747 -5.43785 -5.54657 -35.8794 -2.81276 -6.16898 -35.733 -0.141839 -5.25748 -33.6305 1.49031 -4.48466 -28.4062 -1.56244 -2.72857 -31.1381 -4.1059 -7.18514 -34.4722 -5.08771 -9.99636 -36.5283 -5.24974 -11.4359 -38.8516 -5.64575 -12.8679 -27.5032 0.457317 -2.41339 -27.7323 -0.137699 -3.84506 -30.3426 1.38724 -5.28625 -32.7293 2.76529 -5.75891 -36.0277 3.00244 -5.72769 
-27 0.000408666 8.04628e-06 -29.4434 -2.83376 -0.297992 -33.1425 -6.24006 -1.54685 -35.6089 -3.4843 -2.24849 -35.5126 -1.40067 -2.24155 -33.8632 0.583948 -2.4779 -29.1635 -2.46599 -1.10182 -32.325 -6.23136 -3.6317 -35.6066 -3.19226 -3.94713 -35.4515 -0.730589 -3.46536 -33.4617 1.50708 -2.74716 -28.8836 -2.09821 -1.90565 -31.8525 -5.44933 -5.55481 -35.8568 -2.82298 -6.17225 -35.6882 -0.154761 -5.2567 -33.5667 1.45935 -4.48844 -28.3985 -1.5649 -2.73113 -31.116 -4.11268 -7.19404 -34.4403 -5.10359 -10.0131 -36.491 -5.27456 -11.4591 -38.809 -5.67998 -12.8969 -27.5001 0.456678 -2.41413 -27.7261 -0.138397 -3.8463 -30.3402 1.38965 -5.27713 -32.7274 2.77164 -5.73553 -36.0283 2.95808 -5.65675 
-27 0.000408225 7.08252e-06 -29.4373 -2.83837 -0.303491 -33.126 -6.25482 -1.55548 -35.5774 -3.4837 -2.24951 -35.476 -1.4003 -2.24672 -33.7515 0.517148 -2.4955 -29.1573 -2.46921 -1.10664 -32.3054 -6.24132 -3.64325 -35.5736 -3.18799 -3.94463 -35.3911 -0.729419 -3.45662 -33.3637 1.4766 -2.7422 -28.8773 -2.10004 -1.9098 -31.8338 -5.45537 -5.56519 -35.8373 -2.82563 -6.17297 -35.6476 -0.160626 -5.25219 -33.504 1.43086 -4.48885 -28.3924 -1.56491 -2.73422 -31.0985 -4.11306 -7.20382 -34.4153 -5.11009 -10.0297 -36.4616 -5.28782 -11.4809 -38.7748 -5.70049 -12.9246 -27.4985 0.458151 -2.41419 -27.7218 -0.135947 -3.84718 -30.3406 1.39481 -5.26652 -32.7274 2.78195 -5.71134 -36.0293 2.91631 -5.58589 
-27 0.000407566 4.39018e-06 -29.4314 -2.84256 -0.312071 -33.1102 -6.26669 -1.57191 -35.549 -3.48203 -2.25608 -35.4385 -1.39909 -2.25222 -33.6551 0.462295 -2.50409 -29.1513 -2.47108 -1.11414 -32.2867 -6.24619 -3.66193 -35.5439 -3.1812 -3.94721 -35.3345 -0.72614 -3.45242 -33.2704 1.44817 -2.74142 -28.8713 -2.0996 -1.91622 -31.8157 -5.45455 -5.58171 -35.8176 -2.81939 -6.17622 -35.6088 -0.158243 -5.24842 -33.4398 1.4049 -4.48861 -28.3867 -1.5617 -2.73899 -31.0821 -4.10502 -7.21776 -34.3913 -5.10425 -10.0517 -36.4333 -5.28577 -11.5086 -38.7414 -5.70292 -12.9592 -27.4971 0.462436 -2.41368 -27.7179 -0.129196 -3.84806 -30.3418 1.40465 -5.25473 -32.7264 2.79955 -5.68701 -36.028 2.88074 -5.51591 
-27 0.000406043 -1.56032e-06 -29.4246 -2.84647 -0.328303 -33.0934 -6.27467 -1.60647 -35.5257 -3.47437 -2.27595 -35.4059 -1.39198 -2.26393 -33.591 0.436399 -2.51124 -29.1445 -2.47056 -1.12828 -32.2668 -6.24203 -3.6975 -35.517 -3.16877 -3.9608 -35.2812 -0.717659 -3.45675 -33.1856 1.42446 -2.7335 -28.8644 -2.09463 -1.92827 -31.7954 -5.44029 -5.61296 -35.7957 -2.79673 -6.18759 -35.5741 -0.140662 -5.24829 -33.3748 1.38332 -4.48583 -28.3802 -1.55173 -2.74794 -31.0638 -4.07952 -7.24254 -34.3643 -5.07311 -10.0886 -36.4009 -5.25336 -11.5541 -38.7014 -5.67112 -13.0167 -27.4955 0.472815 -2.412 -27.713 -0.113858 -3.84892 -30.3446 1.42168 -5.23922 -32.7247 2.82785 -5.65988 -36.024 2.83837 -5.43496 
-27 0.00040498 -5.78225e-06 -29.4189 -2.84919 -0.346423 -33.0802 -6.27777 -1.64476 -35.5092 -3.46286 -2.29266 -35.3783 -1.38121 -2.27023 -33.5492 0.431056 -2.51562 -29.1397 -2.46753 -1.14398 -32.2532 -6.22983 -3.73723 -35.4968 -3.14872 -3.96985 -35.2333 -0.702718 -3.45327 -33.1057 1.40316 -2.71287 -28.8605 -2.08586 -1.94156 -31.7835 -5.41495 -5.64752 -35.782 -2.76075 -6.19232 -35.5458 -0.111649 -5.23704 -33.315 1.3687 -4.47408 -28.3774 -1.53669 -2.75776 -31.0557 -4.04031 -7.26907 -34.3518 -5.02242 -10.1242 -36.3855 -5.19683 -11.596 -38.6797 -5.61121 -13.0696 -27.4968 0.487428 -2.40883 -27.7128 -0.092258 -3.84882 -30.3538 1.44569 -5.21831 -32.733 2.85857 -5.62138 -36.0292 2.81999 -5.35695 
-27 0.000405545 -4.19746e-06 -29.4163 -2.8495 -0.36204 -33.0758 -6.27414 -1.67554 -35.5008 -3.44891 -2.29332 -35.3513 -1.36868 -2.25987 -33.5125 0.434603 -2.51204 -29.1394 -2.46151 -1.15738 -32.2528 -6.2093 -3.77164 -35.4855 -3.11787 -3.9621 -35.1912 -0.679398 -3.42841 -33.0235 1.38395 -2.68481 -28.8626 -2.0735 -1.95272 -31.7891 -5.37929 -5.67678 -35.7843 -2.71252 -6.17919 -35.5242 -0.0733379 -5.2029 -33.2648 1.36551 -4.45027 -28.3822 -1.5176 -2.76593 -31.0676 -3.98938 -7.29053 -34.3683 -4.95479 -10.1469 -36.4032 -5.11851 -11.6193 -38.6961 -5.52412 -13.0975 -27.5032 0.504927 -2.40389 -27.722 -0.0654472 -3.84716 -30.3724 1.47983 -5.1901 -32.7568 2.89139 -5.56556 -36.0517 2.83843 -5.28637 
-27 0.000406111 -2.61267e-06 -29.4151 -2.84875 -0.375649 -33.0757 -6.26757 -1.70129 -35.4983 -3.43342 -2.28701 -35.3221 -1.3555 -2.24189 -33.4771 0.443428 -2.50575 -29.1413 -2.45442 -1.16893 -32.2587 -6.18585 -3.80172 -35.4795 -3.0824 -3.94682 -35.1523 -0.652461 -3.39515 -32.9405 1.36426 -2.65459 -28.8675 -2.06008 -1.96221 -31.8026 -5.34059 -5.70179 -35.794 -2.66036 -6.15723 -35.5052 -0.0325848 -5.15847 -33.219 1.36525 -4.42357 -28.3904 -1.49754 -2.77276 -31.0887 -3.93548 -7.30801 -34.3978 -4.88215 -10.1621 -36.4359 -5.03292 -11.6324 -38.7299 -5.42714 -13.1121 -27.5119 0.522915 -2.39821 -27.7355 -0.037752 -3.84456 -30.3951 1.51583 -5.15942 -32.7862 2.92363 -5.50531 -36.0798 2.85021 -5.21679 
