Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00040152 -2.77273e-06 -30.4785 -1.04969 0.942687 -35.6038 -1.80772 0.885912 -39.3594 -1.82933 0.507334 -41.4349 -1.94652 0.306814 -44.0139 -1.74988 0.120896 -30.2705 -1.1309 0.0427588 -35.474 -2.75663 -0.881279 -39.6733 -2.21238 -2.35214 -42.0229 -1.94143 -3.21276 -44.8683 -1.30801 -4.24081 -30.0625 -1.21209 -0.857183 -35.1382 -3.04768 -2.91348 -38.7834 -1.00909 -5.36093 -40.276 0.879659 -6.84757 -41.9711 2.49679 -8.36375 -29.6084 -1.27613 -1.85258 -34.0886 -3.4207 -4.87278 -35.6615 0.321069 -6.74585 -34.8938 2.70166 -6.73574 -33.9083 5.20507 -6.19348 -27.814 -0.048994 -2.37095 -28.6548 -0.835228 -3.43449 -31.4111 0.820599 -4.37114 -33.5789 2.57399 -4.58362 -36.5281 3.77038 -3.68519 
-27 0.000402796 1.72307e-06 -30.4934 -0.995675 0.946235 -35.6233 -1.71954 0.87015 -39.3753 -1.74175 0.461082 -41.4509 -1.86376 0.249674 -44.0308 -1.66898 0.0360925 -30.2786 -1.10675 0.051095 -35.4857 -2.72533 -0.865329 -39.6666 -2.19952 -2.39311 -42.0055 -1.94401 -3.28596 -44.8366 -1.32851 -4.36323 -30.0639 -1.2178 -0.844051 -35.1351 -3.0836 -2.88409 -38.7327 -1.08843 -5.43286 -40.1888 0.764176 -6.99662 -41.8504 2.35199 -8.57814 -29.6021 -1.31642 -1.83309 -34.07 -3.53008 -4.82155 -35.5582 0.189241 -6.80683 -34.7414 2.55263 -6.84131 -33.6995 5.04202 -6.34813 -27.795 -0.118518 -2.37493 -28.6325 -0.933385 -3.41933 -31.3717 0.708419 -4.42793 -33.5204 2.47517 -4.71167 -36.4652 3.72058 -3.86672 
-27 0.00040346 -1.81099e-06 -30.5104 -0.939042 0.94126 -35.6455 -1.62182 0.836426 -39.3927 -1.64229 0.392173 -41.4681 -1.7645 0.167822 -44.0484 -1.57579 -0.075113 -30.2883 -1.07762 0.0517522 -35.5003 -2.67834 -0.868088 -39.6604 -2.16787 -2.45428 -41.9878 -1.927 -3.37857 -44.8031 -1.32788 -4.5057 -30.0662 -1.21618 -0.837755 -35.134 -3.09793 -2.87193 -38.6804 -1.14284 -5.51801 -40.1003 0.673053 -7.15432 -41.7284 2.23173 -8.79762 -29.5962 -1.34705 -1.81913 -34.053 -3.61275 -4.78506 -35.4534 0.0832065 -6.87549 -34.5904 2.43032 -6.94598 -33.5018 4.91014 -6.49983 -27.774 -0.180261 -2.37798 -28.6087 -1.01841 -3.40608 -31.3253 0.616417 -4.48464 -33.4486 2.39992 -4.84474 -36.3872 3.69904 -4.06151 
-27 0.000403222 3.13588e-06 -30.5296 -0.871402 0.934696 -35.671 -1.49885 0.799425 -39.4135 -1.51056 0.320343 -41.4883 -1.62566 0.0829579 -44.0679 -1.44003 -0.188607 -30.3009 -1.03848 0.051784 -35.5223 -2.60604 -0.871818 -39.6602 -2.10623 -2.51514 -41.9761 -1.87748 -3.46803 -44.7742 -1.29276 -4.64463 -30.0722 -1.20554 -0.831141 -35.1423 -3.08843 -2.85857 -38.6339 -1.17304 -5.60086 -40.0172 0.604584 -7.3079 -41.6103 2.1299 -9.0153 -29.5947 -1.37041 -1.80374 -34.0483 -3.67458 -4.74471 -35.3541 -0.00872838 -6.94406 -34.4441 2.32147 -7.05147 -33.3147 4.79614 -6.65981 -27.754 -0.241126 -2.37897 -28.5888 -1.09957 -3.39016 -31.2754 0.536935 -4.53918 -33.3664 2.34046 -4.97946 -36.295 3.69983 -4.26416 
-27 0.000406213 -5.05231e-06 -30.5491 -0.7986 0.925544 -35.6969 -1.3632 0.757694 -39.4351 -1.36148 0.245083 -41.5087 -1.46451 -0.00599096 -44.086 -1.27718 -0.304764 -30.3146 -0.993831 0.0499698 -35.5476 -2.51899 -0.879424 -39.6626 -2.02672 -2.57766 -41.9676 -1.80708 -3.55635 -44.748 -1.23653 -4.78104 -30.0801 -1.18905 -0.825612 -35.1557 -3.06291 -2.84751 -38.5916 -1.1871 -5.68246 -39.9393 0.552991 -7.45524 -41.4963 2.04067 -9.22789 -29.596 -1.38786 -1.78853 -34.0514 -3.71973 -4.70478 -35.2609 -0.0902483 -7.0127 -34.3049 2.22265 -7.15631 -33.1423 4.69538 -6.82288 -27.7354 -0.299384 -2.37819 -28.5721 -1.17524 -3.37273 -31.224 0.468073 -4.59046 -33.2816 2.28886 -5.10968 -36.1988 3.70618 -4.46321 
-27 0.000410108 -1.69837e-06 -30.5668 -0.72296 0.91975 -35.7197 -1.22836 0.72302 -39.4541 -1.21586 0.18021 -41.5258 -1.3074 -0.0839151 -44.1001 -1.11667 -0.407961 -30.3274 -0.950121 0.0532543 -35.5713 -2.43918 -0.873 -39.6645 -1.96569 -2.6244 -41.9599 -1.75956 -3.62694 -44.7236 -1.21342 -4.89965 -30.0879 -1.17726 -0.813242 -35.1696 -3.05309 -2.81795 -38.5535 -1.23665 -5.74993 -39.8686 0.456192 -7.59201 -41.3911 1.89078 -9.43715 -29.5982 -1.41402 -1.76467 -34.0573 -3.78746 -4.64149 -35.177 -0.214903 -7.0762 -34.179 2.07989 -7.26903 -32.9933 4.55063 -7.01042 -27.7189 -0.369099 -2.37343 -28.558 -1.2667 -3.34625 -31.1762 0.374142 -4.63803 -33.2066 2.19879 -5.24403 -36.1134 3.66831 -4.67193 
-27 0.000411344 3.18458e-07 -30.58 -0.659071 0.9168 -35.7358 -1.12255 0.697259 -39.4671 -1.10791 0.130494 -41.5365 -1.19344 -0.144743 -44.1081 -1.0022 -0.488892 -30.3365 -0.917023 0.0600904 -35.5876 -2.38674 -0.856082 -39.663 -1.94425 -2.65302 -41.9509 -1.75651 -3.67568 -44.7017 -1.24503 -4.99067 -30.0931 -1.17497 -0.796632 -35.178 -3.06868 -2.77614 -38.5205 -1.32533 -5.79721 -39.8104 0.315712 -7.70358 -41.3052 1.68814 -9.61789 -29.5989 -1.44764 -1.73606 -34.0594 -3.87547 -4.56506 -35.1077 -0.372135 -7.12546 -34.076 1.9056 -7.37125 -32.8776 4.37753 -7.19092 -27.7055 -0.440891 -2.36515 -28.5459 -1.36235 -3.31428 -31.1389 0.262632 -4.67522 -33.1549 2.07256 -5.3671 -36.0561 3.57871 -4.86631 
-27 0.000398768 5.58715e-06 -30.5938 -0.593557 0.907253 -35.7521 -1.01227 0.657479 -39.4786 -0.988925 0.0623968 -41.5453 -1.06631 -0.227423 -44.1137 -0.868604 -0.59332 -30.346 -0.881727 0.0614975 -35.6041 -2.32818 -0.851739 -39.6589 -1.91123 -2.69768 -41.9374 -1.7378 -3.74393 -44.6731 -1.25808 -5.10223 -30.0982 -1.16988 -0.78426 -35.1856 -3.07705 -2.74442 -38.4817 -1.40457 -5.85466 -39.7411 0.185339 -7.82432 -41.2045 1.49553 -9.80588 -29.5991 -1.47793 -1.71007 -34.0602 -3.95471 -4.49537 -35.0344 -0.526326 -7.18034 -33.9664 1.73065 -7.47948 -32.7538 4.2 -7.37488 -27.6905 -0.510926 -2.35545 -28.5319 -1.45482 -3.2814 -31.0987 0.150697 -4.71321 -33.1029 1.93675 -5.49549 -35.9978 3.47818 -5.07086 
-27 0.000408118 -3.38471e-06 -30.6075 -0.530746 0.891826 -35.7669 -0.910549 0.604777 -39.4863 -0.880323 -0.0237279 -41.5499 -0.952075 -0.331272 -44.1152 -0.749286 -0.721293 -30.3544 -0.849407 0.0586666 -35.6169 -2.27839 -0.856821 -39.6489 -1.89173 -2.75648 -41.916 -1.73566 -3.83039 -44.6349 -1.29043 -5.2335 -30.1014 -1.16806 -0.774508 -35.1874 -3.09516 -2.71851 -38.4344 -1.50131 -5.92033 -39.6606 0.0315784 -7.9553 -41.0916 1.27528 -10.0028 -29.5964 -1.51151 -1.68457 -34.0535 -4.04301 -4.42675 -34.9551 -0.699575 -7.23852 -33.8522 1.53398 -7.59452 -32.6263 3.99842 -7.56494 -27.6731 -0.58376 -2.34354 -28.5137 -1.55129 -3.24549 -31.0547 0.025468 -4.75311 -33.0483 1.77843 -5.63153 -35.937 3.35183 -5.29026 
-27 0.000405287 4.64019e-07 -30.62 -0.465582 0.877489 -35.7804 -0.802403 0.556728 -39.492 -0.761739 -0.101938 -41.5529 -0.826919 -0.425568 -44.1159 -0.617825 -0.836082 -30.3632 -0.813873 0.057414 -35.6322 -2.21948 -0.856643 -39.6426 -1.85891 -2.80516 -41.8985 -1.71939 -3.90476 -44.601 -1.30383 -5.3474 -30.1065 -1.16215 -0.762671 -35.1955 -3.1021 -2.68619 -38.395 -1.58352 -5.97138 -39.5879 -0.108975 -8.06789 -40.9881 1.07064 -10.1738 -29.5975 -1.54023 -1.65662 -34.0569 -4.11822 -4.35127 -34.8868 -0.861395 -7.28219 -33.7482 1.34524 -7.69642 -32.5048 3.80078 -7.73774 -27.6594 -0.653611 -2.32891 -28.5013 -1.64254 -3.2061 -31.0156 -0.0947274 -4.78678 -32.9941 1.62715 -5.75612 -35.8725 3.23432 -5.49446 
