Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000412564 1.62209e-06 -27.2931 -2.76634 -2.52002 -28.2391 -5.7476 -6.65078 -31.7497 -4.79 -7.61438 -33.4599 -3.65176 -7.25331 -34.9936 -1.70046 -6.47923 -27.1831 -1.917 -2.87535 -27.3206 -4.18725 -7.91524 -31.6495 -3.54284 -8.84967 -33.6087 -2.27861 -7.91204 -35.4431 -0.687946 -6.02952 -27.0731 -1.06764 -3.23069 -27.1303 -2.2966 -8.87403 -31.8023 -2.05262 -10.0717 -33.8214 -0.717421 -8.61336 -35.7084 0.598729 -7.06137 -26.891 -0.00795777 -3.44283 -26.7006 -0.0729795 -9.25255 -30.9952 0.502117 -10.3508 -32.8422 1.35317 -8.87114 -34.4568 1.97723 -6.74603 -27.3755 1.56057 -1.92648 -27.0006 1.85494 -3.41949 -29.9553 1.22189 -4.86334 -32.4395 0.500046 -5.92469 -35.3965 0.0403411 -7.33236 
-27 0.00040742 1.41841e-07 -27.2799 -2.7404 -2.54967 -28.199 -5.68177 -6.71495 -31.6984 -4.69588 -7.69027 -33.4062 -3.55381 -7.33013 -34.9258 -1.5869 -6.56412 -27.1675 -1.88755 -2.89572 -27.2759 -4.1074 -7.95872 -31.5964 -3.43904 -8.91395 -33.5541 -2.17223 -7.9766 -35.4103 -0.589036 -6.11297 -27.0552 -1.03467 -3.24175 -27.0826 -2.20648 -8.89747 -31.7444 -1.94172 -10.1303 -33.7647 -0.628752 -8.65402 -35.6683 0.704883 -7.1413 -26.8714 0.0270295 -3.44206 -26.6534 0.0220429 -9.25117 -30.9358 0.616818 -10.3859 -32.7915 1.4641 -8.91499 -34.4037 2.04444 -6.78409 -27.3638 1.58027 -1.91261 -26.9807 1.88958 -3.40048 -29.9146 1.27331 -4.8932 -32.3867 0.566644 -5.99237 -35.3403 0.134307 -7.41578 
-27 0.000397004 -8.53798e-06 -27.2585 -2.72288 -2.57066 -28.1436 -5.64018 -6.76015 -31.6375 -4.64424 -7.74526 -33.345 -3.50016 -7.38617 -34.8706 -1.53632 -6.62283 -27.1474 -1.86717 -2.91001 -27.2226 -4.05182 -7.9889 -31.5389 -3.38645 -8.95973 -33.4983 -2.12419 -8.01967 -35.3801 -0.542817 -6.17969 -27.0363 -1.01146 -3.24935 -27.034 -2.14323 -8.91328 -31.6883 -1.87584 -10.1741 -33.718 -0.594229 -8.68174 -35.6406 0.750252 -7.20454 -26.855 0.0522593 -3.44114 -26.6135 0.0911446 -9.24919 -30.8888 0.681186 -10.413 -32.7506 1.51984 -8.95274 -34.365 2.06315 -6.8189 -27.36 1.59279 -1.90292 -26.9711 1.91408 -3.38677 -29.8859 1.29965 -4.91717 -32.3453 0.594325 -6.04551 -35.2926 0.176405 -7.48597 
-27 0.000398391 -5.85977e-06 -27.2546 -2.71129 -2.58325 -28.1273 -5.61281 -6.78628 -31.6142 -4.59555 -7.77463 -33.3125 -3.43928 -7.41486 -34.8435 -1.4816 -6.64854 -27.1415 -1.85425 -2.91854 -27.2033 -4.0175 -8.00677 -31.5162 -3.34658 -8.98288 -33.4689 -2.0763 -8.0399 -35.3641 -0.483363 -6.22062 -27.0283 -0.997203 -3.25383 -27.012 -2.105 -8.92248 -31.6606 -1.81677 -10.1989 -33.6946 -0.555432 -8.69396 -35.6244 0.806753 -7.24298 -26.8453 0.0671264 -3.44045 -26.5904 0.132892 -9.24769 -30.8599 0.730148 -10.4291 -32.7227 1.57131 -8.97428 -34.3538 2.11511 -6.85278 -27.3527 1.60154 -1.89694 -26.9596 1.92876 -3.37838 -29.8637 1.32578 -4.93354 -32.3166 0.629061 -6.081 -35.2616 0.236045 -7.53343 
-27 0.000420075 8.82285e-06 -27.2601 -2.70209 -2.59229 -28.1337 -5.59153 -6.80348 -31.6148 -4.55017 -7.78649 -33.3001 -3.38037 -7.42252 -34.835 -1.43139 -6.64682 -27.1444 -1.84427 -2.92469 -27.2063 -3.99145 -8.01972 -31.5181 -3.31416 -8.99001 -33.4592 -2.03282 -8.04279 -35.3602 -0.426785 -6.23682 -27.0286 -0.986446 -3.25709 -27.0111 -2.07637 -8.9292 -31.6558 -1.76456 -10.2078 -33.6899 -0.5183 -8.69147 -35.6193 0.861775 -7.25577 -26.8425 0.0779799 -3.44008 -26.5851 0.164227 -9.24694 -30.8516 0.772418 -10.4336 -32.7131 1.61672 -8.97728 -34.3803 2.19397 -6.88586 -27.3469 1.60872 -1.89194 -26.9522 1.93959 -3.37216 -29.8521 1.35116 -4.94082 -32.3029 0.665309 -6.09932 -35.2494 0.298562 -7.55532 
-27 0.000415185 1.06947e-05 -27.2624 -2.70064 -2.59358 -28.135 -5.59108 -6.80428 -31.6137 -4.53448 -7.78007 -33.2898 -3.3561 -7.41174 -34.8283 -1.41552 -6.62788 -27.1457 -1.84279 -2.92557 -27.207 -3.98815 -8.02136 -31.5203 -3.31249 -8.9823 -33.4536 -2.02397 -8.03038 -35.3629 -0.406467 -6.23771 -27.029 -0.984932 -3.25755 -27.0109 -2.07277 -8.93006 -31.6561 -1.75266 -10.2029 -33.6895 -0.517528 -8.68022 -35.619 0.877961 -7.2561 -26.8417 0.0793861 -3.44001 -26.5836 0.169935 -9.24678 -30.8487 0.781222 -10.4307 -32.7103 1.6243 -8.97049 -34.4233 2.25304 -6.91978 -27.3448 1.60994 -1.89127 -26.9497 1.94107 -3.3713 -29.8482 1.35754 -4.94434 -32.2977 0.67543 -6.10771 -35.2475 0.322673 -7.56054 
-27 0.000413117 7.92766e-06 -27.2602 -2.69683 -2.59776 -28.1263 -5.58318 -6.81259 -31.6012 -4.50801 -7.78176 -33.2711 -3.3248 -7.40616 -34.8064 -1.3882 -6.61185 -27.1417 -1.83869 -2.92834 -27.1933 -3.97759 -8.02695 -31.5078 -3.29297 -8.98044 -33.4365 -2.00448 -8.01953 -35.3548 -0.380733 -6.24224 -27.0231 -0.980541 -3.25892 -26.9923 -2.06149 -8.93268 -31.6415 -1.73096 -10.1968 -33.6731 -0.502669 -8.67085 -35.604 0.903244 -7.25379 -26.8341 0.0837719 -3.43955 -26.5608 0.182434 -9.24548 -30.8277 0.8067 -10.422 -32.6921 1.64302 -8.95838 -34.4411 2.31435 -6.94155 -27.3386 1.61292 -1.88985 -26.9389 1.94581 -3.36826 -29.8378 1.36795 -4.94264 -32.2867 0.691928 -6.11079 -35.2393 0.352854 -7.56124 
-27 0.000413008 4.5957e-06 -27.2569 -2.6956 -2.59938 -28.1171 -5.5796 -6.81702 -31.5873 -4.48051 -7.77595 -33.2514 -3.29331 -7.38793 -34.7762 -1.35485 -6.58179 -27.1353 -1.83765 -2.92931 -27.1733 -3.97536 -8.02854 -31.4906 -3.26723 -8.96968 -33.4155 -1.98267 -7.99455 -35.3409 -0.352483 -6.23331 -27.0137 -0.979672 -3.25924 -26.9615 -2.06058 -8.93285 -31.6154 -1.71061 -10.1741 -33.6421 -0.480455 -8.64562 -35.5713 0.933184 -7.22921 -26.8217 0.0842706 -3.43892 -26.5203 0.182387 -9.24348 -30.7899 0.831507 -10.3968 -32.6557 1.66291 -8.92964 -34.4095 2.35461 -6.91998 -27.3283 1.61412 -1.89064 -26.9198 1.94723 -3.36658 -29.8242 1.37366 -4.93219 -32.2761 0.705798 -6.0989 -35.2327 0.382191 -7.54467 
-27 0.000394006 -9.56674e-06 -27.2545 -2.70346 -2.59145 -28.1198 -5.59913 -6.80006 -31.5955 -4.48812 -7.72491 -33.255 -3.30239 -7.31042 -34.7713 -1.36566 -6.48567 -27.1342 -1.84629 -2.92392 -27.1728 -3.99882 -8.01692 -31.4974 -3.27672 -8.91293 -33.4173 -2.00243 -7.90992 -35.3439 -0.36917 -6.15032 -27.014 -0.989112 -3.25639 -26.9572 -2.08864 -8.92639 -31.6271 -1.7284 -10.1029 -33.645 -0.496087 -8.56261 -35.5663 0.914792 -7.13276 -26.8235 0.0745603 -3.43925 -26.5123 0.152619 -9.24358 -30.7967 0.814918 -10.3324 -32.6559 1.64165 -8.85429 -34.375 2.32385 -6.81416 -27.3315 1.60819 -1.89514 -26.919 1.93867 -3.37056 -29.8407 1.3514 -4.89844 -32.303 0.680514 -6.04118 -35.2718 0.361247 -7.46273 
-27 0.000415684 5.76396e-06 -27.2599 -2.70852 -2.58562 -28.1436 -5.60911 -6.787 -31.6269 -4.47896 -7.65824 -33.2762 -3.29203 -7.20386 -34.7847 -1.3605 -6.35087 -27.1404 -1.85198 -2.92001 -27.1911 -4.01432 -8.00875 -31.5251 -3.26807 -8.83639 -33.4325 -2.00289 -7.79841 -35.3497 -0.368317 -6.02105 -27.0209 -0.995454 -3.25441 -26.968 -2.10909 -8.92169 -31.6578 -1.72111 -10.0066 -33.6629 -0.485634 -8.44469 -35.5691 0.918391 -6.98718 -26.8309 0.0678759 -3.43975 -26.5147 0.12932 -9.24402 -30.8181 0.812847 -10.2409 -32.6627 1.64123 -8.74548 -34.3238 2.29609 -6.65312 -27.3356 1.60449 -1.89754 -26.9192 1.93331 -3.37225 -29.8666 1.33561 -4.84585 -32.3458 0.666914 -5.95278 -35.3323 0.362369 -7.34013 
-27 0.000403089 -5.43468e-06 -27.2551 -2.71272 -2.5817 -28.1449 -5.61795 -6.77859 -31.6395 -4.47946 -7.59184 -33.2793 -3.29515 -7.09498 -34.7932 -1.37942 -6.21204 -27.1387 -1.85628 -2.91739 -27.1903 -4.0253 -8.00327 -31.536 -3.27053 -8.75863 -33.4343 -2.01699 -7.69032 -35.3403 -0.392125 -5.88635 -27.0223 -0.999827 -3.25308 -26.9645 -2.12393 -8.91824 -31.6733 -1.71893 -9.91075 -33.6673 -0.491534 -8.32856 -35.5629 0.896628 -6.84107 -26.8357 0.0638292 -3.44007 -26.5091 0.113225 -9.24388 -30.8322 0.800863 -10.1486 -32.663 1.62861 -8.63601 -34.2737 2.25179 -6.49597 -27.3431 1.60094 -1.89921 -26.922 1.93018 -3.37251 -29.8926 1.31381 -4.79098 -32.3862 0.640561 -5.86213 -35.3891 0.345353 -7.21565 
-27 0.000396783 -5.96446e-06 -27.2605 -2.72714 -2.56594 -28.167 -5.65377 -6.74433 -31.6712 -4.50639 -7.50207 -33.2972 -3.31801 -6.97048 -34.8156 -1.41424 -6.06559 -27.1461 -1.87242 -2.90669 -27.2111 -4.06928 -7.98045 -31.5675 -3.30785 -8.66441 -33.4542 -2.05258 -7.57782 -35.3361 -0.427295 -5.74741 -27.0316 -1.01771 -3.24745 -26.9826 -2.17529 -8.90595 -31.7072 -1.75418 -9.81292 -33.6865 -0.525388 -8.21334 -35.5688 0.857334 -6.70231 -26.8469 0.0451043 -3.44088 -26.5233 0.0590241 -9.24505 -30.8624 0.74819 -10.0686 -32.6757 1.58542 -8.54019 -34.254 2.20895 -6.37285 -27.3509 1.59011 -1.90686 -26.9286 1.91259 -3.38127 -29.9216 1.27938 -4.7439 -32.4299 0.601049 -5.77702 -35.4498 0.313283 -7.09364 
-27 0.000398993 -1.04912e-06 -27.2556 -2.73586 -2.55714 -28.1538 -5.6753 -6.72832 -31.657 -4.5123 -7.46667 -33.272 -3.31596 -6.92241 -34.7965 -1.42044 -6.00892 -27.1385 -1.88256 -2.90051 -27.1865 -4.09761 -7.96654 -31.5448 -3.32455 -8.62435 -33.4286 -2.06047 -7.54285 -35.2931 -0.431413 -5.6999 -27.0214 -1.02925 -3.24389 -26.9474 -2.2085 -8.89764 -31.6753 -1.76845 -9.77804 -33.6506 -0.535435 -8.1768 -35.5323 0.846375 -6.66179 -26.8341 0.0325573 -3.44043 -26.4792 0.0233709 -9.24277 -30.8214 0.720715 -10.0425 -32.6297 1.56546 -8.51239 -34.2165 2.21473 -6.35882 -27.3412 1.58386 -1.9138 -26.9092 1.90102 -3.38656 -29.9099 1.26491 -4.73083 -32.4223 0.588327 -5.75507 -35.4464 0.311346 -7.06457 
-27 0.000404963 -3.25572e-06 -27.2285 -2.73994 -2.55531 -28.0812 -5.68735 -6.73044 -31.5773 -4.51683 -7.49004 -33.1914 -3.31648 -6.95703 -34.7286 -1.4289 -6.0501 -27.1076 -1.88722 -2.89879 -27.0985 -4.11111 -7.96117 -31.4542 -3.33786 -8.64306 -33.3489 -2.06799 -7.58772 -35.2157 -0.438463 -5.75108 -26.9866 -1.03448 -3.24226 -26.8485 -2.22336 -8.89279 -31.5726 -1.78128 -9.80916 -33.5638 -0.547207 -8.22188 -35.464 0.830246 -6.72417 -26.797 0.0269666 -3.43849 -26.375 0.00836664 -9.23631 -30.7109 0.704356 -10.0707 -32.5324 1.54619 -8.55456 -34.1651 2.2333 -6.44978 -27.3203 1.58083 -1.91992 -26.8717 1.89601 -3.38815 -29.8624 1.25828 -4.75378 -32.3655 0.579489 -5.79919 -35.3788 0.301334 -7.13303 
