Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00040723 -1.19695e-06 -30.6245 0.940616 0.265182 -35.7164 1.55589 -0.469986 -35.7839 2.25886 -4.16921 -34.0962 1.95829 -5.35758 -31.8472 0.775805 -5.86637 -30.4574 0.10937 -0.110121 -35.9254 -0.48314 -0.679515 -36.4024 0.743679 -4.94119 -34.3208 0.844392 -6.34572 -31.2717 0.447093 -6.30734 -30.2903 -0.721872 -0.485439 -35.7116 -2.25326 -1.76062 -38.8309 -1.82353 -5.41838 -38.7272 -1.22401 -8.17806 -37.1525 -0.83687 -10.436 -29.8878 -1.67321 -0.851515 -34.9139 -4.19778 -2.32053 -36.4788 -4.75466 -6.47041 -35.5047 -3.92529 -8.63564 -34.6389 -2.22644 -10.621 -27.7656 -1.82858 -1.53463 -28.6615 -3.09016 -1.78373 -29.9744 -3.10804 -4.86464 -31.102 -2.05228 -7.19544 -33.5868 -1.09088 -9.15453 
-27 0.000410216 7.00485e-06 -30.6218 0.953449 0.256156 -35.7109 1.57968 -0.488528 -35.7694 2.26641 -4.1934 -34.0944 1.95135 -5.39588 -31.8521 0.717987 -5.80335 -30.4569 0.119654 -0.114448 -35.9261 -0.458278 -0.686664 -36.4001 0.746927 -4.95464 -34.3158 0.811424 -6.35743 -31.2652 0.411767 -6.26114 -30.2921 -0.71414 -0.485073 -35.7168 -2.23539 -1.75745 -38.8355 -1.80962 -5.41525 -38.7181 -1.22562 -8.17772 -37.078 -0.87405 -10.3951 -29.8921 -1.66872 -0.845541 -34.9256 -4.18226 -2.3082 -36.5137 -4.77756 -6.44392 -35.5303 -3.96044 -8.60963 -34.6327 -2.28595 -10.6016 -27.7697 -1.83447 -1.5255 -28.6699 -3.09393 -1.76995 -29.9817 -3.12415 -4.8512 -31.119 -2.07072 -7.17836 -33.5958 -1.14358 -9.16397 
-27 0.0004081 1.53797e-06 -30.6193 0.966157 0.244249 -35.7042 1.60676 -0.516577 -35.7484 2.28972 -4.22458 -34.0809 1.96396 -5.43461 -31.8426 0.706374 -5.78587 -30.4562 0.130859 -0.123769 -35.9258 -0.430093 -0.709327 -36.3888 0.766667 -4.98126 -34.3005 0.806671 -6.37887 -31.2487 0.402251 -6.23937 -30.2932 -0.704434 -0.491802 -35.7196 -2.21093 -1.77462 -38.835 -1.77848 -5.43349 -38.7041 -1.20169 -8.19686 -37.0163 -0.875286 -10.3812 -29.8955 -1.66127 -0.848756 -34.9341 -4.1594 -2.32019 -36.5409 -4.77832 -6.44513 -35.5502 -3.97061 -8.61104 -34.5997 -2.30824 -10.5885 -27.7719 -1.83585 -1.52276 -28.6764 -3.09216 -1.76738 -29.9849 -3.12297 -4.85003 -31.1257 -2.06893 -7.17522 -33.5916 -1.16783 -9.1862 
-27 0.000408531 2.01376e-06 -30.6176 0.976151 0.229187 -35.6977 1.62874 -0.553571 -35.7264 2.31234 -4.26203 -34.0612 1.97993 -5.47348 -31.8208 0.723844 -5.81708 -30.4554 0.139849 -0.136916 -35.9241 -0.407278 -0.743121 -36.3725 0.785007 -5.01831 -34.2802 0.811248 -6.41023 -31.2313 0.396713 -6.23673 -30.2932 -0.69645 -0.503034 -35.7186 -2.1906 -1.80431 -38.8268 -1.75052 -5.46773 -38.6816 -1.17824 -8.23167 -36.955 -0.870783 -10.3862 -29.8967 -1.6549 -0.857008 -34.9367 -4.14022 -2.34528 -36.5547 -4.77507 -6.46425 -35.5566 -3.97448 -8.62942 -34.5534 -2.31901 -10.5865 -27.7711 -1.83617 -1.52278 -28.6788 -3.08974 -1.76963 -29.9812 -3.1187 -4.8549 -31.1193 -2.06489 -7.18146 -33.5748 -1.18513 -9.21457 
-27 0.000407153 -3.09012e-06 -30.6188 0.974628 0.2166 -35.6959 1.62523 -0.586605 -35.7147 2.3158 -4.29156 -34.0492 1.98622 -5.50333 -31.8036 0.746041 -5.86972 -30.4549 0.138533 -0.149248 -35.9211 -0.410297 -0.77661 -36.3598 0.783852 -5.05264 -34.2661 0.812126 -6.44106 -31.2243 0.385443 -6.23947 -30.2911 -0.697558 -0.515111 -35.7111 -2.19351 -1.83682 -38.8118 -1.74927 -5.50594 -38.6532 -1.17621 -8.26955 -36.8921 -0.876296 -10.3954 -29.8929 -1.65571 -0.868038 -34.9268 -4.14129 -2.37646 -36.5481 -4.78411 -6.49214 -35.5455 -3.98324 -8.64929 -34.51 -2.32566 -10.5877 -27.7649 -1.83588 -1.52626 -28.6718 -3.08918 -1.77731 -29.9679 -3.11616 -4.86524 -31.103 -2.06277 -7.19352 -33.5531 -1.20174 -9.24099 
-27 0.000407077 -7.62218e-07 -30.6189 0.975814 0.209045 -35.6934 1.62914 -0.60866 -35.7081 2.32874 -4.30773 -34.0439 2.00324 -5.52227 -31.7962 0.774791 -5.91475 -30.4545 0.140148 -0.157526 -35.9191 -0.405395 -0.800523 -36.3523 0.794484 -5.07595 -34.2588 0.829001 -6.46544 -31.2225 0.376171 -6.23994 -30.2901 -0.695515 -0.524112 -35.7073 -2.18776 -1.8613 -38.8011 -1.73447 -5.53549 -38.6277 -1.15847 -8.29761 -36.8336 -0.864062 -10.395 -29.8915 -1.65335 -0.877359 -34.9229 -4.13405 -2.40172 -36.5445 -4.7758 -6.51526 -35.5345 -3.96989 -8.66445 -34.4893 -2.30967 -10.5947 -27.7619 -1.8335 -1.5306 -28.669 -3.08583 -1.78578 -29.9611 -3.10966 -4.87538 -31.0918 -2.05401 -7.20477 -33.5397 -1.20107 -9.25831 
-27 0.000410807 4.41644e-06 -30.6198 0.974285 0.200284 -35.6918 1.62608 -0.63371 -35.7029 2.33297 -4.32694 -34.04 2.01302 -5.54484 -31.788 0.795737 -5.94705 -30.4541 0.139116 -0.166841 -35.9166 -0.407467 -0.826973 -36.3435 0.796831 -5.10248 -34.2489 0.841753 -6.49228 -31.2188 0.357076 -6.24073 -30.2884 -0.696047 -0.533975 -35.7013 -2.18905 -1.88775 -38.7844 -1.73024 -5.57114 -38.5898 -1.1518 -8.33042 -36.7611 -0.859849 -10.3972 -29.8884 -1.65332 -0.887272 -34.9152 -4.13346 -2.42795 -36.5282 -4.7736 -6.54322 -35.5055 -3.95908 -8.68372 -34.4753 -2.29674 -10.6188 -27.757 -1.83193 -1.53488 -28.663 -3.08426 -1.7941 -29.9491 -3.10891 -4.88621 -31.0736 -2.0523 -7.21817 -33.5201 -1.20419 -9.27532 
-27 0.000407898 2.11236e-06 -30.6189 0.979473 0.190838 -35.6874 1.63782 -0.659493 -35.6932 2.34755 -4.34906 -34.0333 2.02845 -5.57131 -31.7749 0.819847 -5.9637 -30.4534 0.144121 -0.175972 -35.9148 -0.394493 -0.852031 -36.333 0.810292 -5.12927 -34.2354 0.861412 -6.51644 -31.2147 0.337798 -6.2393 -30.288 -0.691226 -0.542797 -35.6993 -2.17683 -1.91088 -38.7687 -1.71083 -5.6064 -38.5466 -1.13285 -8.3637 -36.684 -0.846177 -10.4002 -29.8885 -1.64902 -0.895183 -34.9151 -4.12142 -2.44867 -36.5157 -4.75981 -6.56733 -35.4748 -3.93864 -8.69958 -34.4754 -2.27893 -10.6529 -27.7556 -1.83061 -1.53717 -28.6624 -3.08177 -1.79897 -29.942 -3.10963 -4.89377 -31.0577 -2.05212 -7.22953 -33.5023 -1.20437 -9.28915 
-27 0.000404247 -2.55636e-06 -30.6183 0.983235 0.182239 -35.684 1.64532 -0.682069 -35.6843 2.3543 -4.37075 -34.0289 2.03498 -5.59903 -31.7588 0.84192 -5.96568 -30.4529 0.147456 -0.183613 -35.9131 -0.386241 -0.872334 -36.3244 0.814851 -5.15237 -34.2219 0.8718 -6.53251 -31.2116 0.31433 -6.23514 -30.2875 -0.68832 -0.549479 -35.6972 -2.17011 -1.92792 -38.7534 -1.70124 -5.63621 -38.5033 -1.12585 -8.39164 -36.6103 -0.843273 -10.4007 -29.8882 -1.64677 -0.900307 -34.9142 -4.11524 -2.46207 -36.5019 -4.75519 -6.58412 -35.4414 -3.92802 -8.70927 -34.4841 -2.27294 -10.6891 -27.7541 -1.83095 -1.53751 -28.6613 -3.08163 -1.80037 -29.9353 -3.11604 -4.8974 -31.0435 -2.05944 -7.23714 -33.4885 -1.21625 -9.29815 
-27 0.000412333 5.62522e-06 -30.6189 0.981529 0.180358 -35.6837 1.64265 -0.689307 -35.6815 2.35832 -4.37766 -34.0327 2.04339 -5.61583 -31.746 0.877652 -5.95176 -30.4528 0.146363 -0.186593 -35.9121 -0.3885 -0.882022 -36.3229 0.817466 -5.16168 -34.2151 0.88549 -6.53224 -31.2097 0.303126 -6.22538 -30.2867 -0.688799 -0.55356 -35.6945 -2.17115 -1.93885 -38.7427 -1.69564 -5.65497 -38.4715 -1.11603 -8.40752 -36.5548 -0.829812 -10.394 -29.8867 -1.64656 -0.905444 -34.9103 -4.11492 -2.47491 -36.49 -4.74908 -6.59998 -35.4136 -3.91039 -8.71769 -34.5029 -2.25422 -10.7213 -27.7519 -1.82894 -1.54094 -28.6581 -3.07981 -1.80649 -29.9303 -3.11467 -4.90426 -31.0359 -2.05462 -7.24369 -33.4858 -1.21861 -9.30166 
