Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.00040748 4.55533e-06 -29.6948 -0.204127 2.60528 -34.1589 -0.955571 5.12588 -37.1443 0.123744 3.10301 -37.9183 0.789452 1.28402 -37.7687 1.30612 -1.25622 -29.6984 -0.886393 1.97739 -34.1402 -2.95273 4.54136 -37.8314 -1.5808 2.43996 -38.1269 -0.388445 0.247483 -36.7559 0.733947 -2.27052 -29.702 -1.56865 1.34949 -34.2808 -4.56968 3.19034 -38.5943 -3.27103 1.47866 -38.7304 -1.60677 -0.801206 -37.7092 -0.309854 -3.02115 -29.5056 -2.2973 0.554718 -33.7767 -6.07803 1.67577 -37.6064 -4.98083 -0.351729 -37.6679 -3.28914 -2.21139 -36.3263 -1.21754 -3.42225 -28.3188 -1.72659 -1.25087 -29.0692 -3.10167 -1.20303 -32.0978 -2.11466 -2.23722 -34.5838 -1.01824 -2.89779 -37.6483 -0.105559 -3.74182 
-27 0.00040691 1.23145e-07 -29.7033 -0.163398 2.59939 -34.17 -0.893835 5.1215 -37.1443 0.0814596 3.03089 -37.8753 0.677043 1.17031 -37.6961 1.12463 -1.38267 -29.6951 -0.863761 1.9918 -34.1198 -2.91086 4.60052 -37.7949 -1.63604 2.41329 -38.0635 -0.514059 0.18057 -36.6138 0.528679 -2.32875 -29.687 -1.56412 1.38419 -34.2306 -4.57168 3.30032 -38.5286 -3.35614 1.49237 -38.6406 -1.75368 -0.833515 -37.5621 -0.525456 -3.06632 -29.4776 -2.31308 0.61196 -33.6968 -6.12026 1.83541 -37.5052 -5.10897 -0.272428 -37.5321 -3.46329 -2.17401 -36.1907 -1.4131 -3.42189 -28.2905 -1.77985 -1.20486 -29.0255 -3.16122 -1.11569 -32.0651 -2.22922 -2.16839 -34.5736 -1.19275 -2.84058 -37.641 -0.381919 -3.77359 
-27 0.000406603 2.19756e-06 -29.7129 -0.125826 2.59148 -34.1844 -0.83561 5.11096 -37.1492 0.0517713 2.96806 -37.8567 0.588012 1.07853 -37.6019 0.944649 -1.48216 -29.6948 -0.841186 2.00183 -34.1088 -2.86657 4.64541 -37.7681 -1.67492 2.38529 -38.0023 -0.615559 0.121431 -36.4929 0.368356 -2.37674 -29.6768 -1.55654 1.41217 -34.1948 -4.56299 3.38947 -38.4761 -3.41554 1.49892 -38.5679 -1.8684 -0.86413 -37.4395 -0.696889 -3.10548 -29.4563 -2.32254 0.659998 -33.6368 -6.14402 1.96885 -37.4237 -5.20417 -0.208763 -37.4191 -3.59918 -2.14534 -36.0833 -1.56393 -3.42853 -28.2668 -1.82303 -1.16479 -28.9901 -3.20774 -1.03983 -32.0361 -2.31457 -2.10767 -34.5595 -1.32712 -2.79795 -37.6293 -0.607224 -3.79516 
-27 0.00040693 1.84068e-07 -29.7261 -0.107282 2.57846 -34.2037 -0.820832 5.08591 -37.1602 -0.0167106 2.89902 -37.8608 0.466605 0.992644 -37.4826 0.717311 -1.56349 -29.6956 -0.834278 2.00375 -34.0978 -2.86067 4.666 -37.7431 -1.75337 2.33857 -37.9425 -0.747248 0.0471179 -36.3875 0.204345 -2.43486 -29.6651 -1.56127 1.42903 -34.1539 -4.58499 3.4462 -38.4203 -3.50989 1.47972 -38.497 -2.012 -0.912077 -37.328 -0.879392 -3.1556 -29.4306 -2.33964 0.693992 -33.5666 -6.18815 2.06348 -37.3324 -5.32135 -0.180285 -37.3057 -3.75132 -2.14537 -35.9802 -1.71996 -3.45253 -28.2369 -1.86251 -1.13406 -28.9457 -3.25202 -0.981814 -31.9962 -2.39985 -2.06999 -34.5333 -1.46195 -2.77856 -37.6065 -0.83338 -3.82583 
-27 0.000408431 2.18767e-06 -29.7388 -0.10589 2.56501 -34.2218 -0.839567 5.05706 -37.1705 -0.101874 2.83711 -37.8777 0.340098 0.923567 -37.3539 0.494501 -1.61186 -29.6961 -0.840226 2.0005 -34.0866 -2.88422 4.66866 -37.719 -1.84617 2.2852 -37.8911 -0.878553 -0.027224 -36.294 0.0608398 -2.48614 -29.6535 -1.57456 1.43598 -34.1137 -4.62684 3.47335 -38.3671 -3.61231 1.44526 -38.4302 -2.1516 -0.967585 -37.23 -1.03895 -3.20559 -29.4054 -2.35993 0.712959 -33.4982 -6.24174 2.11759 -37.2434 -5.4339 -0.182385 -37.2031 -3.8886 -2.16624 -35.8825 -1.85411 -3.47967 -28.2075 -1.89301 -1.11502 -28.9017 -3.28797 -0.946253 -31.9544 -2.47375 -2.0572 -34.5047 -1.57634 -2.77091 -37.5794 -1.02184 -3.85517 
-27 0.000406938 4.62216e-07 -29.7478 -0.110919 2.55511 -34.2313 -0.873337 5.03764 -37.1761 -0.207091 2.79129 -37.901 0.191111 0.875013 -37.2376 0.264719 -1.62841 -29.6924 -0.851948 2.00054 -34.0639 -2.92203 4.67972 -37.6886 -1.96053 2.24811 -37.8497 -1.03062 -0.0833767 -36.2146 -0.10206 -2.52092 -29.637 -1.59297 1.44595 -34.0605 -4.68168 3.5085 -38.3072 -3.73806 1.43041 -38.3618 -2.31757 -1.00545 -37.1434 -1.21809 -3.23789 -29.3748 -2.38419 0.734394 -33.4153 -6.30625 2.17824 -37.1447 -5.56565 -0.169408 -37.1041 -4.04583 -2.1715 -35.7877 -2.00929 -3.4876 -28.176 -1.92445 -1.09475 -28.8496 -3.32758 -0.911334 -31.903 -2.57697 -2.06443 -34.4644 -1.6955 -2.75802 -37.546 -1.22694 -3.86279 
-27 0.000407539 7.92684e-08 -29.7622 -0.107897 2.53972 -34.2548 -0.880804 5.00237 -37.1887 -0.267999 2.72495 -37.9292 0.0924595 0.807747 -37.1359 0.10973 -1.65559 -29.6967 -0.854435 1.9937 -34.065 -2.93362 4.67111 -37.6729 -2.02785 2.18997 -37.821 -1.12856 -0.156878 -36.1453 -0.217729 -2.57308 -29.6312 -1.60096 1.44766 -34.0373 -4.70734 3.52083 -38.2702 -3.81313 1.39112 -38.3036 -2.42959 -1.06632 -37.0632 -1.34107 -3.28802 -29.3575 -2.39752 0.74645 -33.3677 -6.34188 2.21408 -37.0738 -5.64796 -0.183232 -37.0269 -4.14925 -2.19936 -35.6999 -2.11903 -3.51117 -28.1518 -1.94699 -1.08047 -28.8124 -3.35496 -0.886802 -31.8603 -2.65233 -2.08371 -34.4296 -1.78355 -2.76399 -37.5074 -1.3513 -3.89391 
-27 0.00040142 -2.95682e-06 -29.7742 -0.107283 2.52655 -34.2734 -0.893681 4.97296 -37.1991 -0.338886 2.66449 -37.9578 -0.0181225 0.748758 -37.0509 -0.038269 -1.6722 -29.6985 -0.859167 1.98926 -34.0596 -2.95059 4.66876 -37.6542 -2.10705 2.14478 -37.7902 -1.23714 -0.215735 -36.0942 -0.343904 -2.6229 -29.6227 -1.61104 1.45195 -34.0067 -4.73826 3.54045 -38.2286 -3.90177 1.36438 -38.2443 -2.55488 -1.11436 -36.9886 -1.47391 -3.32841 -29.3374 -2.41258 0.761118 -33.3118 -6.38237 2.25716 -36.9983 -5.74219 -0.183572 -36.9485 -4.26298 -2.21299 -35.6211 -2.24026 -3.52948 -28.1267 -1.97036 -1.06451 -28.7727 -3.38354 -0.859861 -31.8166 -2.73373 -2.09609 -34.3943 -1.88277 -2.76694 -37.4689 -1.47565 -3.91498 
-27 0.000408837 1.81253e-06 -29.7929 -0.106615 2.50589 -34.3072 -0.899475 4.92224 -37.2155 -0.384108 2.57491 -37.9833 -0.0925506 0.660282 -36.9702 -0.133976 -1.71657 -29.7082 -0.861957 1.97484 -34.0762 -2.96018 4.63777 -37.6484 -2.15765 2.06832 -37.7559 -1.30651 -0.30161 -36.0479 -0.426057 -2.70229 -29.6234 -1.61729 1.44377 -34.0014 -4.75751 3.52543 -38.202 -3.95788 1.29453 -38.191 -2.63467 -1.19812 -36.9123 -1.55645 -3.4014 -29.3275 -2.42206 0.761165 -33.2835 -6.40875 2.26118 -36.9431 -5.80212 -0.227192 -36.8749 -4.33266 -2.26389 -35.5544 -2.31438 -3.58904 -28.1056 -1.98552 -1.05836 -28.7424 -3.40225 -0.849498 -31.7763 -2.7915 -2.12959 -34.3441 -1.92063 -2.81298 -37.4267 -1.56033 -3.95494 
-27 0.000407858 4.19224e-06 -29.8002 -0.0904204 2.49836 -34.32 -0.869105 4.90908 -37.2185 -0.390883 2.53297 -37.994 -0.128679 0.619623 -36.9115 -0.196037 -1.72635 -29.7111 -0.85098 1.97553 -34.0795 -2.9353 4.64885 -37.6393 -2.16906 2.05003 -37.7217 -1.34323 -0.329756 -36.0157 -0.486021 -2.73686 -29.622 -1.61154 1.45268 -33.9932 -4.74556 3.5577 -38.178 -3.97704 1.28657 -38.1512 -2.68 -1.22059 -36.8581 -1.61556 -3.42697 -29.3212 -2.42235 0.779468 -33.2633 -6.40972 2.31365 -36.907 -5.8335 -0.205038 -36.8173 -4.37892 -2.25472 -35.5279 -2.36465 -3.61758 -28.0952 -2.0005 -1.04081 -28.726 -3.41816 -0.820278 -31.7533 -2.84242 -2.13183 -34.3114 -1.94639 -2.81874 -37.4059 -1.62618 -3.94052 
