Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000407463 -1.25368e-06 -29.3871 1.36173 2.55733 -33.5373 2.75549 5.32847 -35.5318 3.18079 2.16443 -35.3773 3.1988 0.084366 -35.2417 3.13481 -2.50264 -29.6342 0.553741 2.17544 -34.1645 0.663729 5.34364 -36.7111 2.26654 2.0295 -36.6127 2.75012 -0.4363 -36.3765 3.41039 -3.45014 -29.8813 -0.254244 1.79354 -34.8589 -1.15807 4.58059 -38.002 0.877717 1.52892 -37.7443 1.62754 -1.18174 -37.7137 2.5102 -3.82015 -29.9653 -1.21138 1.26633 -34.9511 -3.16994 3.52451 -38.2083 -1.52017 0.945936 -38.3645 -0.439399 -1.32082 -38.3033 0.959103 -3.6888 -28.8483 -1.57001 -0.635747 -29.9288 -2.57947 -0.116439 -32.5813 -0.800005 -1.12337 -34.746 0.833414 -1.80528 -37.5698 2.17233 -2.88693 
-27 0.00040668 -2.42244e-06 -29.3696 1.3657 2.57149 -33.4965 2.75811 5.37788 -35.513 3.13216 2.22135 -35.4044 3.11196 0.138405 -35.1171 3.05855 -2.43641 -29.6155 0.553484 2.19793 -34.1131 0.661054 5.4126 -36.7014 2.22121 2.11163 -36.6223 2.66973 -0.361543 -36.4178 3.27326 -3.39196 -29.8615 -0.258729 1.82436 -34.8044 -1.17022 4.67012 -37.9915 0.806943 1.62733 -37.7577 1.5318 -1.09094 -37.7368 2.37787 -3.74019 -29.9449 -1.22015 1.3049 -34.8942 -3.19328 3.62968 -38.1787 -1.59155 1.05451 -38.3438 -0.533357 -1.22215 -38.2815 0.844881 -3.59952 -28.8449 -1.58576 -0.605732 -29.9138 -2.59775 -0.0675293 -32.5866 -0.83888 -1.05663 -34.7645 0.783863 -1.72164 -37.6108 2.10899 -2.76062 
-27 0.00040664 1.52957e-06 -29.361 1.3944 2.56394 -33.4744 2.81693 5.37504 -35.5045 3.12968 2.22057 -35.427 3.06253 0.137225 -35.0102 2.99254 -2.41941 -29.6063 0.576288 2.20301 -34.0868 0.716627 5.44018 -36.6957 2.22326 2.13334 -36.6244 2.6263 -0.346287 -36.4197 3.15576 -3.38863 -29.8516 -0.24182 1.84208 -34.777 -1.12636 4.72628 -37.9876 0.784689 1.66863 -37.7637 1.47265 -1.05915 -37.7373 2.26747 -3.72155 -29.9346 -1.21067 1.33655 -34.8657 -3.16678 3.71396 -38.1604 -1.61743 1.11916 -38.3233 -0.593401 -1.17284 -38.2525 0.748219 -3.56842 -28.843 -1.59967 -0.57426 -29.9053 -2.60763 -0.0160214 -32.5885 -0.869004 -1.01282 -34.7731 0.741961 -1.68458 -37.6331 2.05169 -2.70511 
-27 0.000407479 3.89071e-06 -29.3403 1.41866 2.56964 -33.4267 2.86626 5.4071 -35.4935 3.12568 2.27163 -35.4416 3.01882 0.18915 -34.9549 2.93845 -2.35481 -29.5865 0.595435 2.22119 -34.0339 0.76254 5.50238 -36.6777 2.22117 2.20457 -36.6256 2.58856 -0.278355 -36.42 3.05357 -3.32624 -29.8327 -0.227786 1.87273 -34.7266 -1.09045 4.81671 -37.9732 0.76159 1.7636 -37.7699 1.41975 -0.9726 -37.7497 2.1715 -3.64465 -29.9177 -1.20303 1.37996 -34.8189 -3.14579 3.82888 -38.135 -1.64279 1.23426 -38.306 -0.64813 -1.06931 -38.2439 0.660788 -3.48206 -28.8434 -1.61218 -0.536527 -29.8962 -2.61729 0.0446218 -32.5952 -0.899413 -0.945458 -34.7908 0.698611 -1.61215 -37.6683 1.99444 -2.60069 
-27 0.000405923 -9.89829e-07 -29.3332 1.44256 2.56278 -33.4084 2.91649 5.40282 -35.4989 3.13008 2.27964 -35.4379 2.98525 0.203037 -34.9085 2.90794 -2.33245 -29.5793 0.615163 2.22424 -34.0128 0.810307 5.52254 -36.6674 2.22641 2.21658 -36.6177 2.56476 -0.267751 -36.3837 2.97646 -3.31521 -29.8253 -0.212227 1.88569 -34.7061 -1.05063 4.85833 -37.9647 0.751615 1.78996 -37.7606 1.38182 -0.952623 -37.7294 2.09861 -3.63197 -29.9104 -1.19292 1.40389 -34.7988 -3.11861 3.89162 -38.1162 -1.6538 1.27828 -38.2776 -0.686451 -1.03676 -38.2089 0.592792 -3.46559 -28.8426 -1.62109 -0.512034 -29.8904 -2.62279 0.0837683 -32.5971 -0.923121 -0.91647 -34.7977 0.664933 -1.59055 -37.6822 1.95348 -2.56835 
-27 0.000407677 4.60896e-06 -29.3268 1.46073 2.5583 -33.3926 2.95632 5.40049 -35.5056 3.13891 2.29054 -35.4127 2.95752 0.219123 -34.8676 2.9047 -2.3137 -29.5737 0.630909 2.22632 -33.9971 0.848898 5.53683 -36.6537 2.23618 2.2206 -36.6023 2.55543 -0.26427 -36.3355 2.93431 -3.30775 -29.8205 -0.198904 1.89434 -34.6928 -1.01638 4.88657 -37.9535 0.753513 1.80176 -37.741 1.36192 -0.945436 -37.6971 2.05819 -3.62886 -29.9067 -1.18304 1.4198 -34.7882 -3.09238 3.93347 -38.0993 -1.65091 1.30118 -38.2453 -0.704361 -1.02284 -38.1628 0.55364 -3.46347 -28.8437 -1.62485 -0.495708 -29.8889 -2.62365 0.109496 -32.599 -0.935677 -0.901569 -34.8002 0.648991 -1.58131 -37.6851 1.9399 -2.55499 
-27 0.000407323 2.83801e-06 -29.3215 1.47284 2.55616 -33.3798 2.98285 5.40149 -35.5108 3.14475 2.30269 -35.3733 2.92403 0.236345 -34.826 2.91051 -2.29651 -29.5693 0.641633 2.22834 -33.9847 0.874939 5.54837 -36.6385 2.24204 2.22047 -36.5836 2.5482 -0.265204 -36.288 2.91201 -3.30393 -29.817 -0.189571 1.90052 -34.6831 -0.992647 4.90674 -37.9401 0.75626 1.80479 -37.716 1.34687 -0.946124 -37.6611 2.03313 -3.63159 -29.9044 -1.17578 1.43052 -34.7814 -3.07328 3.96176 -38.0829 -1.64625 1.31128 -38.2119 -0.716289 -1.01986 -38.1107 0.52619 -3.46875 -28.8452 -1.62645 -0.485004 -29.8884 -2.62356 0.126285 -32.5992 -0.943624 -0.896101 -34.7986 0.641753 -1.5805 -37.68 1.93913 -2.55561 
-27 0.00040741 4.69628e-07 -29.324 1.46789 2.55678 -33.383 2.96825 5.4062 -35.5197 3.11852 2.31122 -35.3369 2.86168 0.249306 -34.7863 2.89773 -2.28261 -29.5698 0.635934 2.2294 -33.9828 0.858212 5.55344 -36.6308 2.21159 2.21388 -36.5692 2.51421 -0.272223 -36.2513 2.88321 -3.30625 -29.8156 -0.196016 1.902 -34.6773 -1.011 4.91197 -37.9286 0.723073 1.79366 -37.6914 1.30607 -0.958821 -37.6272 1.99451 -3.64351 -29.9007 -1.18261 1.43242 -34.7715 -3.09234 3.9664 -38.0633 -1.67677 1.29964 -38.1763 -0.755453 -1.03511 -38.0553 0.480855 -3.48663 -28.8413 -1.63131 -0.483479 -29.8804 -2.63215 0.12876 -32.5938 -0.962492 -0.903493 -34.7933 0.621255 -1.59111 -37.6719 1.9214 -2.57091 
-27 0.000406612 -2.42814e-06 -29.3272 1.44772 2.56526 -33.3873 2.91956 5.42812 -35.5205 3.07501 2.33007 -35.3083 2.792 0.271595 -34.75 2.87937 -2.25739 -29.5702 0.616321 2.23438 -33.98 0.806178 5.56465 -36.624 2.16031 2.22082 -36.5557 2.47165 -0.264481 -36.2271 2.86438 -3.29465 -29.8132 -0.215078 1.90348 -34.6687 -1.0623 4.91467 -37.9155 0.671056 1.78957 -37.6686 1.26022 -0.961805 -37.5991 1.96335 -3.64245 -29.895 -1.19988 1.42957 -34.7565 -3.14011 3.95824 -38.0417 -1.72474 1.28526 -38.1426 -0.801024 -1.04838 -38.0055 0.440794 -3.49622 -28.8355 -1.63604 -0.489205 -29.8689 -2.64468 0.119964 -32.5861 -0.981374 -0.912482 -34.7871 0.601776 -1.59697 -37.664 1.90707 -2.57485 
-27 0.00040795 3.95254e-06 -29.3353 1.41615 2.57559 -33.4006 2.84419 5.45301 -35.5187 3.01212 2.34571 -35.2961 2.7145 0.29058 -34.7191 2.84345 -2.23241 -29.5733 0.585595 2.23906 -33.9825 0.72561 5.57266 -36.6236 2.08413 2.22769 -36.5467 2.41118 -0.255534 -36.2145 2.83668 -3.28263 -29.8114 -0.244954 1.90252 -34.6606 -1.14203 4.90945 -37.9047 0.592943 1.78141 -37.6496 1.19672 -0.966917 -37.5761 1.92012 -3.64181 -29.8874 -1.22696 1.42188 -34.7368 -3.2148 3.93695 -38.0179 -1.79841 1.26187 -38.1092 -0.866356 -1.06815 -37.9613 0.387766 -3.50931 -28.8258 -1.64361 -0.500048 -29.8515 -2.66349 0.1033 -32.5752 -1.00785 -0.924496 -34.7807 0.57061 -1.60513 -37.6572 1.88047 -2.57797 
