Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000410883 -9.85847e-07 -29.1282 -1.14615 2.87184 -32.6765 -3.60388 5.73811 -36.4232 -3.8052 6.04004 -38.5037 -3.81453 5.88794 -40.6907 -3.8098 4.50147 -28.8872 -1.80779 2.26861 -31.8475 -5.36984 5.2889 -36.1769 -6.28631 4.62415 -38.4217 -6.19627 3.49774 -41.2087 -6.05087 2.20911 -28.6462 -2.46943 1.66536 -31.3531 -6.99218 4.02717 -35.9609 -8.17111 3.19374 -38.1659 -7.92411 1.43616 -40.6607 -8.0597 0.220906 -28.2187 -3.09965 0.877211 -30.3566 -8.23335 2.57072 -34.3795 -9.12416 0.837755 -35.1448 -7.74389 -1.12034 -34.2929 -5.42958 -2.34331 -27.5406 -2.20815 -1.05662 -27.5268 -3.76947 -0.921216 -30.36 -4.77818 -2.39467 -32.8576 -5.10981 -3.60754 -36.1063 -5.71557 -3.48377 
-27 0.000409536 7.506e-06 -29.0744 -1.11406 2.92341 -32.5469 -3.56042 5.89038 -36.2834 -3.83405 6.25613 -38.3667 -3.89253 6.14067 -40.5792 -3.96251 4.79499 -28.8298 -1.78541 2.33245 -31.6926 -5.32388 5.47206 -36.0121 -6.33092 4.86944 -38.2649 -6.30209 3.75585 -41.0677 -6.23378 2.48983 -28.5853 -2.45675 1.74147 -31.1858 -6.96772 4.24138 -35.782 -8.22991 3.46418 -37.9963 -8.04414 1.71421 -40.4893 -8.23281 0.503138 -28.1571 -3.09794 0.962608 -30.1821 -8.22719 2.80194 -34.2062 -9.17045 1.09969 -34.9617 -7.81825 -0.88166 -34.058 -5.52573 -2.09826 -27.517 -2.24025 -0.999286 -27.4758 -3.79737 -0.826262 -30.3175 -4.86578 -2.24023 -32.8262 -5.25015 -3.41381 -36.0717 -5.84752 -3.19803 
-27 0.000406882 -4.33868e-07 -29.0291 -1.09179 2.96335 -32.4379 -3.53174 6.00839 -36.1632 -3.86753 6.43147 -38.2484 -3.96348 6.34548 -40.487 -4.09635 5.04487 -28.7816 -1.76976 2.38123 -31.5624 -5.29157 5.61192 -35.8716 -6.37197 5.06269 -38.1322 -6.39349 3.96487 -40.9494 -6.39199 2.72473 -28.5341 -2.44772 1.79912 -31.0449 -6.95021 4.4038 -35.6298 -8.27956 3.67382 -37.8538 -8.14186 1.93563 -40.344 -8.3726 0.727703 -28.1052 -3.09628 1.02672 -30.0356 -8.22151 2.97576 -34.0616 -9.20841 1.30296 -34.8117 -7.87825 -0.695301 -33.8793 -5.59604 -1.90626 -27.497 -2.26358 -0.955942 -27.4331 -3.81661 -0.755283 -30.2815 -4.92903 -2.12087 -32.7991 -5.35029 -3.2625 -36.042 -5.92548 -2.964 
-27 0.000393111 -2.83335e-06 -28.9916 -1.05909 3.00042 -32.3515 -3.47361 6.11926 -36.0669 -3.84557 6.59547 -38.1536 -3.96254 6.53586 -40.4174 -4.14334 5.28166 -28.7443 -1.74451 2.42699 -31.4646 -5.23394 5.74322 -35.7681 -6.36217 5.25135 -38.0394 -6.42428 4.1773 -40.8692 -6.47574 2.96711 -28.4971 -2.42993 1.85355 -30.9449 -6.90884 4.55703 -35.5255 -8.28351 3.88073 -37.7635 -8.18561 2.15795 -40.2545 -8.44974 0.959252 -28.0707 -3.08764 1.0876 -29.9365 -8.19637 3.14008 -33.9695 -9.21413 1.50373 -34.7151 -7.90686 -0.510963 -33.7714 -5.63563 -1.73319 -27.4882 -2.28266 -0.91417 -27.4104 -3.83146 -0.68747 -30.2691 -4.97296 -2.00689 -32.7961 -5.41553 -3.11918 -36.039 -5.94235 -2.74145 
-27 0.000407668 -7.78446e-06 -28.9468 -1.04206 3.03555 -32.2435 -3.45191 6.22461 -35.9371 -3.86643 6.74943 -38.0237 -4.00861 6.71714 -40.3082 -4.23893 5.5066 -28.6974 -1.73218 2.46874 -31.3392 -5.20777 5.86203 -35.6319 -6.39875 5.43522 -37.9175 -6.51143 4.39592 -40.7599 -6.62382 3.21955 -28.448 -2.4223 1.90191 -30.8117 -6.89295 4.6925 -35.3812 -8.33427 4.08119 -37.6375 -8.2846 2.38047 -40.133 -8.59687 1.20202 -28.0217 -3.08517 1.14032 -29.8001 -8.18852 3.28195 -33.8382 -9.25656 1.69033 -34.5936 -7.97338 -0.33618 -33.6727 -5.70713 -1.58243 -27.4703 -2.30046 -0.878203 -27.3721 -3.84485 -0.630266 -30.2368 -5.02446 -1.90237 -32.7715 -5.4975 -2.98423 -36.0114 -5.98088 -2.53073 
-27 0.000416369 2.69258e-06 -28.9043 -1.03194 3.06582 -32.1415 -3.44109 6.31579 -35.8213 -3.88053 6.87961 -37.9069 -4.03987 6.8757 -40.207 -4.30695 5.70229 -28.6541 -1.72497 2.50292 -31.2246 -5.19276 5.95842 -35.5087 -6.43316 5.59557 -37.8091 -6.58944 4.59555 -40.6627 -6.74931 3.45136 -28.404 -2.41801 1.94001 -30.6933 -6.8844 4.79857 -35.2525 -8.38287 4.25401 -37.5276 -8.37207 2.57789 -40.0311 -8.7265 1.4253 -27.9793 -3.08394 1.1802 -29.6813 -8.18462 3.38918 -33.7265 -9.2908 1.84229 -34.4928 -8.02317 -0.190187 -33.6008 -5.76377 -1.46335 -27.4569 -2.31319 -0.851388 -27.3424 -3.85397 -0.588441 -30.2164 -5.05936 -1.81442 -32.7579 -5.55855 -2.86826 -35.9963 -5.98153 -2.34817 
-27 0.000405113 -8.99062e-06 -28.8627 -1.02453 3.09373 -32.0385 -3.43698 6.40135 -35.7129 -3.89222 6.99316 -37.7963 -4.06731 7.01727 -40.1067 -4.37211 5.87514 -28.6108 -1.7199 2.5345 -31.1082 -5.18292 6.04787 -35.3825 -6.47308 5.74543 -37.6952 -6.6742 4.78256 -40.5582 -6.87975 3.66798 -28.3588 -2.41526 1.97527 -30.5712 -6.87973 4.89672 -35.1164 -8.43964 4.41735 -37.409 -8.46835 2.76538 -39.92 -8.86688 1.63954 -27.9346 -3.08344 1.21716 -29.5568 -8.18275 3.48852 -33.6066 -9.32904 1.98362 -34.3852 -8.07613 -0.0532851 -33.5207 -5.82642 -1.35367 -27.4406 -2.32543 -0.826289 -27.3092 -3.86234 -0.548994 -30.1927 -5.09298 -1.72661 -32.7364 -5.629 -2.75693 -35.9736 -5.97883 -2.17871 
-27 0.00039778 2.70503e-06 -28.8333 -1.02132 3.11229 -31.9594 -3.44173 6.46118 -35.6377 -3.90298 7.05927 -37.7183 -4.09083 7.10188 -40.0323 -4.43279 5.98035 -28.5773 -1.71809 2.55666 -31.0147 -5.18085 6.11221 -35.2778 -6.51589 5.84802 -37.5957 -6.7577 4.90764 -40.4619 -7.00295 3.8121 -28.3213 -2.41485 2.00103 -30.4675 -6.88091 4.96908 -34.9958 -8.49931 4.5314 -37.2985 -8.56275 2.89448 -39.811 -9.00002 1.78313 -27.8945 -3.08409 1.24532 -29.4449 -8.18426 3.56433 -33.493 -9.36477 2.08023 -34.2758 -8.12241 0.0391459 -33.421 -5.88119 -1.27489 -27.4208 -2.33601 -0.806567 -27.274 -3.86917 -0.516547 -30.1639 -5.1212 -1.65523 -32.7008 -5.7019 -2.67779 -35.9388 -5.96162 -2.05767 
-27 0.000410579 -6.27364e-06 -28.7811 -1.01736 3.14378 -31.8298 -3.44639 6.55712 -35.5095 -3.91487 7.18428 -37.5862 -4.11718 7.2568 -39.91 -4.5021 6.17326 -28.5233 -1.71562 2.59083 -30.8694 -5.17746 6.20816 -35.1217 -6.56145 6.00774 -37.4475 -6.84559 5.09914 -40.3232 -7.13321 4.04391 -28.2656 -2.41388 2.03786 -30.3162 -6.88092 5.07131 -34.8276 -8.56215 4.70173 -37.15 -8.66388 3.09409 -39.6678 -9.13975 2.01007 -27.84 -3.0842 1.28243 -29.2919 -8.18428 3.66455 -33.3452 -9.40269 2.2244 -34.1476 -8.17303 0.183594 -33.3008 -5.93753 -1.14233 -27.4016 -2.34787 -0.781511 -27.2345 -3.87636 -0.478117 -30.136 -5.15577 -1.55534 -32.6685 -5.79227 -2.55537 -35.895 -5.98295 -1.85518 
-27 0.00039881 2.76263e-06 -28.7447 -1.03153 3.15951 -31.7308 -3.48927 6.60754 -35.4107 -3.98019 7.24129 -37.4829 -4.20215 7.32745 -39.8095 -4.62847 6.26798 -28.4802 -1.72802 2.60754 -30.7472 -5.20962 6.25621 -34.9835 -6.64933 6.08415 -37.3087 -6.97304 5.18702 -40.1874 -7.30232 4.15291 -28.2157 -2.42452 2.05556 -30.1765 -6.90976 5.12132 -34.6648 -8.658 4.77944 -36.9953 -8.79488 3.1852 -39.5078 -9.3045 2.10613 -27.7851 -3.09136 1.2999 -29.1377 -8.20467 3.71188 -33.1842 -9.45848 2.2804 -33.9964 -8.23266 0.241481 -33.1465 -5.99054 -1.07341 -27.3714 -2.35671 -0.769753 -27.1818 -3.88119 -0.459539 -30.0833 -5.19116 -1.49929 -32.6038 -5.88232 -2.49329 -35.8163 -6.03945 -1.72371 
-27 0.000400622 -5.30321e-06 -28.6939 -1.04442 3.1828 -31.6054 -3.52414 6.67857 -35.2749 -4.04087 7.34013 -37.3424 -4.28073 7.44863 -39.6783 -4.73908 6.42435 -28.4267 -1.73912 2.6299 -30.6021 -5.23746 6.31808 -34.8243 -6.72468 6.19266 -37.1518 -7.07938 5.31505 -40.0387 -7.44287 4.31426 -28.1594 -2.43381 2.07699 -30.0223 -6.93432 5.18119 -34.4926 -8.73697 4.88386 -36.8374 -8.90348 3.31356 -39.3481 -9.43697 2.24674 -27.7288 -3.09731 1.31837 -28.9771 -8.22244 3.76135 -33.0258 -9.49832 2.35352 -33.856 -8.27177 0.322626 -33.0059 -6.02015 -0.981163 -27.349 -2.36386 -0.758194 -27.1375 -3.88469 -0.444209 -30.044 -5.22096 -1.43571 -32.5637 -5.9504 -2.4042 -35.753 -6.10502 -1.54351 
-27 0.000404726 -8.39878e-08 -28.6442 -1.05352 3.20581 -31.4844 -3.54712 6.74996 -35.1433 -4.09724 7.44263 -37.206 -4.35636 7.57396 -39.5509 -4.84069 6.58267 -28.3747 -1.7469 2.65234 -30.4617 -5.25647 6.38068 -34.6686 -6.78867 6.30146 -36.9984 -7.17011 5.44101 -39.892 -7.5651 4.4698 -28.1052 -2.44027 2.09886 -29.8739 -6.95113 5.24286 -34.3273 -8.80139 4.98751 -36.6845 -8.99692 3.44097 -39.1938 -9.55055 2.3812 -27.6751 -3.10119 1.3377 -28.8221 -8.23495 3.81198 -32.874 -9.52689 2.42537 -33.7217 -8.29863 0.403146 -32.8768 -6.03737 -0.892589 -27.3283 -2.37078 -0.745705 -27.096 -3.88784 -0.428181 -30.0051 -5.25015 -1.37526 -32.5329 -5.99972 -2.30658 -35.6947 -6.18645 -1.35543 
