Right_Hand_x Right_Hand_y Right_Hand_z Right_Pinky0_x Right_Pinky0_y Right_Pinky0_z Right_Pinky1_x Right_Pinky1_y Right_Pinky1_z Right_Pinky2_x Right_Pinky2_y Right_Pinky2_z Right_Pinky3_x Right_Pinky3_y Right_Pinky3_z Right_Pinky4_x Right_Pinky4_y Right_Pinky4_z Right_Ring0_x Right_Ring0_y Right_Ring0_z Right_Ring1_x Right_Ring1_y Right_Ring1_z Right_Ring2_x Right_Ring2_y Right_Ring2_z Right_Ring3_x Right_Ring3_y Right_Ring3_z Right_Ring4_x Right_Ring4_y Right_Ring4_z Right_Middle0_x Right_Middle0_y Right_Middle0_z Right_Middle1_x Right_Middle1_y Right_Middle1_z Right_Middle2_x Right_Middle2_y Right_Middle2_z Right_Middle3_x Right_Middle3_y Right_Middle3_z Right_Middle4_x Right_Middle4_y Right_Middle4_z Right_Index0_x Right_Index0_y Right_Index0_z Right_Index1_x Right_Index1_y Right_Index1_z Right_Index2_x Right_Index2_y Right_Index2_z Right_Index3_x Right_Index3_y Right_Index3_z Right_Index4_x Right_Index4_y Right_Index4_z Right_Thumb0_x Right_Thumb0_y Right_Thumb0_z Right_Thumb1_x Right_Thumb1_y Right_Thumb1_z Right_Thumb2_x Right_Thumb2_y Right_Thumb2_z Right_Thumb3_x Right_Thumb3_y Right_Thumb3_z Right_Thumb4_x Right_Thumb4_y Right_Thumb4_z 
-27 0.000408685 2.8941e-06 -29.7155 -2.07532 1.55202 -34.2476 -4.24566 2.81508 -37.1493 -3.17246 4.95952 -38.6634 -2.64356 6.30038 -40.756 -2.08365 7.74702 -29.8497 -1.84811 0.663146 -34.7458 -4.41096 0.846447 -39.0165 -4.18782 2.167 -41.3133 -3.57783 2.97374 -44.142 -3.42222 4.1395 -29.984 -1.62089 -0.225739 -35.2197 -3.89793 -1.09944 -39.9706 -3.18324 -0.609792 -42.5281 -2.15727 0.0168618 -45.1002 -1.48296 0.826764 -29.9297 -1.29185 -1.26972 -35.046 -3.24258 -3.22203 -39.0917 -1.3496 -3.04982 -40.3695 0.787056 -2.69349 -41.8332 3.08041 -2.27467 -28.6265 0.424866 -1.86035 -29.4971 -0.132728 -3.03825 -32.3879 1.32824 -3.88928 -34.6384 2.62993 -4.91872 -36.9811 4.20282 -6.64347 
-27 0.00040816 6.11135e-06 -29.7593 -2.02469 1.54157 -34.3403 -4.08189 2.8178 -37.1835 -3.03339 5.05089 -38.6619 -2.5138 6.4367 -40.7006 -1.95415 7.96159 -29.8986 -1.77147 0.660536 -34.8738 -4.1763 0.855707 -39.1064 -3.98354 2.30144 -41.3765 -3.37627 3.19224 -44.1755 -3.25812 4.44934 -30.0379 -1.51822 -0.220494 -35.3619 -3.59238 -1.06517 -40.1124 -2.96858 -0.460184 -42.6699 -1.99527 0.245273 -45.2281 -1.38015 1.1419 -29.9876 -1.16548 -1.25692 -35.2075 -2.87634 -3.15948 -39.3227 -1.13606 -3.02977 -40.7188 0.923291 -2.66242 -42.2783 3.15639 -2.26399 -28.6379 0.522545 -1.82518 -29.5289 0.0217664 -3.01327 -32.3689 1.5136 -3.97487 -34.555 2.82967 -5.1184 -36.8499 4.50505 -6.81048 
-27 0.000407611 6.22623e-07 -29.769 -1.99608 1.56144 -34.3633 -3.99193 2.88613 -37.1489 -2.96419 5.20002 -38.5857 -2.44688 6.62643 -40.5668 -1.86002 8.21056 -29.9179 -1.72969 0.685883 -34.9307 -4.04999 0.932907 -39.1244 -3.88502 2.4902 -41.3679 -3.2738 3.44967 -44.1377 -3.18679 4.78993 -30.0668 -1.46329 -0.189678 -35.4414 -3.42944 -0.970078 -40.1894 -2.88285 -0.250114 -42.7346 -1.93561 0.531303 -45.2709 -1.34776 1.50503 -30.027 -1.09872 -1.22246 -35.3142 -2.68189 -3.04786 -39.4764 -1.05479 -2.95022 -40.933 0.961136 -2.57708 -42.5559 3.15479 -2.18928 -28.6575 0.572872 -1.79208 -29.5643 0.0989826 -2.97925 -32.3795 1.58601 -4.01828 -34.5204 2.90657 -5.23944 -36.8085 4.89997 -6.55385 
-27 0.000411013 4.81736e-06 -29.769 -1.9916 1.56709 -34.3655 -3.96724 2.91445 -37.1086 -2.96259 5.28984 -38.5075 -2.44726 6.74831 -40.4425 -1.81843 8.36313 -29.9245 -1.71444 0.696017 -34.9527 -3.99856 0.967643 -39.1213 -3.85357 2.58838 -41.3458 -3.23887 3.59068 -44.0915 -3.16848 4.98037 -30.0799 -1.43727 -0.175048 -35.4782 -3.35069 -0.922436 -40.2195 -2.86013 -0.123694 -42.7469 -1.91175 0.719674 -45.2583 -1.31127 1.74888 -30.0475 -1.06169 -1.20413 -35.369 -2.57781 -2.9865 -39.5567 -1.01622 -2.91668 -41.0368 0.980097 -2.53062 -42.6993 3.14146 -2.13393 -28.6706 0.605396 -1.7691 -29.5834 0.147394 -2.95791 -32.382 1.62516 -4.05321 -34.488 2.94343 -5.33609 -36.7338 5.12177 -6.40751 
-27 0.000408703 -5.92716e-07 -29.7626 -1.99502 1.57401 -34.3543 -3.9686 2.94059 -37.0643 -2.97304 5.36761 -38.427 -2.45337 6.8534 -40.325 -1.77296 8.48159 -29.9241 -1.71101 0.706228 -34.9563 -3.98342 1.00011 -39.1115 -3.84639 2.65584 -41.3226 -3.2307 3.68524 -44.0538 -3.15298 5.10722 -30.0855 -1.42699 -0.161541 -35.4952 -3.3185 -0.880916 -40.2294 -2.8706 -0.0279228 -42.733 -1.90421 0.862546 -45.2143 -1.2534 1.93313 -30.0599 -1.04394 -1.18806 -35.4012 -2.53022 -2.93584 -39.6011 -1.00084 -2.88116 -41.0909 0.985553 -2.48156 -42.7802 3.12303 -2.06828 -28.6825 0.623236 -1.75153 -29.5984 0.172434 -2.94072 -32.3853 1.64243 -4.07575 -34.4691 2.95045 -5.40448 -36.6848 5.21127 -6.36154 
-27 0.000408224 -5.11794e-06 -29.7493 -2.02307 1.56153 -34.328 -4.02944 2.92383 -37.0172 -3.06155 5.39664 -38.3526 -2.55073 6.90839 -40.2295 -1.847 8.54596 -29.916 -1.72782 0.698525 -34.9406 -4.01766 0.988286 -39.0924 -3.91806 2.658 -41.2993 -3.32625 3.70716 -44.0196 -3.24471 5.14617 -30.0827 -1.43256 -0.164481 -35.492 -3.32681 -0.880301 -40.2251 -2.95188 0.00233536 -42.7123 -1.98312 0.930449 -45.1649 -1.28089 2.03415 -30.0636 -1.03566 -1.18586 -35.4115 -2.51094 -2.92262 -39.6248 -1.01908 -2.86656 -41.1349 0.944945 -2.44275 -42.8504 3.05579 -1.99638 -28.6933 0.642469 -1.73407 -29.6084 0.202016 -2.92774 -32.3894 1.66681 -4.08368 -34.4645 2.96307 -5.4375 -36.6723 5.24956 -6.35077 
-27 0.000409497 2.97917e-06 -29.7228 -2.06846 1.54833 -34.2745 -4.13675 2.90857 -36.9467 -3.21298 5.42263 -38.2633 -2.72153 6.95946 -40.1312 -2.02861 8.61225 -29.8974 -1.76192 0.690819 -34.9012 -4.09711 0.977804 -39.049 -4.0756 2.66167 -41.2573 -3.53118 3.73097 -43.9668 -3.4611 5.18555 -30.0719 -1.45536 -0.166686 -35.4712 -3.38052 -0.875465 -40.208 -3.12604 0.0275909 -42.6927 -2.18284 0.988036 -45.122 -1.44443 2.12124 -30.0624 -1.04332 -1.1822 -35.4106 -2.53351 -2.9054 -39.6438 -1.11144 -2.8352 -41.1937 0.816099 -2.38517 -42.9389 2.89492 -1.90233 -28.7093 0.653952 -1.71394 -29.6234 0.221286 -2.9112 -32.4104 1.66865 -4.07473 -34.4924 2.94146 -5.44011 -36.7083 5.22275 -6.34681 
-27 0.000405183 -5.34519e-06 -29.7344 -2.07117 1.52416 -34.2963 -4.12279 2.87555 -36.9305 -3.21389 5.43263 -38.2241 -2.73202 6.99636 -40.074 -2.04748 8.67704 -29.9118 -1.74416 0.674854 -34.94 -4.02787 0.950117 -39.0794 -4.03627 2.65443 -41.2793 -3.51101 3.75017 -43.9761 -3.41751 5.22323 -30.0893 -1.41715 -0.174449 -35.517 -3.2617 -0.880407 -40.2535 -3.06202 0.0424525 -42.7245 -2.1205 1.03832 -45.1183 -1.32011 2.20632 -30.0827 -0.98329 -1.18085 -35.4624 -2.36986 -2.89267 -39.6953 -0.948701 -2.79206 -41.2536 0.964577 -2.30299 -42.9852 3.04303 -1.77282 -28.7146 0.709966 -1.6862 -29.6385 0.311969 -2.88798 -32.4085 1.80043 -4.04011 -34.4792 3.09621 -5.40096 -36.6541 5.41895 -6.30165 
-27 0.000405964 -3.16163e-06 -29.741 -2.07421 1.50804 -34.3081 -4.11127 2.86376 -36.9006 -3.22514 5.46306 -38.1716 -2.76008 7.05021 -40.0021 -2.09722 8.76571 -29.9233 -1.72783 0.667479 -34.9732 -3.96255 0.94541 -39.0989 -4.01785 2.68006 -41.2878 -3.51435 3.80569 -43.9713 -3.40987 5.30234 -30.1055 -1.38143 -0.173087 -35.5609 -3.1498 -0.860393 -40.2938 -3.01341 0.089801 -42.7551 -2.08639 1.12264 -45.1154 -1.24301 2.32921 -30.1042 -0.926844 -1.17032 -35.5167 -2.21443 -2.85551 -39.7541 -0.803298 -2.7171 -41.3202 1.09495 -2.1876 -43.0366 3.17276 -1.61388 -28.7233 0.76241 -1.65408 -29.6595 0.397579 -2.85692 -32.4197 1.91936 -3.98882 -34.486 3.23251 -5.33975 -36.618 5.59431 -6.24144 
-27 0.000408329 2.69299e-06 -29.7482 -2.06916 1.50182 -34.3215 -4.0795 2.87651 -36.8649 -3.21276 5.52064 -38.1132 -2.76426 7.13383 -39.9148 -2.12042 8.8906 -29.9364 -1.70433 0.670395 -35.0115 -3.87875 0.967922 -39.1185 -3.97256 2.74251 -41.2911 -3.48045 3.90259 -43.9601 -3.3648 5.42777 -30.1245 -1.33949 -0.16102 -35.6113 -3.02221 -0.812285 -40.3349 -2.92417 0.179973 -42.7822 -2.00712 1.25491 -45.1065 -1.12919 2.5055 -30.1296 -0.865718 -1.14927 -35.5798 -2.04639 -2.79071 -39.8159 -0.629463 -2.60417 -41.3765 1.26165 -2.03085 -43.0697 3.34404 -1.41498 -28.7337 0.815478 -1.61758 -29.6856 0.483943 -2.81766 -32.4374 2.04187 -3.92053 -34.5008 3.37483 -5.25633 -36.5874 5.77379 -6.16625 
